,outlet,url,title,authors,publish_date,text,keywords
0,bowenislandundercurrent,https://www.bowenislandundercurrent.com/news/bc,BC,[],,"VICTORIA — A study of COVID-19 infection rates in British Columbia confirms far more people carry the virus than were tested for it, and public health officials say the ...",[]
1,bowenislandundercurrent,https://www.bowenislandundercurrent.com/news/national,National,[],,Have the Bowen Island Undercurrent delivered to your inbox every Friday! You can contact us or unsubscribe anytime.,[]
2,bowenislandundercurrent,https://www.bowenislandundercurrent.com/news/world,World,[],,HONG KONG — A breach in Twitter’s security that allowed hackers to break into the accounts of leaders and technology moguls is one of the worst attacks in recent years and may shake trust in a . . .,[]
3,bowenislandundercurrent,https://www.bowenislandundercurrent.com/news/cannabis-news,Cannabis News,[],,"IOWA CITY, Iowa — A ruthless Iowa meth kingpin who killed five people, including two young girls, in 1993 to thwart his prosecution for drug trafficking is set to become the ...",[]
4,bowenislandundercurrent,https://www.bowenislandundercurrent.com/news/lmp-bc-news/,LMP BC News,[],,,[]
5,bowenislandundercurrent,https://www.bowenislandundercurrent.com/new-covid-19-infections-in-b-c-bounce-back-into-the-20s-1.24171042,New COVID-19 infections in B.C. bounce back into the 20s,['Glen Korstrom'],,"B.C.'s number of new daily COVID-19 infections has bounced back into the 20s after a one-day reprieve yesterday, when only 13 new cases of the deadly virus were discovered in the province.

Provincial health officer Bonnie Henry and Health Minister Adrian Dix announced July 15 that there were 21 new cases in the past 24 hours, including two cases that they call ""epi-linked,"" or presumed cases that have not been proven through testing but are being treated as official cases.

article continues below

The province has now recorded 3,149 cases since the novel coronavirus first appeared in B.C. in late January.

More than 87.4% of those infected, or 2,753 people, have recovered. Of those who haven't, 189 people have died and 207 people are actively fighting the virus. Only 14 people are hospitalized, with five of those in intensive care units. The rest are self-isolating at home. There were no new deaths recorded in the past 24 hours.

Recording at least 20 new COVID-19 cases in a 24-hour period has become common in B.C., and Henry said yesterday that she found that number ""distressing,"" even though, she added, the good news is that the province knows where the clusters of infection are, many of the infections are linked and the number is not really that large given the province's population of more than five million residents.

The numbers in the past week were:

• 20 new cases on July 9;

• 25 new cases on July 10;

• 21 new cases on July 11;

• 20 new cases on July 12;

• 21 new cases on July 13;

• 13 new cases on July 14; and now

• 21 new cases on July 15.

In June, the number of daily new cases many times was in the single digits.

""There is one active community outbreak, in addition to several community exposure events,"" Henry and Dix said. ""There have been no new health-care facility outbreaks.""

Two seniors' long-term care facilities have active outbreaks: Holy Family Hospital long-term care facility and Maple Hill long-term care facility. There also remains an outbreak at Mission Memorial Hospital, which spawned the outbreak at Maple Hill, when infected patients were transferred from the hospital.

The breakdown of all COVID-19 infections by health region is:

• 1,023 in Vancouver Coastal Health;

• 1,659 in Fraser Health;

• 135 in Island Health;

• 216 in Interior Health;

• 65 in Northern Health; and

• 51 people who reside outside Canada.

gkorstrom@biv.com

@GlenKorstrom",[]
6,bowenislandundercurrent,https://www.bowenislandundercurrent.com/vancouver-stock-promoter-david-sidoo-sentenced-to-90-days-in-u-s-jail-1.24170992,Vancouver stock promoter David Sidoo sentenced to 90 days in U.S. jail,['Graeme Wood'],,"Vancouver stock promoter and philanthropist David Sidoo was sentenced Wednesday via video conference to 90 days in a United States federal prison for fraud in relation to cheating the U.S. college admissions process for his two sons.

The Federal Bureau of Prisons is expected to take Sidoo into custody on September 23 and release him from a Pacific Northwest area facility just before Christmas.

article continues below

Sidoo, 61, appeared online via Zoom in front of United States District Judge Nathaniel Gorton of the United States District Court for District of Massachusetts, as well as his lawyers and prosecutors. He wore a plaid suit while sitting in an office space inside his $31.7 million home in Vancouver’s Point Grey neighbourhood.

Sidoo, now a convicted felon, initially pled innocent to fraud and money laundering charges; he teared up before being sentenced and read a prepared statement:

“The last several months have been the hardest in my entire life and today I accept the court’s decision without reservation. No words can express how sorry I am for my decisions and actions that led to this day. I make no excuses, your honour. I broke the law and pled guilty and I now must pay for my actions.

“To my wife and boys, all I ever wanted was your love and respect and to be a good role model. And I know I have made a terrible mistake that has deeply affected our family. To my friends and colleagues and former teammates over the years, I am deeply ashamed today. To the young men and women who looked up to me as a role model, you deserve better. To the court and all of you, I wish to apologize for my actions.

“I will serve my sentence and am committed to returning to the community and doing everything possible to make a positive impact. I hope in time people will not judge me for the worst mistake in my life but for the work in the days, weeks and years ahead in which I am committed to being a better man.”

Gorton told Sidoo he was “impressed” by the businessman’s “obvious remorse.”

But Gorton pointed out two omissions in Sidoo’s statement.

“You expect to put this behind you and go forward and make up for what you called mistakes. I would call it a crime, not a mistake, but nevertheless, it is important that you acknowledge it and realize how many constituencies you have disappointed,” said the judge.

Sidoo also did not explicitly acknowledge that his crimes resulted in two students missing an opportunity to attend the universities his sons, Dylan Sidoo and Jordan Sidoo, were admitted to.

“What you accomplished, along with getting them into college, is to deprive two other deserving students of admittance into those universities — an act that is the very antithesis of one you want to be known for,” said Gorton.

Likewise, United States Attorney Andrew Lelling submitted to Gorton: “Sidoo engaged in serious criminal conduct involving fraud and deception that stretched over multiple years.

“His crimes warrant significant punishment. By engaging in the scheme, with [scheme mastermind Rick Singer] and others, Sidoo was able to steal two college admissions slots for his sons, including one from the University of California at Berkeley, one of the top public universities in the nation.”

Sidoo, said Gorton, “committed a crime that displayed an unbelievable lack of integrity, morality and common sense.

“You have let your selfish desire, your pride and your enormous wealth overcome all of what you apparently want to stand for with your works of charity,” Gorton told Sidoo.

Sidoo’s philanthropy, derived from his earnings in the capital markets, was central to his sentencing defense. According to Sidoo he has donated several million dollars to charitable causes, such as the University of B.C. football program.

In pleading guilty to fraud, Sidoo avoided a maximum prison term of 20 years and prosecutors subsequently agreed to 90 days behind bars, plus a $250,000 fine and one-year of supervised release, which will not be enforced in Canada by the U.S. Probation Department. Prosecutors also agreed to drop the money laundering charge.

The prison Sidoo goes to is expected to have harsher conditions since his options are limited due to his foreign citizenship. His attorney Martin Weinberg said he is expected to spend 14 days in isolation in a “maximum security setting,” due to COVID-19.

Sidoo will get four days credit for time already served. If he serves the full 90 days he will be released December 17 but will have to spend 14 days in isolation at home should B.C. public health rules for international travellers and COVID-19 continue into the fall.

Gorton said Sidoo’s crime would normally warrant more time in jail but there are mitigating circumstances, such as his remorse, lack of criminal record, philanthropy and “collateral consequences,” such as not being able to enter the U.S. as a felon and being stripped last month of his Order of B.C. medal for community service. Sidoo’s attorneys also previously noted he did not directly pay the universities but that his fraud was limited to cheating on the tests.

The former B.C. Lions football player worked as a stock broker in the 1990s and an investment banker between 2000 and 2010. Since 2010 he has made millions of dollars directing a handful of public companies that have failed to generate wealth for retail investors.

Sidoo was arrested March 8, 2019, in San Jose, California, on charges by the U.S. Department of Justice of conspiracy to commit mail fraud and honest services mail fraud and conspiracy to commit money laundering related to the high-profile U.S. college admissions and bribery scandal, brought to light by a Federal Bureau of Investigation probe dubbed Operation Varsity Blues.

One of dozens of parents to be charged, Sidoo initially pled innocent to paying $200,000 total to scheme mastermind William ‘Rick’ Singer, who hired corrupt exam expert Mark Riddell to take Dylan and Jordan’s SAT exams, in 2011 and 2012, respectively. Sidoo also helped falsify one of his son Jordan’s university applications in October 2013 with an essay that originally included a fake claim of Jordan being held up at gunpoint by gangsters, while he was purported to be an intern for an anti-gang organization.

Co-conspirators Singer and Riddell pled guilty last year in exchange for cooperating with the government’s investigation.

The guilty parties in the case, who used Singer’s criminal services, were generally well-off individuals. Celebrities such as actress Lori Loughlin and her clothing designer husband Mossimo Gianulli and actress Felicity Huffman also pled guilty for related crimes and brought much media attention to the investigation.

Sidoo’s sons had no involvement in their father’s crime.

Jordan is now a 2018 history graduate from University of California Berkeley. Dylan graduated in cinematic arts in 2016 from the University of Southern California (USC). The two previously attended Vancouver’s prestigious St. George’s School.

Neither university has announced whether or not their degrees will remain valid. Dylan, according to the sentencing documents, had scored a 1,460/2,400 SAT score until Riddell, using a fake ID in December 2011, bumped up the score to 1,700, which was high enough for Dylan to enter Chapman University (and later transfer to USC). Riddell then scored 2,280/2,400 for Jordan in December 2012, paving the way to Berkley.

Riddell also took a high school test for Dylan. The B.C. Ministry of Education has issued no statement on how its testing process was so vulnerable to fraud.

Both sons have since entered into penny stock promotion with their father.

gwood@glaciermedia.ca",[]
7,bowenislandundercurrent,https://www.bowenislandundercurrent.com/more-b-c-cannabis-consumers-choosing-legal-suppliers-over-black-market-poll-1.24171397,More B.C. cannabis consumers choosing legal suppliers over black market: poll,['Mario Canseco'],,"Marijuana has been legal in Canada for just over one and a half years.

The notion of establishing a framework to commercialize cannabis began as a promise by the Liberal Party in the 2015 federal election campaign that led to Justin Trudeau becoming prime minister. The implementation of the policy was not as smooth as first envisioned, and the provincial governments were put in charge of setting guidelines for the sale and consumption of marijuana.

article continues below

Research Co. and Glacier Media have been tracking perceptions about legalization every six months in British Columbia. Our latest survey shows that agreement with the new rules remains high across the entire province, that some residents are starting to ponder a future when other drugs could be treated in the same fashion as cannabis, and that – in stark contrast with what we found last year – marijuana users in British Columbia are starting to acquire all of their product through licensed retailers.

As more time passes, British Columbians appear happier with the decision to end prohibition. Seven in 10 of the province’s residents (70%) agree with marijuana being legal in Canada, while 26% disagree and 3% are undecided.

These findings represent a seven-point increase since a similar survey conducted in October 2019, as legal cannabis approached its first anniversary. The groups that are more likely to voice satisfaction with the new status quo are men (75%), British Columbians aged 35 to 54 (76%) and residents of northern B.C. (80%).

In recent weeks, we have seen more talk about creating a safe supply for drugs that are currently available only through illegal means. The impact of these discussions has led to a shift in the views of British Columbians about legalizing all drugs. It must be completely acknowledged that sizable majorities of the province’s residents continue to oppose a move to place any controlled substance inside a store, but the proponents of this option have grown since late last year.

At least two-thirds of British Columbians are opposed to legalizing ecstasy (66%), powder cocaine (70%), heroin (72%), crack cocaine (73%), methamphetamine or “crystal meth” (74%) and fentanyl (75%).

Support for making some of these drugs available in a fashion that would conceivably meet the same guidelines that govern cannabis has risen over the past six months, to 25% for cocaine (up from 18%) and to 24% for heroin (up from 19%). While these are still low proportions, the fluctuation could signal the start of a trend.

Just 10% of British Columbians say they only consumed marijuana after it became legal. Identical proportions of residents tried it before October 2018 (45%) or have never consumed it in Canada (also 45%). The incidence of “legal-only” marijuana users is highest among residents aged 18 to 34 (18%) and those who live in southern B.C. (19%).

But perhaps the biggest surprise, and a source of satisfaction for policy makers, is the way in which cannabis is being sought by users. Just over half of British Columbians who have consumed marijuana since legalization (51%) say that all of their product was acquired at a licensed retailer. In October 2019, only 31% of cannabis consumers in the province were getting all of their product at a licensed retailer.

We still see 16% of British Columbians who say none of their marijuana has been bought at a licensed retailer – a proportion that climbs to 25% among those aged 55 and over. Two-thirds of cannabis consumers aged 35 to 54 (68%) are buying all of their product at a licensed retailer.

Even though the delivery of cannabis products has improved over the past six months, there are significant regional differences that are indubitably related to the presence of stores in specific areas of the province. Cannabis consumers who reside in southern B.C. and Metro Vancouver are the most likely to be getting all of their product from licensed retailers (63% and 62%). The numbers are significantly lower in Vancouver Island (29%), northern B.C. (24%) and the Fraser Valley (19%).

Finally, the issue of “drug testing” remains a priority for British Columbians, with 61% saying that companies in the province should “definitely” or “probably” be able to administer these examinations to any employee now that marijuana is legal.

After a bumpy start that featured slow store openings and hitches with delivery options, there are signs that cannabis legalization is starting to work in a better fashion. More consumers are getting all of their product through licensed retailers, and the number of “new users” has not increased dramatically. Still, the significant regional disparities suggest that more marijuana outlets will need to be authorized in order to effectively eliminate the black market.

Mario Canseco is president of Research Co.

Results are based on an online study conducted from July 10 to July 12, 2020, among 800 adult British Columbians. The data has been statistically weighted according to Canadian census figures for age, gender and region in British Columbia. The margin of error, which measures sample variability, is plus or minus 3.5 percentage points, 19 times out of 20.",[]
8,bowenislandundercurrent,https://www.bowenislandundercurrent.com/business/ways-to-explore-metro-vancouver-with-lyft-this-summer-1.24171089,Ways to explore Metro Vancouver with Lyft this summer,[],,"With one of the most beautiful regions in the world at their fingertips, Metro Vancouverites are rediscovering all the local treasures that the area has to offer. After months of being responsible and staying home, people are now looking for things to do and reliable ways to get there.

On July 9th, Lyft became the first ridesharing company to serve all of Metro Vancouver and can now help everyone explore the region.

To help get planning started, here is a round-up of fun local adventures you can have -- all within Lyft’s expanded operating area:

Have a fun-filled day at Burnaby’s Central Park playing pitch and putt with a picnic.

playing pitch and putt with a picnic. Enjoy a night on the town in Vancouver and get a responsible ride home.

and get a responsible ride home. Take a Lyft ride from the nearest transit station to berry-picking farms in Delta and stock up on blueberries, boysenberries, and more!

and stock up on blueberries, boysenberries, and more! Get dropped off at Lynn Canyon, hike the Baden Powell Trail to Grouse Mountain, and take a Lyft ride to get your tired legs home from there.

to Grouse Mountain, and take a Lyft ride to get your tired legs home from there. Food trucks and breweries go hand-in-hand - check out the delicious options in Port Moody .

. Go on the famous dumpling tour in Richmond and take a Lyft ride from spot to spot as you eat the day away.

and take a Lyft ride from spot to spot as you eat the day away. Who says you need to go to the Okanagan for a wine tour? Make your way through the wineries in Langley and Aldergrove .

and . Look for treasures at the Cloverdale Flea Market every Sunday.

Flea Market every Sunday. Go on a paddlewheel boat tour from New Westminster for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride.

for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride. Don’t stress about finding a parking spot at the Crescent Beach boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants.

boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants. Take the kids to Playland and The Fair at the PNE, which opens just in time for summer.

On a hot summer day, what’s better than a cool dip? Take a Lyft ride to Alouette Lake in Golden Ears National Park or get a ride to your campsite!

As Metro Vancouverites responsibly move around the region this summer, Lyft has implemented a Health Safety Program, which requires every rider and driver to self-certify they will wear face masks throughout the ride and are symptom-free, among other requirements. While it may be a unique summer this year, we can all do our part to respect each other’s health safety, move around the region comfortably and have lots of fun while we’re at it!

Interested in driving with Lyft? Learn more here.",[]
9,bowenislandundercurrent,https://www.bowenislandundercurrent.com/hr-in-the-time-of-covid-19-in-conversation-with-harris-and-co-law-firm-s-lindsie-thomson-1.24170736,HR in the time of COVID-19: In conversation with Harris and Co. law firm's Lindsie Thomson,[],,"A new normal is emerging in work.

The pandemic has disrupted the dynamic of the workplace. Employers will have to implement new practices to ensure safety, employees will increasingly work remotely, and the delicate balances of trust and accountability will be tested in this new environment.

article continues below

How will employers and employees need to embrace the new conditions of the workplace? Join us to hear expert discussion on the issues on our BIV Daily podcast July 13-17.

July 15, 2020:

HR in the time of COVID-19: In conversation with Harris and Co. law firm's Lindsie Thomson

What are the legal obligations for employers toward employees in the pandemic? Lindsie Thomson, managing partner at the Harris and Co. law firm, discusses the challenges of remote work and returning to work as part of a week-long video podcast series on human resources.

Our discussions continue tomorrow with a conversation with Rocky Ozaki from NowOfWork.

Previous podcasts in the series:

HR in the time of COVID-19: In conversation with Deloitte's Jennifer Lee

HR in the time of COVID-19: In conversation with Chris Back of WorkSafeBC",[]
