,outlet,url,title,authors,publish_date,text,keywords
0,burnabynow,https://www.burnabynow.com/news/education,Education,[],,"When nurses who’ve taken BCIT’s forensic nurse examiner course testify as witnesses in sexual assault and child abuse trials, they can now say they are certified at the ...",[]
1,burnabynow,https://www.burnabynow.com/news/bc,BC,[],,"The holiday season officially kicked off in Burnaby on Saturday with the Edmonds Festival of Lights. People of all ages turned out for entertainment, food, visits with Santa ...",[]
2,burnabynow,https://www.burnabynow.com/news/national,National,[],,"The holiday season officially kicked off in Burnaby on Saturday with the Edmonds Festival of Lights. People of all ages turned out for entertainment, food, visits with Santa ...",[]
3,burnabynow,https://www.burnabynow.com/news/world,World,[],,HONG KONG — A breach in Twitter’s security that allowed hackers to break into the accounts of leaders and technology moguls is one of the worst attacks in recent years and ...,[]
4,burnabynow,https://www.burnabynow.com/news/cannabis-news,Cannabis News,[],,"IOWA CITY, Iowa — A ruthless Iowa meth kingpin who killed five people, including two young girls, in 1993 to thwart his prosecution for drug trafficking is set to become the ...",[]
5,burnabynow,https://www.burnabynow.com/news/burnaby-man-called-youngest-covid-19-critically-ill-patient-1.24171517,Burnaby man called ‘youngest’ COVID-19 critically ill patient,['Chris Campbell'],,"The narrative some have put forward is that COVID-19 only harms the elderly.

Vince Li wants to have a word with you about that. The 26-year-old had been battling a fever for several days back in March when he made his way to Burnaby Hospital looking for answers.

article continues below

The results of an X-ray and blood test revealed tell-tale signs of COVID-19. Doctors decided to immediately sedate, intubate, and send Li to Royal Columbian Hospital, one of the province’s primary COVID-19 sites. There, he became the youngest COVID-positive patient to be mechanically ventilated in the hospital’s intensive care unit during the pandemic’s spring peak, according to the RCH foundation.

“I didn’t have a chance to tell anybody,” Li recalls after hearing he would be placed in an induced coma. “My mom was outside at the waiting area in the ER, and social workers called her.”

“His blood levels of oxygen were ridiculously low, so he needed quite a lot of oxygen to support him,” said Dr. Robert Sharpe, a critical care physician at RCH. “His carbon dioxide levels were also quite high. It was quite difficult to blow off CO2 because his lungs were greatly inflamed from the body’s reaction to the virus. He was pretty touch and go early on.”

A personal trainer and competitive mixed-martial artist who controlled his type 2 diabetes through diet and exercise, Li remained hospitalized for a month and remembers nothing about the first three weeks. During that time, ICU teams kept a close watch on his blood gases, made sure his organs were getting enough oxygen, and watched for signs of new infections.

Since there is no specific treatment yet for COVID-19, patients are supported medically in the hopes they can fight off the virus.

“He fooled us a couple of times, where we thought he was ready to come off the ventilator,” said Sharpe. “And then we just needed to give him more time, and he turned around.”

When he regained consciousness, Li was surprised at the amount of weight and muscle he lost. It took him a while to start moving comfortably again.

“In the beginning, it was pretty rough,” he said. “I didn’t realize that being in a bed for a month, I could have so much muscle atrophy.”

While his time at Royal Columbian is hazy, Li says the care – from the doctors to the nurses and physiotherapists – stands out, as does other, simpler milestones.

“My fondest memory was getting the tubes out of my nose and eating actual food for the first time in a month,” Li said. “That felt pretty good.”",[]
6,burnabynow,https://www.burnabynow.com/news/burnaby-buyers-paying-way-over-assessed-value-near-skytrain-1.24170991,Burnaby buyers paying way over assessed value near SkyTrain,['Chris Campbell'],,"If you live near a SkyTrain station in Burnaby, you know the value of this convenience.

Just how much value? Well, apartment buyers have paid 4.5-per-cent above assessed value on average for units near a SkyTrain station between March 15 and May 31, 2020, according to a report by Vancouver-based real estate marketing and analytics firm Roomvu.

article continues below

The report, which compared the sold price of apartments to government assessed values, found apartments in some Metro Vancouver areas sold at the highest rates above assessed value - 6, 5.6 and 5 per cent respectively. While the lowest discrepancy between sold price and assessed value was in Richmond at 2.3 per cent.

“Access to transit has become valuable over the course of time. Prices of transit-friendly homes rose over the course of the year in spite of the far-reaching negative economic consequences of the pandemic,” said Thomas Davidoff, economist and professor at UBC’s Sauder School of Business. “Social distancing measures have undeniably made selling a home more difficult, as hosting open-houses and in-person tours have become difficult or impossible. That said, we still continue to see a very strong relationship between price point and sales performance, both in terms of sales to listings and price relative to assessment.”

“Looking at the difference between sold prices and government assessed value paints a more accurate picture of market activity than looking at price alone,” said Sam Merhbod, a Vancouver-area realtor and CEO at Roomvu. “COVID-19 has certainly dealt a blow to Vancouver’s real estate market overall, but the apartment segment is showing some signs of recovery,” he added.",[]
7,burnabynow,https://www.burnabynow.com/opinion/blogs/wild-rollover-crash-didn-t-surprise-this-burnaby-resident-1.24171555,Wild rollover crash didn’t surprise this Burnaby resident,['Chris Campbell'],,"Writing about the community you grew up in means sometimes coming face to face with things you already knew.

Like the dangers of being a pedestrian in the Cardston Court area of Burnaby.

article continues below

Cardston is located just south of Lougheed Highway near Lougheed Town Centre and I lived for several years at the corner of Cardston and Government Street, next to Keswick Park.

This was the scene of a wild rollover crash that saw a pedestrian get hit and I wasn’t the least bit surprised.

Neither was Vicki Sanderson, who brought the crash to my attention to raise awareness about how dangerous this area is for pedestrians, cyclists and even other drivers.

“(The driver) lost control of his vehicle, hit a parked car, which ended up in the park, but not before hitting a young woman walking her dog,” Sanderson said.

And this wasn’t the first incident, only the most recent. Two weeks ago, Sanderson saw another scary incident.

“A speeding car coming down Cardston Court saw a green light, turned left and hit a woman in the crosswalk. This is not unusual on this street - speeding and reckless driving is a huge problem. We have many families who walk these streets down to the park and how long before we have a fatality? Small children and speeding cars? What can the city do? Speed bumps? Seriously needs some consideration.”

I wouldn’t hold my breath for speed bumps. Usually, those have to be resident-initiated and it’s hard to get people to sign a petition.

But it really is a bad area, mainly due to all the ratrunners on Government trying to avoid Lougheed. This stretch also has some steep turns and drivers floor it after they cross Lougheed. The lanes are also really narrow because their are usually vehicles parked on either side of Cardston.

These lanes are pretty unforgiving.

I saw so much of that around 1990 when I lived there and it’s sad to think that things have actually gotten worse in the area.

Follow Chris Campbell on Twitter @shinebox44.",[]
8,burnabynow,https://www.burnabynow.com/lifestyle/ways-to-explore-metro-vancouver-with-lyft-this-summer-1.24171263,Ways to explore Metro Vancouver with Lyft this summer,[],,"With one of the most beautiful regions in the world at their fingertips, Metro Vancouverites are rediscovering all the local treasures that the area has to offer. After months of being responsible and staying home, people are now looking for things to do and reliable ways to get there.

On July 9th, Lyft became the first ridesharing company to serve all of Metro Vancouver and can now help everyone explore the region.

To help get planning started, here is a round-up of fun local adventures you can have -- all within Lyft’s expanded operating area:

Have a fun-filled day at Burnaby’s Central Park playing pitch and putt with a picnic.

playing pitch and putt with a picnic. Enjoy a night on the town in Vancouver and get a responsible ride home.

and get a responsible ride home. Take a Lyft ride from the nearest transit station to berry-picking farms in Delta and stock up on blueberries, boysenberries, and more!

and stock up on blueberries, boysenberries, and more! Get dropped off at Lynn Canyon, hike the Baden Powell Trail to Grouse Mountain, and take a Lyft ride to get your tired legs home from there.

to Grouse Mountain, and take a Lyft ride to get your tired legs home from there. Food trucks and breweries go hand-in-hand - check out the delicious options in Port Moody .

. Go on the famous dumpling tour in Richmond and take a Lyft ride from spot to spot as you eat the day away.

and take a Lyft ride from spot to spot as you eat the day away. Who says you need to go to the Okanagan for a wine tour? Make your way through the wineries in Langley and Aldergrove .

and . Look for treasures at the Cloverdale Flea Market every Sunday.

Flea Market every Sunday. Go on a paddlewheel boat tour from New Westminster for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride.

for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride. Don’t stress about finding a parking spot at the Crescent Beach boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants.

boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants. Take the kids to Playland and The Fair at the PNE, which opens just in time for summer.

On a hot summer day, what’s better than a cool dip? Take a Lyft ride to Alouette Lake in Golden Ears National Park or get a ride to your campsite!

For those riders referring friends to Lyft, invite them through the rider app to get free ride credit.

As Metro Vancouverites responsibly move around the region this summer, Lyft has implemented a Health Safety Program, which requires every rider and driver to self-certify they will wear face masks throughout the ride and are symptom-free, among other requirements. While it may be a unique summer this year, we can all do our part to respect each other’s health safety, move around the region comfortably and have lots of fun while we’re at it!

Interested in driving with Lyft? Learn more here.",[]
9,burnabynow,https://www.burnabynow.com/family-of-canada-day-lotto-millionaire-thought-he-was-joking-1.24171417,Family of Canada Day Lotto millionaire thought he was joking,['Alan Campbell'],,"Surinderpal Gill has been playing the lottery since he came to Canada 26 years ago, and after winning Lotto 6/49’s $1 million Guaranteed Prize on Canada Day this year, he’ll always have fond memories about July 1.

Gill won the million on Canada’s birthday after purchasing his ticket at the Chevron Town Pantry on 58 Avenue in Surrey.

article continues below

He says when he initially checked his ticket, he wasn’t quite convinced he was a big winner.

“I checked at the self-checker,” said Gill. “I told my son, and then I had to go to another gas station to make sure it was correct. After I told my wife, they both thought I was joking and didn’t believe me.”

Gill says the $1 million means he can take a step back from work.

“It’ll be nice to not have to work so hard,” laughed Gill. “I’ll still continue to … I want to start my own business.”

On top of starting a new business, Gill will put some of his money towards the new house that he’s building, so the timing of the win is perfect.

So far in 2020, B.C. lottery players have redeemed more than $73 million in winnings from Lotto 6/49.",[]
