id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25224,Tabaret,Témiscamingue,Quebec,QC,J0Z,Locality,031L14,46.93778,-79.24056,Témiscamingue,819,America/Montreal
25225,Taber,,Alberta,AB,T1G,Town,082H16,49.78475,-112.15097,Division No.  2,587,America/Edmonton
25226,Table Bay,,Newfoundland and Labrador,NL,A0K,Locality,013H10,53.69456,-56.70604,Division No. 10,709,America/Goose_Bay
25227,Table Head,Cape Breton,Nova Scotia,NS,B1A,Locality,011J04,46.20978,-59.95480,Cape Breton,902,America/Glace_Bay
25228,Tableland,,Saskatchewan,SK,S4A,Locality,062E03,49.15003,-103.18380,Division No.  1,306,America/Regina
25229,Tabor,Fraser-Fort George,British Columbia,BC,V2N,Locality,093G15,53.80000,-122.71667,Fraser-Fort George,250,America/Vancouver
25230,Tabor,Algoma,Ontario,ON,P0S,Locality,041N15,47.79250,-84.51444,Algoma,705,America/Toronto
25231,Tabusintac,Northumberland,New Brunswick,NB,E9H,Locality,021P06,47.32722,-65.01097,Northumberland,506,America/Moncton
25232,Taché,Kenora,Ontario,ON,P0V,Locality,052F09,49.58477,-92.19071,Kenora,807,America/Winnipeg
25233,Tacheeda,Fraser-Fort George,British Columbia,BC,V0J,Locality,093J10,54.68333,-122.60000,Fraser-Fort George,250,America/Vancouver
25234,Tachie,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093K10,54.65000,-124.75000,Bulkley-Nechako,250,America/Vancouver
25235,Tacks Beach,,Newfoundland and Labrador,NL,A0B,Locality,001M09,47.57778,-54.21222,Division No.  2,709,America/St_Johns
25236,Tadanac,Kootenay Boundary,British Columbia,BC,V1R,Locality,082F04,49.11667,-117.71667,Kootenay Boundary,250,America/Vancouver
25237,Tadmore,,Saskatchewan,SK,S0A,Hamlet,062M16,51.83417,-102.47987,Division No.  9,306,America/Regina
25238,Tadoule Lake,,Manitoba,MB,R0B,Locality,064J09,58.71194,-98.48028,Division No. 23,204,America/Winnipeg
25239,Tadoussac,La Haute-Côte-Nord,Quebec,QC,G0T,Town,022C04,48.15000,-69.71667,La Haute-Côte-Nord,581,America/Montreal
25240,Taft,Columbia-Shuswap,British Columbia,BC,V0E,Locality,082L15,50.98333,-118.65000,Columbia-Shuswap,250,America/Vancouver
25241,Tafton,Simcoe,Ontario,ON,L3V,Locality,031D11,44.63639,-79.41722,Simcoe,705,America/Toronto
25242,Taggart,Kenora,Ontario,ON,P0V,Locality,052K01,50.08558,-92.49533,Kenora,807,America/Winnipeg
25243,Taghum,Central Kootenay,British Columbia,BC,V1L,Locality,082F06,49.48333,-117.38333,Central Kootenay,250,America/Vancouver
25244,Tagish,,Yukon,YT,Y0B,Locality,105D08,60.31484,-134.27151,Yukon,250,America/Whitehorse
25245,Tahltan,Kitimat-Stikine,British Columbia,BC,V0C,Locality,104J02,58.01667,-131.00000,Kitimat-Stikine,250,America/Vancouver
25246,Tahsis,Strathcona,British Columbia,BC,V0P,Village,092E15,49.91639,-126.66444,Strathcona,250,America/Vancouver
25247,Taillon,Lac-Saint-Jean-Est,Quebec,QC,G0W,Locality,022D12,48.66278,-71.82500,Lac-Saint-Jean-Est,581,America/Montreal
25248,Taits Beach,Northumberland,Ontario,ON,K0L,Locality,031D01,44.10556,-78.27778,Northumberland,289,America/Toronto
25249,Takhini,,Yukon,YT,Y1A,Locality,105D14,60.85556,-135.46056,Yukon,250,America/Whitehorse
25250,Takhini Hotspring,,Yukon,YT,Y1A,Locality,105D14,60.87879,-135.35921,Yukon,250,America/Whitehorse
25251,Takipy,,Manitoba,MB,R8A,Locality,063N07,55.41361,-100.95944,Division No. 21,204,America/Winnipeg
25252,Takla Landing,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093N05,55.48333,-125.96667,Bulkley-Nechako,250,America/Vancouver
25253,Tako,,Saskatchewan,SK,S0K,Locality,073C06,52.40007,-109.01739,Division No. 13,306,America/Regina
25254,Taku,Stikine,British Columbia,BC,V0C,Locality,104N12,59.63333,-133.85000,Stikine,250,America/Vancouver
25255,Takysie Lake,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093F13,53.88333,-125.86667,Bulkley-Nechako,250,America/Vancouver
25256,Talbot,,Alberta,AB,T0C,Locality,073D03,52.23028,-111.26556,Division No.  7,587,America/Edmonton
25257,Talbot,Simcoe,Ontario,ON,L0K,Locality,031D11,44.50847,-79.12063,Simcoe,705,America/Toronto
25258,Talbot,Portneuf,Quebec,QC,G0A,Locality,031P01,47.08278,-72.24472,Portneuf,581,America/Montreal
