,outlet,url,title,authors,publish_date,text,keywords
0,cbc,https://www.cbc.ca/news/covid-19,CBC News | Information about COVID-19 in Canada,"['Alexandre Silberman', 'Jordan Omstead', 'Maryse Zeidler', 'Adam Miller', 'Evan Dyer']",,"Much of Ontario heading into Stage 3 of COVID-19 reopening plan this Friday

A large swath of Ontario will move to Stage 3 of the province's reopening plan on July 17, with the exception of the Greater Toronto Area and other parts of southern Ontario, which will remain in Stage 2 for now.",[]
1,cbc,https://www.cbc.ca/news/local,CBC News,"['Ryan Patrick Jones', 'Sarah Petz', 'Kate Bueckert', 'Claire Loewen', 'Shane Fowler', 'Kevin Yarr', 'Brooklyn Currie', 'Bradlyn Oakes']",,"What you need to know about COVID-19 in Ottawa on Monday, July 13

News - Canada - Ottawa |",[]
2,cbc,https://www.cbc.ca/player/news/live,News Live - Video,[],,"CBC Here and Now

Here and Now",[]
3,cbc,https://www.cbc.ca/sports/hockey/nhl/leafs-auston-matthews-covid-19-1.5647671,Auston Matthews confirms he tested positive for COVID-19,"['The Canadian Press', 'Posted', 'Jul', 'Pm Et', 'Last Updated']",,"Toronto Maple Leafs star Auston Matthews has confirmed that he tested positive for COVID-19 last month.

Matthews told reporters about the positive test as the Maple Leafs opened their training camp Monday, adding he was mostly asymptomatic.

""I mean, obviously didn't really enter my training. I was able to do stuff at home, obviously wasn't able to leave or skate or anything,"" Matthews said.

""That's really the only thing that took a hit for me. I was skating beforehand, and having to take 2 1/2, three weeks off the ice catches up to you, but pretty much asymptomatic, felt for the most part pretty normal for the two weeks. I did my quarantine and I'm feeling healthy now, so it's all good.""

The Toronto Sun first reported on June 19 that Matthews contracted the virus while at home in Scottsdale, Ariz., and was in quarantine to get healthy before the start of training camp.

WATCH | How safe are hub city bubbles?

As NHL hub cities Edmonton and Toronto prepare to host hundreds of players practising for the resumption of the season, there are concerns that ""bubble"" preparations don't go far enough to prevent COVID-19. 2:05

The Maple Leafs declined to confirm the report at the time, citing the privacy of players' medical records.

Arizona is among the U.S. states that has seen a recent spike in positive tests for the novel coronavirus.

""It was not a hotspot for like two months,"" Matthews said. ""It was like the safest place to be and then obviously things flipped pretty quickly there. I don't really find it too different than it is here. Lots of stuff, for the most part, closed other than outside seating and essential services and stuff like that.""

Matthews participated in Monday's practice.

The Maple Leafs are set to open a best-of-five playoff qualification series with Columbus on Aug. 2 in Toronto.

NHL says 30 positive tests in Phase 2

The NHL says 30 players tested positive for COVID-19 in testing during Phase 2 of the league's return-to-play plan, with another 13 testing positive outside of the league's protocol.

The league said in a statement Monday that over 600 players reported to their club's training facilities for Phase 2 — which began June 8 and allowed players to train in small groups at their teams' facilities — and 4,934 COVID-19 tests were administered to that group.

Phase 3 of the plan, the opening of training camps, started Monday.

The NHL said players who tested positive were or are currently self-isolated and following Centers for Disease Control and Prevention and Health Canada protocols.

Information on the identity of the players or their teams is not being provided by the league.

The league suspended its season March 12 due to the spread of the novel coronavirus.

The NHL is scheduled to resume play Aug. 1 in Edmonton and Toronto.",[]
4,cbc,https://www.cbc.ca/sports/hockey/nhl/penguins-sidelined-potential-coronavirus-exposure-1.5647580,9 Penguins off ice to open camp due to potential coronavirus exposure,"['John Wawrow', 'The Associated Press', 'Posted', 'Jul', 'Pm Et', 'Last Updated']",,"The Pittsburgh Penguins opened training camp Monday after voluntarily sidelining nine players who may have had secondary exposure to a person testing positive for COVID-19.

The Penguins did not reveal which players were held out as a precautionary measure. The NHL has barred teams from revealing injury or illness information as a way to protect player privacy.

The players in question were potentially exposed to an individual who had contact with a person who tested positive. The players will not be allowed to practice until they are deemed safe following further test results based on NHL protocols.

All teams opened camps Monday in preparation for the NHL's 24-team playoffs, scheduled to open in two hub cities — Toronto and Edmonton — on Aug. 1. Players had until Monday evening to elect to opt out of competition without penalty.

The Penguins are the Eastern Conference's fifth-seeded team and scheduled to face the 12th-seeded Montreal Canadiens in a best-of-five qualifying round series in Toronto.

A dozen or so <a href=""https://twitter.com/hashtag/Pens?src=hash&ref_src=twsrc%5Etfw"">#Pens</a> taking the ice at the UPMC Lemieux Sports Complex in Cranberry, minutes after the team announces 9 players have been sidelined due to exposure to someone who came in contact with someone else who tested positive for COVID-19. <a href=""https://twitter.com/KDKA?ref_src=twsrc%5Etfw"">@KDKA</a> <a href=""https://t.co/RobgLcrsR1"">pic.twitter.com/RobgLcrsR1</a> —@JoshTaylorHD

The NHL announced that 43 players tested positive for the coronavirus from June 8 through the end of the league's optional workouts. The league said 4,934 COVID-19 tests were administered to more than 600 players. Of the 43, 30 tested positive at team facilities and the others tested positive outside the NHL's Phase 2 protocols.

All players who tested positive self-isolated.",[]
5,cbc,https://www.cbc.ca/sports/basketball/nba/nba-basketball-toronto-raptors-kyle-lowry-1.5647849,Raptors veteran Lowry confident about safety protocols ahead of NBA restart,"['Lori Ewing', 'The Canadian Press', 'Posted', 'Jul', 'Pm Et', 'Last Updated']",,"Kyle Lowry has been a big contributor to the NBA's return to the court as part of the players' association restart group. He strongly believes it will work.

Speaking to the media for the first time since the NBA shut down on March 11 due to COVID-19, the Toronto Raptors veteran was feisty. He chastised one reporter for having bad WiFi. He pretended not to hear another. He said the best thing about the four month layoff was not having to ""talk to any of you guys.""

But the 34-year-old guard was serious when it came to the coronavirus, which is raging across the U.S. like a prairie grass fire. He's confident in the safety of the NBA's campus at Walt Disney World.

""Protocols are unbelievable, I think our protocols and our health and safety measures have been top-notch, I think this thing will work perfectly,"" Lowry said. ""I think the league, the players' association has done a phenomenal job of making sure that we're doing everything that we can possibly do to make sure that we're healthy, we're safe and we're in an environment where we can be successful and to do our jobs at a high level.""

In the time since the NBA chose to play at Disney World, Florida has become a COVID-19 hot spot, setting a record by topping 15,000 new cases on Sunday.

Major League Soccer also chose Disney World for its MLS is Back tournament, but stumbled out to a rocky start, with two teams withdrawing due to positive tests, and numerous game delays.

Grind now, shine later. <a href=""https://twitter.com/Klow7?ref_src=twsrc%5Etfw"">@Klow7</a> | <a href=""https://twitter.com/hashtag/WeTheNorth?src=hash&ref_src=twsrc%5Etfw"">#WeTheNorth</a> <a href=""https://t.co/pfAmNTkjOB"">pic.twitter.com/pfAmNTkjOB</a> —@Raptors

Lowry is a ""big fan of how everything has come together"" for the NBA, and said the weeks spent on a cruise ship with the U.S. basketball team at the 2016 Rio Olympics — the team opted not to stay in the athletes village — helped prepare him for the Florida campus and its restrictions.

""That experience was pretty awesome, being around those guys, but it kind of really prepared me for this type of living,"" said Lowry, wearing a backwards blue baseball cap on a Zoom call Monday. ""To live on a boat and be in a smaller room and not have as many amenities, that time really prepared me for this.""

He has no complaints about the living arrangements, which could be home to the Raptors for nearly three months.

""Listen, I'm living good,"" he said. ""I'm healthy, my family is good, I get to play basketball, I can't really complain. I get meals and I'm happy. I'm able to do my job and provide for my family and to get out there and entertain and try to give some enthusiasm back into the world with our basketball abilities.""

Setting the example

Raptors coach Nick Nurse said the fact Lowry was a big part of the team's restart plans trickles down to the rest of the team.

""Having him as the guy who's kind of setting the example, he'll say to these guys, 'Take this stuff seriously, take these protocols seriously, let's be smart and let's do it,' and I think it certainly resonates with the rest of the team,"" the coach said.

""Let's be smart"" will be key to the restart's success. New broke Monday that Houston Rockets forward and former Raptor Bruno Caboclo inadvertently broke quarantine and must now self-isolate in his room for eight days.

Nurse praised Lowry both for his leadership in the restart and on the court.

""It's clearly Kyle's team. His care factor is way up there, his intelligence factor is way up, we're in good hands with him being the leader of this team,"" Nurse said. ""When a guy plays the way he does, the leadership by example — that phrase is probably over-used, but it's certainly the case. For basketball in general, the way you play is like the first kind of characteristic of being a great leader.""

'Dad has to go to work'

Lowry, who has two young sons Karter and Kameron, said it will ""suck"" to be away from them for the next few weeks — families aren't permitted at Disney World until the second round of the playoffs.

But he said his boys understand the sacrifices required right now to play basketball.

""They understand that their dad has to go to work,"" Lowry said. ""The one thing I always say is FaceTiming technology, as you guys see on this Zoom thing, it's changed the game, so I can talk to my kids every single day. They can FaceTime me, they call me to talk, it's kind of interactive, we make sure that I know what's going on with their day, they're consistently asking me questions, and asking me to buy them Roblox [an online game].

""That's all they really care about is Roblox, and my money and spending it.""

The four-month break gave Lowry the rare chance to be home with his sons, and he cherished the time with them, and the opportunity to be able to tuck them into bed at night.

""That was the longest time I've ever been able to enjoy my actual home [in Philadelphia], my family, my friends,"" he said. ""But it was different. Times were different. You wanted to be more careful, you wanted to be in a situation where you want it to be safe, and understand that you have to be safe with your family.

""But right now, it feels great to be able to get back on the basketball floor with your guys, your teammates, getting the camaraderie back together, and knowing that you're about to do your job.""

The Raptors know that loneliness will be one of the biggest challenges of these unprecedented next few weeks, and so the team put up family photos in each player's room. They've all be appreciative, including Lowry, who said it was reminiscent of the family wall in the Raptors' locker room at Scotiabank Arena, which is plastered with photos of players' kids, spouses, parents and grandparents.

""That's just one thing that the Raptors organization has always kind of implemented is family, your family,"" Lowry said. ""So it's cool. Nice gesture.""

A theme of the NBA's restart will be social and racial justice. The Raptors arrived at Disney World in two buses painted with ""Black Lives Matter"" in big block letters. Lowry participated in a huge protest last month in Philadelphia.

""We are in a time where we need to keep that conversation going. We need to be heard from. We need to speak loud and clear,"" he said. ""We need to understand that things need to be done for the situation to be changed, laws to be changed.

""For me to be a part of that, that's who I am. I grew up a Black man in America. It's definitely a tough thing to grow up that way, because you never know what could possibly happen to you. You never know if you're going to make it out. For me to be able to talk to you guys is a blessing. So for me to be able to do that, it's my right, my duty and my honour to represent the Black culture.""",[]
6,cbc,https://www.cbc.ca/sports/soccer/mls/toronto-fc-dc-united-recap-mls-tourney-1.5647543,"Toronto FC blows late 2-goal lead, settles for draw in MLS tourney opener","['The Canadian Press', 'Posted', 'Jul', 'Pm Et', 'Last Updated']",,"It didn't seem possible the MLS is Back Tournament could start any worse for Toronto FC after its first match was postponed twice due to COVID-19 concerns.

But a late collapse, with 10-man D.C. United scoring the tying goal in stoppage time, proved different as Toronto had to settle for an unsatisfying 2-2 tie when the teams finally took the field Monday morning at ESPN's Wide World of Sports Complex in Florida.

""We're angry with ourselves, we're frustrated,"" sad Toronto captain Michael Bradley. ""For a team that wants to be as good as we do and for a team that holds ourselves to the standards that we do, there's no way that you should let a team like that back in the game today.""

""We were in position to win the game, we should have won the game and we collapsed,"" echoed Toronto coach Greg Vanney.

Ayo Akinola, in a rare start, scored twice in the first half to give Toronto a 2-0 lead.

WATCH | Toronto FC's Ayo Akinola flashes skill in 1st half:

Toronto FC homegrown product Ayo Akinola of Brampton, Ont. scored two first half goals, before a late collapse led to a 2-2 draw against D.C. United. 2:12

D.C. United played the second half down a man after midfielder Junior Moreno received a second yellow for going through the back of Marky Delgado in first-half stoppage time.

Toronto used its man advantage in the second half, stroking the ball around the field, and seemed cruising to a commanding win until the bottom fell out.

It started in the 84th minute when D.C. United scored against the run of play.

'Gutsy performance'

Substitute Federico Higuain, in his D.C. United debut after knee surgery and a decorated career in Columbus, cooly chipped the ball over Quentin Westberg after the heart of a reshuffled Toronto defence was sliced open by a pass from Brazil's Felipe.

Defender Frederic Brillant completed the comeback in the 91st minute, heading in the tying goal from a Felipe free kick.

Akinola came close to restoring the Toronto lead in the 96th minute but Bill Hamid got a hand to his header.

""Overall, just in general, a gutsy performance from what I think is a mentally tough group,"" said D.C. coach Ben Olsen. ""It has not been an easy 10, 11 days since we got here. A lot of moving parts, a lot of cancellations and games being moved. So to get something out of that game, I think, says a lot about our group.

""Yes we can get better. But this is a marathon and the trick at these tournaments is to keep pushing and getting better throughout the tournament.""

WATCH | Toronto salvages draw after coughing up lead:

Despite playing down a man in the second half, D.C. United's Federico Higuain scored in the 84th minute and Frederic Brillant scored in stoppage time, as D.C. salvaged a 2-2 draw with Toronto FC. 2:31

Vanney shuffled three-quarters of his backline in the second half, changes he said were due to physical issues he did not want to exacerbate in the Florida heat and humidity.

Fullback Justin Morrow came off at halftime after experiencing some Achilles tendinitis. Centre backs Omar Gonzalez and Chris Mavinga were replaced in the 64th minute after both started cramping.

Replacement centre backs Eriq Zavalata and Laurent Ciman were victimized on both goals.

Toronto wins shots, possession battle

On the first, D.C. could have driven a fleet of Mack trucks down the centre of the pitch without hitting anything after a Ciman giveaway at midfield triggered the counter-attack.

Substitute Richie Laryea then gave away an unnecessary free kick just inside the Toronto half that led to the tying goal. Steven Birnbaum rose high to beat Zavaleta, who protested he had been fouled, and sent the ball to Brillant, who got between Bradley and Ciman to head the ball home.

Toronto outshot D.C. United 18-8 (7-5 in shots on target) and had 66.4 per cent possession — helped by its second-half numerical advantage.

There was some bad blood after the final whistle of a game that saw some ugly tackles. Bradley said some of it seemed to come from D.C. players blaming them for the match postponements.

The two teams were originally scheduled to meet Friday night but that was pushed back to Sunday due to Toronto's late arrival (July 6), caused by the need for additional COVID-19 testing after a member of the travelling part reported symptoms.

Sunday's game was called off minutes before the 9 a.m. ET kickoff in the wake of a positive test for a D.C. United player and an inconclusive test for a Toronto player.

All other players tested negative in a round of new testing. The two players in question, neither of which were identified by their clubs, were isolated pending receipt of a second negative test.

The tournament, which marks the league's first action since it shut down March 12 due to the global pandemic, has already lost FC Dallas and Nashville SC due to a rash of positive COVID-19 tests.

Akinola splits defenders

The game finally kicked off at 9:08 a.m. in 28 C heat. Both teams arrived wearing masks and Black Lives Matter T-shirts, taking a knee before kickoff.

There was no evidence of rust as Toronto pressed D.C. and attacked on multiple fronts despite the absence of star striker Jozy Altidore.

Akinola scored in the 12th minute, beating one defender and then splitting two more before hammering in a right-footed shot from the edge of the box. The goal came after Hamid's goal kick went straight to Bradley in the D.C. end, with an Alejandro Pozuelo pass eventually finding Akinola.

The 20-year-old scored again in the 44th minute after Pozuelo beat Brillant to the ball following an 11-pass Toronto sequence. Pozuelo floated the ball to the far post where an unmarked Akinola tapped it in.

Akinola came into the match with one goal in 12 career MLS appearances (including two starts) spread over three seasons. It was his first MLS game action since June 29, 2019, and first start since May 8, 2019.

Westberg made a remarkable one-handed save to stop Ola Kamara's header from point-blank range in first-half stoppage time.

On the plus side, Argentine newcomer Pablo Piatti looked sharp in his Toronto debut, showing a good rapport with Pozuelo and Brazil's Auro on the right flank. Akinola also made the most of his opportunity.

And Bradley, in his first outing since injuring his ankle in the Nov. 10 MLS Cup final, was a force in midfield.

Reds face Impact on Thursday

""I thought he was fantastic,"" said Vanney.

Toronto has not lost a regular-season game since Aug. 3, 2019, when it was beaten 2-0 by the New York Red Bulls. Vanney's team has gone 5-0-8 since.

Toronto's next Group C game is Thursday against the Montreal Impact, who lost their opener 1-0 to the New England Revolution last Thursday.

The three group games count in the regular-season standings with Toronto now at 1-0-2 and D.C. United at 1-1-1.

Altidore did not make the matchday 23. He was late joining the team after spending the lockdown at his Florida home and had to train on his own while fulfilling quarantine.

Canadian midfielder Jonathan Osorio didn't dress due to a quad strain.

Vanney said Altidore could get some minutes against Montreal with the third game targeted for Osorio.

Toronto knocked D.C. United out of the playoffs the last time they met, scoring four goals in extra time in a 5-1 first-round win in October.",[]
7,cbc,https://www.cbc.ca/sports/baseball/mlb/tony-fernandez-patch-tribute-blue-jays-1.5647376,Blue Jays to honour Tony Fernandez by wearing No. 1 uniform patch this season,"['The Canadian Press', 'Posted', 'Jul', 'Am Et', 'Last Updated']",,"The Toronto Blue Jays will honour Tony Fernandez by wearing a uniform patch with the former infielder's longtime No. 1 this season.

The club's career leader in games played, hits and triples, Fernandez died on Feb. 16 at age 57.

The 1993 World Series winner and five-time all-star had battled kidney problems for several years. He was first hospitalized with polycystic kidney disease in 2017.

Signed by the Blue Jays in 1979, the Dominican native played 12 seasons over four stints with the club. Fernandez hit .333 with nine runs batted in during the Blue Jays' 1993 six-game World Series win over the Philadelphia Phillies.

Fernandez's name was placed on the Blue Jays' Level of Excellence at Rogers Centre in 2001.

""There are few players in the game who can impact a team and a fan base the way Tony did in Toronto,"" Blue Jays president/CEO Mark Shapiro said in a statement.

""Beyond his impressive career numbers, achievements, and accolades, Tony resonated with baseball fans because of how he played the game and conducted himself as a teammate. To wear a patch in his memory is to honour his exceptional life on behalf of Blue Jays fans across the country.""

WATCH | The legend of Tony Fernández:",[]
8,cbc,https://www.cbc.ca/sports/hockey/nhl/nhl-canadian-teams-return-to-play-storylines-1.5646758,Storylines for 6 Canadian NHL teams gearing up for return to play,"['Joshua Clipperton', 'The Canadian Press', 'Posted', 'Jul', 'Am Et', 'Last Updated']",,"COVID-19 and the threat it poses to the NHL's plan to restart the 2019-20 season remains the overarching storyline as 24 teams prepare to open summer training camps Monday before heading to the hub cities of Edmonton and Toronto on July 26. With that firmly in mind, The Canadian Press takes a look at some of the hockey-related themes as the six clubs from north of the 49th parallel prepare to gather together as full groups for the first time since the schedule was suspended March 12.

Calgary Flames

The Flames will take on the Winnipeg Jets in the only all-Canadian matchup of the best-of-five qualifying round that leads into the usual 16-team playoff bracket. Calgary is slated to be without Travis Hamonic after he opted out of the return plan due to ""family considerations.""

Calgary will miss the steady defenceman against Winnipeg's firepower up front, but perhaps even more pressing will be the need for Johnny Gaudreau and Sean Monahan to find their offensive games against Vezina Trophy candidate Connor Hellebuyck in the Jets' goal following sub-par regular seasons. The Flames will also need a big performance from winger/leading scorer/general pest Matthew Tkachuk after Calgary was stunned by Colorado in the first round of last spring's playoffs following a 107-point campaign.

Edmonton Oilers

Led by Connor McDavid and Leon Draisaitl, the Oilers are set to take on the Blackhawks in the qualifying round. Edmonton sat 11 points clear of Chicago at the time the NHL suspended its schedule. Draisaitl won the regular-season scoring race with 110 points, 13 ahead of the second-place McDavid. Edmonton has the benefit of not having to travel to its hub city, and knows Rogers Place well, but that's where the advantage of playing in the Oilers' home rink probably ends.

WATCH | Toronto, Edmonton chosen as hub cities:

The NHL is officially returning to the ice this summer as the league and its players' union ratified an agreement on Friday. 2:19

They also won't have Mike Green, who was acquired at the trade deadline from the Detroit Red Wings, after the blue-liner also chose to opt out, citing ""deeply personal family health reasons."" The Blackhawks were all but eliminated from playoff contention back in March, but were handed a lifeline by the NHL's return-to-play plan. The series looks like a mismatch on paper, but don't discount the pedigree of a team led by three-time Stanley Cup champions Jonathan Toews and Patrick Kane.

Montreal Canadiens

Like the Blackhawks, the Canadiens were playing out the string back in March, but now find themselves with an opportunity to write an incredible story. Montreal will take on the Pittsburgh Penguins, who sat 15 points clear of the Habs at the time the league shut down, in the qualifying round.

The Canadiens suffered through two excruciating eight-game losing streaks this season, and were also cut down by a number of injuries. And while they'll be heavy underdogs against Pittsburgh's battle-tested group led by Sidney Crosby and Evgeni Malkin, Montreal has playoff experience of its own in Shea Weber, Brendan Gallagher and Carey Price.

Toronto Maple Leafs

The Leafs were experiencing a roller-coaster season before the pandemic struck. From off-ice controversy, to finally naming a captain, to a coaching change, to playing well below expectations, Toronto's 2019-20 was never dull. Now the club will take on the Columbus Blue Jackets in the qualifying round for the right to make the playoffs. Auston Matthews took a big step forward, having already set career-highs with 47 goals and 80 points when the schedule was halted.

WATCH | League, players approve NHL return to play plan:

CBC News' Raffy Boudjikanian outlines the NHL's return-to-play plan, including the decision to use Edmonton and Toronto as the two ""hub cities."" 2:31

But after The Toronto Sun reported last month the star centre tested positive for COVID-19, there are obvious questions about his ability to play at the highest level when the games start to count Aug. 1. Toronto has plenty of firepower apart from Matthews, including Mitch Marner, John Tavares and William Nylander, but the play of netminder Frederik Andersen could be the difference against a bruising Columbus team that will get a big boost with the return of a healthy Seth Jones on its blue-line.

Vancouver Canucks

Another contrast in styles sees the Canucks take on the Wild in the qualifiers. Vancouver is led by its young core of Elias Pettersson, Quinn Hughes and Brock Boeser. Hughes and Pettersson both said recently they felt physically refreshed after the long break forced on the league by the coronavirus.

Both can expect plenty of attention from Minnesota's veteran roster and strong defence corps led by Ryan Suter. How they deal with that could be the difference. Vancouver goalie Jacob Markstrom is the main reason the Canucks looked primed to make the playoffs for the first time since 2015 before the campaign was shut down. Vancouver's thin on post-season experience, but that could be a good thing in a scenario like no other.

Winnipeg Jets

After the Jets lost some massive pieces on their blue-line last summer, Hellebuyck stepped up and kept Winnipeg in the fight. The netminder was 31-21-5 with a 9.22 save percentage and a 2.57 goals-against average in 2019-20 and is the main reason the Jets found themselves in a playoff spot back in March.

Winnipeg and Calgary played just once in the regular season, and that was an outdoor game in Regina, so neither team has much to go on in terms of recent head-to-head play. Kyle Connor scored 38 times for the Jets this season, while Mark Scheifele (29), Patrik Laine (28) and Blake Wheeler (22) also cracked the 20-goal mark.",[]
9,cbc,https://www.cbc.ca/sports/olympics/summer/trackandfield/yevgeny-yurchenko-resignation-russian-track-1.5647648,Russian track president Yevgeny Yurchenko quits amid doping stalemate,"['The Associated Press', 'Posted', 'Jul', 'Pm Et', 'Last Updated']",,"The president of the Russian track federation resigned Monday after less than five months in the job amid a stalemate with World Athletics regarding the country's longstanding doping suspension and an unpaid $5 million US fine.

In a brief statement on the federation website, Yevgeny Yurchenko didn't give a reason for stepping down.

He said he wished his successor could ""move forward to resolve the nearly five-year-long difficulties in relations with World Athletics and also make it possible to attract enough funding to develop the federation.""

The federation, known as RusAF, missed a July 1 deadline to pay the $5 million fine and $1.3 million in costs. Yurchenko said at the time it couldn't afford to pay.

When Russia missed the deadline to pay, World Athletics froze procedures allowing top Russian athletes to compete internationally as ""authorized neutral athletes"" during Russia's suspension, ahead of a July 29-30 council meeting. That could prevent some top Russians competing when the Diamond League restarts next month.

""We are aware of this news,"" World Athletics said in a statement, ""but this is obviously an internal matter and we will wait to hear from RusAF.""

Accusations of forged documents

The fine was imposed after Yurchenko admitted wrongdoing on behalf of RusAF under its previous leadership. The federation had been accused of providing forged documents to give an athlete an alibi for being unavailable for doping testing. RusAF has been suspended since 2015 for widespread doping.

Before Yurchenko was elected unopposed on Feb. 28, he was best known as a businessman with a seat on the board of a majority state-owned aircraft manufacturer. He also briefly served as a regional deputy governor.

Also Monday, the president of the Russian Olympic Committee said in comments reported by state news agencies that an audit of the country's anti-doping agency's finances revealed irregularities.

The allegations could not immediately be verified, but ROC president Stanislav Pozdnyakov was quoted as saying the audit would be made public. The agency's supervisory board will consider the findings from the audit, Pozdnyakov said in comments reported by the RIA Novosti agency.

Russian Anti-Doping Agency CEO Yuri Ganus denied any financial misconduct on Friday. He was speaking in response to allegations published anonymously on the social media and messaging platform Telegram.

The Russian agency, known as RUSADA, is challenging the World Anti-Doping Agency over its decision to bar Russia's name and flag from major events including the Olympics. WADA ruled last year that Russia manipulated doping laboratory data to cover up past offences.",[]
