,outlet,url,title,authors,publish_date,text,keywords
0,ctvnews,https://www.ctvnews.ca/canada/ctv-news-marijuana-legalization-in-canada,Marijuana legalization in Canada,[],,"Read the latest news on marijuana legalization in Canada, arriving in your inbox every month.",[]
1,ctvnews,https://www.ctvnews.ca/health/coronavirus/tracking-every-case-of-covid-19-in-canada-1.4852102,Tracking every case of COVID-19 in Canada,[],2020-03-13 14:17:00-04:00,"July 10 – One new recovery was announced, bringing the total number of recoveries in the province to 1,000.

July 8 - Health officials reported one new case of COVID-19.

July 6 - The province added one new case of COVID-19 that is related to travel outside of Canada.

July 3 – Nova Scotia is reporting no new cases of COVID-19, breaking a three day streak of reporting new cases in the province.

July 2 – One new case was added on Thursday.

July 1 - Health officials announced one new case of COVID-19.

June 30 – The province reported one new case of COVID-19 that is related to travel. This marks the first case reported since June 9.

June 22 - The province reported one death and no new cases.

June 19 – Nova Scotia has gone 10 days without a new case. The province lists only one case as currently active. On Thursday, Premier Stephen McNeil announced that Nova Scotians can now gather in groups of 10 without physical distancing.

June 12 – The province issued a correction Saturday afternoon to say there were no new cases. Earlier in the day they announced one case but clarified that it was a false positive. One recovery was also announced.

June 11 – The province added just one recovery on Thursday.

June 10 – After issues with the province’s public health reporting system, the province's ‘reconciled’ data confirmed no new cases and adjusted recovery numbers from 999 to 994 recoveries.

June 9 – The province reported one new case of COVID-19 and one more death.

June 7 – Health officials announced one new case of COVID-19 on Sunday.

June 6 – The province announced two recoveries on Saturday.

June 4 -- Health officials in Nova Scotia report one death as a result of COVID-19, as well as two recoveries.

June 3 -- Health officials in Nova Scotia report one new case of COVID-19, as well as one recovery.

June 1 - Health officials reported one new case of the novel coronavirus on Monday, and three cases were recovered.

May 31 -- The province reported no new cases of COVID-19, but three cases were reported as recovered.

May 30 - Nova Scotia adds one new case of COVID-19 and one death.

May 28 -- Health officials in Nova Scotia report two new active cases of COVID-19, as well as two recoveries.

May 27 -- Nova Scotia adds one new active case of COVID-19.

May 26 -- Nova Scotia adds two new active cases of COVID-19, along with one death.

*Nova Scotia announced two new cases on Tuesday, but also noted one previous false positive. The total number of cases in the province went up by one, from 1,051 to 1,052.

May 25 -- Nova Scotia adds one new active case of COVID-19, along with one recovery.

May 24 – Health officials announced one new case of COVID-19 on Sunday, along with four recoveries.

May 23 – Health officials announced one new case and eight recoveries.

May 22 -- Nova Scotia adds two new active cases of COVID-19, along with two recoveries.

May 21 -- Nova Scotia adds one new active case of COVID-19, along with one death.

May 20 -- Nova Scotia adds one new active case of COVID-19, along with one death.

May 19 -- Nova Scotia adds one new active cases of COVID-19, along with one death.

May 18 -- Nova Scotia adds three new active cases of COVID-19, along with eight recoveries.

May 17 – The province reported three new cases of the virus as well as eight recoveries.

May 16 – Health officials announced three new COVID-19 cases and 12 recoveries on Saturday.

May 15 -- Nova Scotia adds eight new active cases of COVID-19, along with four deaths.

May 14 -- Nova Scotia adds two new active cases of COVID-19, along with 39 recoveries.

May 13 -- Nova Scotia added four new active cases of COVID-19, along with 3 deaths.

May 12 -- Nova Scotia adds one new active case of COVID-19, along with 97 recovered patients.

May 11 – Nova Scotia announces one new case of COVID-19, as well as one death.

May 10 – The province announced seven new cases on Sunday, along with six new recoveries.

May 9 – The province announced just three new cases of COVID-19 on Saturday and one new death. Health officials also announced 21 recoveries.

May 8 – Nova Scotia is reporting two more deaths related to COVID-19 and only one new case of the virus.

May 7 – Nova Scotia is reporting nine new cases, as well as three more deaths related to COVID-19 at the Northwood long-term care home in Halifax.

May 6 – Nova Scotia reports seven new cases of COVID-19 in the province.

May 5 – Nova Scotia has reported six new active cases and three deaths in the province.

May 4 – Nova Scotia is reporting 14 new cases and another death related to COVID-19, bringing the total number of deaths in the province to 38.

May 3 – The province announced eight new cases of COVID-19 and six deaths.

May 2 – The province announced four new cases of COVID-19, along with two new deaths.

May 1 – Nova Scotia announces 12 new active cases of COVID-19, and one death.",[]
2,ctvnews,https://www.ctvnews.ca/podcasts/ctv-national-news-with-lisa-laflamme,CTV National News with Lisa LaFlamme,[],,"'Viewpoints' covers top stories in the news: from politics to entertainment to current affairs.

A check-in on the public mood of Canadians with hosts Michael Stittle and pollster Nik Nanos.

Subscribe to the CTV Question Period Podcast to get your weekly fix of political news.

Listen to CTV's Power Play podcast for a daily dive into the top political stories.

Listen to Canada's most trusted newscast with Lisa LaFlamme, delivered nightly Monday to Friday.

Get CTV News in your mailbox

We offer a variety of email newsletters to choose from, so you never miss out on the information you need most.

Create your own CTVNews.ca account to start receiving newsletters. You can use your new account to:",[]
3,ctvnews,https://www.ctvnews.ca/canada/true-north-tales-newsletter-sign-up,True North Tales Newsletter,[],,"Welcome to True North Tales, a newsletter full of stories showcasing the Canadian spirit. Sign up to read about ordinary Canadians doing extraordinary things and making their mark on the world – arriving directly in your inbox every other Friday.",[]
4,ctvnews,https://toronto.ctvnews.ca/mother-charged-after-allegedly-stabbing-her-two-young-children-in-toronto-1.5020314,Mother charged after allegedly stabbing her two young children in Toronto,['Sean Davidson'],2020-07-11 11:14:00-04:00,"TORONTO -- A mother has been charged with attempted murder after her two young children were found with stab wounds inside a Toronto apartment.

Authorities were called to a North York apartment building, in the Weston Road and Finch Avenue area, just after 10 a.m. on Saturday morning.

Police said when they arrived they located two children, a six-month-old girl and a four-year-old boy, suffering from stab wounds inside an apartment unit.

A video sent to CTV News Toronto by a viewer shows a woman being led into the back of a police cruiser in handcuffs. It also shows what appears to be the children being carried into an ambulance.

The children were rushed to SickKids Hospital with serious injuries, police said. Their injuries were initially deemed life-threatening but police later said their condition improved and are expected to survive.

Const. Alex Li said the 36-year-old mother, who was arrested at the scene, has been charged with two counts of attempted murder, two counts of assault and two counts of aggravated assault.

The identity of the woman will not be released, police said, to protect the identity of the victims.

""This is a very serious stabbing and we're taking this very seriously,” Li said. “We have deployed our available resources to look into the matter... You can expect an active crime scene.""

""Having young children myself, I couldn't imagine that type of trauma and injury,"" Li said.

Anyone with information is being urged to contact police or Crime Stoppers.",[]
5,ctvnews,https://montreal.ctvnews.ca/rolling-convoys-held-in-kahnawake-and-kanesatake-on-oka-crisis-30th-anniversary-1.5020362,Rolling convoys held in Kahnawake and Kanesatake on Oka Crisis 30th anniversary,['Sidhartha Banerjee'],2020-07-11 12:50:00-04:00,"KANESATAKE, QUE -- Slow-moving vehicles waving flags and sounding their horns marked the 30th anniversary of the Oka crisis on Saturday, with community activists urging real reconciliation and a settlement to the long-standing land claim that remains unresolved three decades later.

""Land back, we want our land back, that's part of reconciliation,"" said Ellen Gabriel, a Mohawk activist and spokesperson for the People of the Longhouse in Kanesatake.

""Giving our land back and having us part of the decision making process on what happens on our land, that's reconciliation, and it has to be done in a decolonized framework, in a way that respects Indigenous laws, that respects the rights of the women who are the title holders of the land you're standing on.""

The commemoration was to honour those community members who played a critical role during in the summer of 1990, when the country's attention was on Oka, a small town about 50 kilometres northwest of Montreal.

""The stand taken that summer became an important symbol for peoples across North America, inspiring them to take similar stands against the emancipation of their ancestral lands,"" Gabriel said.

Thirty years ago Saturday, on July 11, 1990, Quebec provincial police moved in on a barricade erected by Mohawks that March to protest the planned expansion of a golf course and development on what is ancestral land.

A provincial police officer was killed and the situation escalated into a tense, 78-day standoff between Mohawks and Canadian soldiers.

""Our basic human rights were violated by the Surete du Quebec (provincial police), the Canadian army, condoned by the governments of Quebec and Canada, pushed forward by private enterprises including those within the municipality of Oka,"" Gabriel said.

The 1990 siege ended when the expansion was cancelled and the barricades came down.

Three decades later, however, the underlying land dispute remains unresolved.

The trio of federal ministers that oversee Crown-Indigenous Relations and Northern Affairs Canada said in a statement the pain and trauma inflicted continues to this day.

""Today, we must acknowledge that progress in our relationship has been unequal, halting, and often, far too slow,"" the government said, adding mistakes must be learned from.

""We must resolve to never order the deployment of the Canadian Armed Forces against Indigenous Peoples, as we remain deeply committed to dialogue and peaceful resolution of conflict.""

Like the conversation around residential schools and murdered and missing Indigenous women, Gabriel said the issue in Kanesatake won't be an easy one.

""It's going to be an uncomfortable discussion,"" Gabriel said. ""But when are we actually going to see actions and have a voice in what reconciliation is going to be.""

Under a light rain, a rolling convoy made its way through the community to a nearby provincial park, passing by a real-estate development in Oka that has been a flash point in recent years, before returning home.

A similar event took place Saturday in Kahnawake Mohawk Reserve, southwest of Montreal, where a rolling convoy of vehicles from that community stopped briefly on the Mercier Bridge, which was barricaded in 1990 in solidarity for those manning posts in Oka.

""A lot of people joined in and it lasted a good two hours, driving on the highway at about 10 kilometres an hour,"" said Joe Deom, a sub-chief in the Bear clan.

""I felt it good about the attention our own people had to this anniversary -- a lot of our own people weren't even born at that time, so it's good that they're enthusiastic about it.""

Among those present in Kanesatake on Saturday was NDP Leader Jagmeet Singh and Manitoba NDP MP Leah Gazan, invited by the Longhouse.

Singh said thirty years removed, lessons clearly haven't been learned.

""The problem was created by Canada,"" Singh said. ""It's 2020, with the resources this country has, there's no excuse why this cannot be resolved.""

In many ways, Gabriel said, the situation remains unchanged -- land rights aren't respected and systemic racism remains at the core of Indigenous people's relationship with governments.

Ghislain Picard, the grand chief of the Quebec Assembly of First Nations, marked the 30th anniversary with an open letter calling on Quebec Premier Francois Legault to change his tune on systemic racism, which the premier has said repeatedly doesn't exist.

""Systemic racism and discrimination are not just concepts or theoretical notions,"" Picard wrote. ""Rather, they are a set of facts and behaviours and we should not be afraid to name and denounce them if we are genuinely willing to correct them.""

This report by The Canadian Press was first published July 11, 2020.",[]
6,ctvnews,https://montreal.ctvnews.ca/kahnawake-peacekeeper-says-the-1990-oka-crisis-helped-make-the-force-what-it-is-today-1.5020591,Kahnawake Peacekeeper says the 1990 Oka Crisis helped make the force what it is today,['Daniel J. Rowe'],2020-07-11 18:11:00-04:00,"MONTREAL -- Few people had as unique a view of the Oka Crisis in 1990 as the officers at the Kahnawake Peacekeepers.

Retired Peacekeeper (PK) Warren White said that the summer of 1990 was incredibly tough, but it helped make the community’s police force what it is today.

“Today you have a well-educated police department,” said White. “They’re very well trained, they’re very community oriented and they believe in their community.”

White joined the force in 1979 and retired in 2013.

Leading up to 1990, White said the relationship with surrounding municipalities and populations was always tense.

“Our relationships with our surrounding communities was always very, very fragile because the governments kept telling the people that we weren’t a police department and they shouldn’t recognize us,” said White.

Kahnawake, unlike Kanesatake where the SQ patrolled the community in 1990, had a local police force in place. When Kahnawake’s warriors joined in solidarity with those in Kanesatake under siege by blocking the Mercier Bridge and highways cutting through the community, the eight-man force maintained patrols.

“We were caught up in a situation that we had no control over,” said White. “Yes, we were a police department, but there were eight of us. How was eight policemen going to control something that was already out of control.”

Current PK Clint Jacobs was watching from across the river in Montreal’s West Island, and seeing his fellow community members suffer helped his decision to apply for the job in 1991.

“There was all this turmoil in Kahnawake and stress, and out there (on the West Island), it didn’t affect them one bit,” he said. “They didn’t quite understand. People were saying, ‘Why do you want to live there? Why don’t you just leave?’ They don’t understand that it’s your home.”

Jacobs ran supplies into the community and helped those who needed transport to a hospital.

“That’s kind of why I became a Peacekeeper because I was too separated from my community, and I never felt more separated than at that time,” said Jacobs.

Peacekeepers helped transport food in to the community that was donated from community groups in the surrounding area, and escorted elders, women and children off the territory.

White was with the caravan that went through the infamous Whiskey Trench where cars full of women and children were pelted with rocks as police officers in LaSalle watched.

“It was terrible to see,” said White. “It wasn’t us that created that incident there. It was the lack of the police departments in LaSalle, in Montreal, the SQ, RCMP from in fact doing anything. They just stood there and watched.”

White remembers being on a boat escorting people across the water when an SQ helicopter stopped him with guns drawn.

“What was ironic about it was the officer who was pointing a gun at me, I knew who he was because I met him before, and I blatantly said to him, ‘what are you doing’ and the officer was shocked,” said White. “He put the firearm away and just flew off, but still… He was in shock that that thing happened.”

Though frustrated, White sympathized with officers on the other side.

“I believe some of them were sensitized through their training to deal with Native people – maybe not as much as what’s being done today – but these are people that over those years, prior to 1990, when we needed expertise, we called them,” said White. “It was the higher ups that were telling them what to do,” said White.

When the standoff ended, Peacekeepers continued to do their job patrolling the community, often having to pull over residents from off the territory for traffic violations and other offences. White and Jacobs said it took years to get non-Indigenous people to respect their authority.

“It was very hard,” said White. “Every time we tried to stop a vehicle that committed a traffic violation, they would flee and we ended up in chases out of our territory. And everybody challenged our authority.”

“As Peacekeepers we kind of got stuck in the middle,” said Jacobs. “You had outside forces that were encroaching, they wanted to extend their jurisdiction on our territory, (and) obviously there were issues with people’s relationship with outside departments was not good at all, and we got stuck in the middle.”

White said things started to change in the late '90s, highlighted by the Mohawk Council of Kahnawake and Quebec government signing the Agreement on Police Services Between Quebec and Kahnawake in March 1999.

White said he feels current PKs benefit from the fights he and his fellow officers went through in the '80s and '90s. The force is now a respected Indigenous policing agency that is held up as an example across the country.

“We were the guinea pigs,” said White. “We learned.”",[]
7,ctvnews,https://www.ctvnews.ca/world/trump-lags-biden-on-people-of-colour-in-top-campaign-ranks-1.5020347,Trump lags Biden on people of colour in top campaign ranks,['Darlene Superville'],2020-07-11 12:01:00-04:00,"WASHINGTON -- Amid a summer of racial unrest and calls for more diversity in leadership, President Donald Trump lags Democratic rival Joe Biden in the percentage of people of colour on their campaign staffs, according to data the campaigns provided to The Associated Press.

Twenty-five per cent of the Republican president's senior staff are nonwhite, compared to 36% of Biden's senior staff. Biden's overall campaign team is 35% nonwhite; Trump's campaign did not provide a comparable number.

And neither campaign provided racial breakdowns for their nonwhite staff, nor the total number of staffers who are on their payrolls, including senior staff.

Advocates for minority groups say staff diversity is necessary to ensure political candidates hear a full range of voices and viewpoints to help them understand the concerns of various communities and interest groups -- especially at a time when racial injustice is front and centre in the national conversation. And while Biden has an edge on Trump, there is plenty more to be done in presidential campaigns overall.

Jennifer Lawless, commonwealth professor of politics at the University of Virginia, said ""there are still a lot of milestones that haven't been hit"" by political campaigns, such as a Black man or woman directing -- and winning -- a presidential campaign. And she said having diverse staff at lower levels in campaigns can help increase the pool of future managers, finance chairs and others.

""It's all part of the pipeline,"" Lawless said.

Trump's campaign makeup got a double-take in June when Vice-President Mike Pence tweeted -- and later deleted -- a photo from his visit to campaign headquarters. The photo at first drew attention for the lack of social distancing and use of face masks among the staff. But it also was notable for the sea of mostly white faces.

Eric Rodriguez, senior vice-president of policy and advocacy at UnidosUS, said the Biden team had more Latinos in senior positions than Trump.

""You need people from those communities to be able to make those connections,"" said Rodriguez, whose organization used to be called the National Council of La Raza.

The rival campaigns fared better -- and are about even --- on employing women, with females filling more than half of all jobs overall, and more than half of all senior positions.

The president's daughter-in-law, Lara Trump, who is white, former White House aide Mercedes Schlapp, who is Cuban American, and Katrina Pierson, who is Black and worked on Trump's 2016 campaign, are among the highest-profile senior female staffers working to help reelect him.

Others include former Fox News host Kimberly Guilfoyle, now a top campaign fundraiser and the girlfriend of Trump's son, Donald Trump Jr., and Hannah Castillo, the campaign's coalitions director. Guilfoyle's late mother was from Puerto Rico. Castillo is Mexican American.

Biden senior adviser Symone Sanders, who is Black, is the campaign's highest-ranking person of colour and, at 30, is the youngest member of his inner circle. The candidate also recently brought on several African Americans who worked for President Barack Obama, including Karine Jean-Pierre, formerly an NBC News and MSNBC political analyst.

Jamal Brown, a spokesperson for Biden, said the former vice-president's campaign reflects the ""diversity, breadth and promise of America.""

""He believes our democracy is strongest when people see themselves reflected in their government,"" added Brown, who is Black.

The killing in May of George Floyd, who was Black, by a white Minneapolis police officer sparked nationwide protests against racial injustice and calls for greater minority representation across the board in society that brought fresh scrutiny to the presidential campaigns.

Biden had faced questions earlier in the campaign about the lack of diversity on his staff. Along with adding more people of colour to his campaign, Biden has promised an administration that ""looks like America"" if he is elected on Nov. 3.

The U.S. population is about 60% white, 19% Latino and 13% Black, according to Census Bureau estimates.

Trump has not made a similar pledge about a potential second term. His campaign declined to discuss minority representation on the campaign staff.

Four women currently serve in Trump's Cabinet: CIA Director Gina Haspel and Education Secretary Betsy DeVos, both of whom are white; Jovita Carranza, a Latina who leads the Small Business Administration; and Transportation Secretary Elaine Chao, who was born in Taiwan.

Housing Secretary Ben Carson is the only Black member of the Cabinet.

Rodriguez summed up the Biden campaign strategy as focused on winning support from a diverse pool of voters, especially in battleground states where large numbers of Latino and Black voters live. He characterized Trump's strategy as being ""really all about the base"" and attempting to replicate his successful 2016 campaign playbook, which used immigration as a wedge issue.

""The strategy is to run on racial division,"" Rodriguez said of the president, who has begun to use the racial tensions that surfaced after Floyd's killing in his reelection pitch.

Still, Trump and his campaign make regular appeals to Black and Latino voters.

The president regularly cites employment gains for these groups before the coronavirus pandemic struck, and he continues to showcase legislation he signed to overhaul criminal sentencing procedures and provide permanent funding for historically Black colleges and universities.

This week, Trump was surrounded by Latino American leaders as he announced a new advisory commission to help Hispanic Americans with economic and educational opportunities.

But the event also highlighted how far Trump has to go in winning support from people of colour. Critics of Trump's record with Hispanics called for a boycott of the Goya food company after its president praised Trump at the event.

The president does have strong support among some people of Cuban and Venezuelan descent, though, because of his tough stance against authoritarian leaders in those countries.

The Biden campaign said LGBTQ staff and staff of colour hold such positions as senior advisers, deputy campaign managers, national coalitions director, chief financial officer, chief operating officer and national press secretary, among others.

Trump's campaign defined its senior staff as ""senior leaders who meet regularly to make decisions. People with authority,"" and did not elaborate.",[]
8,ctvnews,https://www.ctvnews.ca/world/video-calls-separate-bedrooms-bolsonaro-s-first-covid-week-1.5020444,"Video calls, separate bedrooms: Bolsonaro's first COVID week",['Daniel Carvalho'],2020-07-11 14:44:00-04:00,"BRASILIA, BRAZIL -- After months in which Brazilian President Jair Bolsonaro downplayed COVID-19 by flouting social distancing recommendations and mostly shunning masks, both coronavirus precautions became part of his cloistered life this week at the official residence in capital Brasilia.

Bolsonaro, 65, announced on Tuesday that he tested positive for the virus and had experienced fever, aches and malaise. He scrapped a trip he had planned to northeastern Piaui state, and all his meetings for the week were converted to video calls.

One was with former congressman Roberto Jefferson, president of the conservative PTB party. Jefferson told The Associated Press that he went to the presidential Planalto Palace and sat in front of a large television where he could see Bolsonaro in a makeshift office at his residence.

""I found the president well, flushed, willing. In very good health,"" Jefferson said Saturday. ""I only saw him cough once, when I made a joke.""

Since his diagnosis, Bolsonaro has held virtual meetings almost every day with Jorge Oliveira, secretary-general of government, to sign official documents. According to Oliveira's office, a protocol was created so work could be carried out digitally.

This was also how Bolsonaro interviewed candidates to head the education ministry, he said on Facebook on Thursday. The following day, he named to the post Milton Ribeiro, a former deputy dean of Mackenzie University in Sao Paulo who preaches at a Presbyterian church in Santos, outside the metropolis.

Only a few aides who were previously infected by the new coronavirus could get close to Bolsonaro during the week, one of them said on Tuesday. The person declined to be named, citing lack of authorization to speak with journalists. Bolsonaro also spent some time in the afternoons in front of the palace with photojournalists 400 yards away, on the other side of a garden. He had met his supporters by that garden until his diagnosis, but no longer.

The new routine marks a stark change for Bolsonaro, who spent months attending rallies with his fans, heading out to bakeries and food trucks to mix and mingle. He sometimes declined to wear a mask. He has scoffed at the restrictions mayors and governors implemented to contain the spread of the virus, arguing their economic impacts would cause more suffering than the virus, which he repeatedly called ""a little flu.""

Bolsonaro took hydroxychloroquine pills for five days, Monday through Friday, according to a member of the presidential medical team who asked to not be identified, citing patient confidentiality and because the person isn't authorized to speak publicly. The drug has no proven effect on the treatment of COVID-19 and can cause side effects such as cardiac arrhythmia, according to medical studies. As a result, Bolsonaro was subjected to electrocardiograms and blood tests, the person said.

Brazil's presidential press office said in a statement that the president has experienced no medical problems with his treatment.

The aide who spoke on condition of anonymity said Bolsonaro slept in a different bedroom to keep the first lady, Michelle Bolsonaro, safe. He lives with her, his daughter and step-daughter.

On Saturday, the first lady shared a photo of her COVID-19 test results showing she was not infected.

""My daughters and I tested negative for COVID-19,"" she wrote in the post on her verified Instagram account. ""I appreciate the prayers.""

On Thursday, Jair Bolsonaro held his weekly live broadcast on Facebook. This time, he was not accompanied by a minister or a sign language interpreter, as usual. Despite saying he felt well, he said he should still be isolated next week, so as to avoid contaminating anyone.

""I'm sorry I can't interact with you here. Not even next week will it be possible, because I think I will not yet be completely free of the virus, so I will not have anyone on my side here,"" Bolsonaro said on the broadcast.

During the broadcast, he wasn't wearing a mask. But the aide said Bolsonaro now regularly wears the equipment to protect both his family and the more than 100 employees who work at the residence.",[]
9,ctvnews,https://www.ctvnews.ca/world/tanzania-s-ruling-party-nominates-president-to-run-again-1.5020324,Tanzania's ruling party nominates president to run again,[],2020-07-11 11:53:00-04:00,"DODOMA, TANZANIA -- Tanzania's ruling party on Saturday nominated President John Magufuli to run for a second five-year term, while opposition parties and human rights groups demand an independent electoral body to oversee the October vote.

The unanimous decision by the Chama cha Mapinduzi party to back Magufuli came as no surprise.

The president, nicknamed ""The Bulldozer"" for his relentless work ethic and populist approach, has unsettled critics and some in the international community as his government clamps down on opposition gatherings, arrests opposition leaders and punishes dissent.

His administration's approach to the coronavirus pandemic -- not announcing case numbers since April, questioning face masks and declaring COVID-19 defeated -- has caused further alarm.

Former President Ali Hassan Mwinyi and members of the ruling party have urged Magufuli to try to stay in power after 2025 despite Tanzania's two-term limit. But he has said he won't seek an extension after two terms.

Opposition parties have not declared their official candidate, and they have expressed skepticism with the electoral commission, demanding amendments to ensure the upcoming vote is free and fair.

Ruling party secretary-general Bashiru Ali told the gathering that the National Executive Committee nominated Magufuli because of his commitment to social and economic development and fighting corruption.

Magufuli said he was surprised by the support. ""I never imagined I could get 100%,"" he said. ""This, however, should not mean winning the election by 100% as we have more work to do as a party.""",[]
