,outlet,url,title,authors,publish_date,text,keywords
0,langleyadvancetimes,https://www.langleyadvancetimes.com/./news/,News – Langley Advance Times,"['The Canadian Press', 'Ashley Wadhwani', 'Vikki Hopes', 'John Arendt', 'Michael Rodriguez', 'Nick Greenizan', 'Associated Press', 'Sarah Grochowski', 'Binny Paul', 'Local Journalism Initiative Reporter']",,"News

Twitter racing to unravel mystery cyberattack Some of the world’s most prominent names had their Twitter accounts post invitations for an apparent Bitcoin scam Jul 16, 2020",[]
1,langleyadvancetimes,https://www.langleyadvancetimes.com/news/do-you-think-you-have-covid-19-here-is-what-to-do-next/,Do you think you have COVID-19? Here is what to do next – Langley Advance Times,['Ashley Wadhwani'],2020-03-12 06:30:00-07:00,"Symptoms, prevention, how to get tested and what to do if you get

The World Health Organization declared the COVID-19 outbreak as a pandemic on Wednesday, March 11, 2020. (The Canadian Press)

As COVID-19 continues to spread, health officials are urging British Columbians to ensure they take the proper steps to get tested while also not spreading the virus to others.

“Now is the time to put some distance between us to keep our germs to ourselves,” provincial health officer Dr. Bonnie Henry said earlier this week, reiterating crucial steps of prevention she has noted since mid-February.

The virus has spread rapidly in B.C. over the past few weeks. There have been at least 46 cases and one death. Globally, there have been more than 118,00 confirmed cases and 4,300 deaths, the majority of them in China, Italy and Iran.

ALSO READ: ‘Social distancing’ ramps up as COVID-19 spreads and economic toll mounts

That includes at least four cases of community transmission, which means it remains unclear how those cases were contracted but were not from travelling.

So how do you know if you have the novel coronavirus? How can you tell if it is COVID-19 and not the flu or cold? And most importantly: What do you do if you are, in fact, infected?

Symptoms of COVID-19:

The symptoms of the novel coronavirus are similar to a common cold or flu, according to the Public Health Agency of Canada.

That includes a fever and cough but most importantly difficulty breathing or shortness of breath. In severe cases, symptoms can include severe lung infections.

Health officials have warned that it can take up to 14 days, or two weeks, for symptoms to appear and can range from mild to severe. Seniors and those with underlying medical conditions are most at-risk of seeing adverse impacts if they contract the virus.

Out of precaution, health officials have made it clear: if you feel sick, stay home.

""Now is the time to put some distance between us to keep our germs to ourselves,"" Henry says. #COVIDー19 — Ashley Wadhwani (@ashwadhwani) March 7, 2020

The B.C. government has now added an online assesment tool for those who think they may have the disease, and what steps they need to take based off their symptoms.

How the virus spreads:

Coronavirus is transmitted through larger liquid droplets – such as when a person coughs or sneezes. That means the virus can enter a second person’s system through their eyes, nose or throat if in close contact.

While the virus is not known to be airborne, or transmitted through the particles floating in the air, and it is not something that comes in through the skin, it can be spread by touch if a person has used their hands to cover their mouth or nose when they cough.

Health officials recommend to always cough or sneeze into the arm and wash your hands regularly. People should also avoid handshaking and hugs.

A good rule of thumb: Stay at least six feet away from another person.‎

How to get tested:

Anyone who thinks they may have the virus is being urged not to panic, and most importantly to stay home.

Anyone in B.C. who develops symptoms should first call HealthLink BC, by dialing 811, to talk to a health care worker and determine the most appropriate next steps.

The nurses at HealthLink BC will complete an exposure risk assessment of callers with compatible symptoms, such as cough or influenza-like symptoms. In some cases, nurses may suggest a caller go see a health care provider for assessment and testing, either at an urgent primary care centre or walk-in clinic.

Our 811 navigators and nurses are doing an incredible job with record high call volumes – providing support to 3291 callers yesterday. We are adding more staff and more phone lines to resolve the intermittent busy signals some people have experienced. @TeamPAL #COVID19 — Adrian Dix (@adriandix) March 12, 2020

It is highly recommend that anyone who may have COVID-19 call ahead to tell the clinicians that they are coming.

COVID-19 testing is done through a nasopharyngeal swab or throat swab.

Anyone who is tested may be told to self-isolate until the tests can be analyzed in a laboratory. Test results can be found by calling the B.C. Centre for Disease Control coronavirus hotline at 1-833-707-2792.

What happens if you have COVID-19:

Anyone with COVID-19 is being placed in quarantine, at their home or in the hospital, for at least 14 days. In order to be released from quarantine, an infected person must have two consecutive negative tests at least 24 hours apart.

The BC CDC suggests that if you are sharing your home to stay and sleep in a room with good airflow that is away from others. Other precautions include using a separate bathroom, if you can, avoid sharing household items, flush the toilet with the lid down, and clean and disinfect common areas once a day.

Is there a cure?

At this time, there is no vaccine for this particular coronavirus, and health officials say it could take many years to create.

There is no specific treatment, but many of the symptoms can be managed with home treatment such as drinking plenty of fluids, rest and using a humidifier or hot shower to ease a cough or sore throat, according to HealthLink BC.

Most people recover from coronaviruses on their own, however for people with more serious illness, supportive care in or out of hospital may be needed.

@ashwadhwani

ashley.wadhwani@bpdigital.ca

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
2,langleyadvancetimes,https://www.langleyadvancetimes.com/news/covid-19-six-handwashing-mistakes-to-avoid/,COVID-19: Six handwashing mistakes to avoid – Langley Advance Times,['Ashley Wadhwani'],2020-03-03 17:00:00-07:00,"Washing hands is one of the top tips from health officials to help combat novel coronavirus

Washing your hands frequently and staying home when you’re feeling ill is more effective than facemasks in controlling the spread of a virus. (Black Press Media file)

With new novel Coronavirus cases emerging all over the world, health officials are urging residents to take precautionary measures to prevent more individuals from getting sick.

Canadian health officials are urging people to wash their hands frequently, with soap, for at least 20 seconds at a time and avoid touching their face or other people.

Handshakes and embraces should also be avoided.

“Wash our hands, stay home when you’re sick, stay home from school, stay home from public events, stay home from visiting people in long term health [facilities] and hospitals,” Health Minister Adrian Dix said at a news conference in early March.

Lucky for us, a 17-year-old developer from Oxford, England has designed an easy way to make sure we all properly wash our hands.

William Gibson, the teen behind washyourlyrics.com, has created a poster generator that takes your favourite song and automatically turns it into a hand washing infographic.

“All you need is the song title and artist,” the website reads.

The Canadian Press

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
3,langleyadvancetimes,https://www.langleyadvancetimes.com/news/covid-19-canadian-cases-by-province/,"COVID-19: Canadian cases, by province – Langley Advance Times","['Ashley Wadhwani', 'Katya Slepian']",2020-03-11 09:38:00-07:00,"Thousands have been confirmed to have the virus in Canada

Here’s a look at how many COVID-19 cases have been confirmed in Canada. Black Press Media will be updating this chart on a regular basis.

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
4,langleyadvancetimes,https://www.langleyadvancetimes.com/news/worried-about-your-vacation-amid-the-covid-19-pandemic-heres-what-you-can-cancel/,Worried about your vacation amid the COVID-19 pandemic? Here’s what you can cancel – Langley Advance Times,"['Katya Slepian', 'Canada']",2020-03-13 09:30:00-07:00,"Many airlines, hotels and Airbnbs have updated policies due to the novel coronavirus

FILE – Many airlines and hotels are offering free cancellation due to the COVID-19 pandemic. (Unsplash)

Were you looking forward to a vacation this spring but are now worried about the COVID-19 pandemic?

Canada is under a global travel advisory due to the novel coronavirus. Canadians are being urged to avoid non-essential travel and Transport Canada is warning that repatriation flights are not currently being operated, which could leave those who choose to go abroad stranded.

For hotel stays and airlines outside of Canada, check with your airline, your hotel or your travel agent for their cancellation policies. Some travel insurance is continuing to cover COVID-19 but many providers are not, deeming it a “known circumstance,” which is typically excluded from coverage. Trip cancellation insurance may be an option for those who booked before news of COVID-19 broke.

All air passengers are required to wear masks, although some airlines have removed or relaxed physical distancing requirements on board.

READ MORE: Thinking of travelling? Your insurance policy might not cover COVID-19

READ MORE: Safety is the new hospitality: A guide to summer travel during COVID-19

READ MORE: Travel will have to wait, despite calls from Canada’s business leaders, Trudeau says

Air Canada

Air Canada is cancelling or suspending a variety of flights and routes due to COVID-19, although some travel is beginning to start up again for the summer both here at home and abroad, with increased sanitation practices.

For exact details on route suspensions go to: https://www.aircanada.com/ca/en/aco/home/book/travel-news-and-updates/2020/route-updates.html.

WestJet

WestJet is beginning to add back international destinations as the traditional summer travel season starts up. The airline has brought in more flexible options for travellers to cancel or change their flights, and said they’ve increased safety practices, including extra sanitation, on their flights. For more information, visit: https://www.westjet.com/en-ca/travel-info/coronavirus.

Following Prime Minister Justin Trudeau’s message telling Canadians abroad to come home and for those here to not leave the country, WestJet is suspending international ticket sales as of 11 p.m. PT on Wednesday.

At end of day Sunday, WestJet will suspend all commercial international flights for a 30-day period. After that, CEO Ed Sims said the airline will focus on repatriation and rescue flights.

Sunwing

Sungwing has suspended all southbound flights and vacations between March 17 and July 31, and will be giving affected customers a travel credit. Travel is set to resume as of Aug. 1 and standard change and cancellation policies will apply. For more information, visit: https://www.sunwing.ca/en/promotion/packages/travel-advisory.

Swoop

Swoop has paused all international flights due the the COVID-19 pandemic, and suspended travel to some of its domestic destinations. Travellers with cancelled flights can receive a travel credit or be rebooked by Swoop. The airline is also applying temperature checks to all passengers before they board, as well as increasing sanitation. For more information, visit: https://www.flyswoop.com/coronavirus.

Cruises

All cruises are banned in Canada for the duration of the 2020 travel season

Airbnb

Airbnb has brought in a new enhanced cleaning protocol for some of its hosts, and customers will be able to see if their destination has the practices in place. People who have made reservations for stays and experiences on or before March 14, for check-in dates between March 14 and July 31, are covered by the extenuating circumstances policy as long as they cancel before they check-in.

The host’s usual cancellation policy will apply to reservations made after March 14, unless the host or guest becomes sick with COVID-19. For more information, visit: https://www.airbnb.ca/resources/hosting-homes.

@katslepian

katya.slepian@bpdigital.ca

Like us on Facebook and follow us on Twitter.

CoronavirusFamily VacationsHolidays",[]
5,langleyadvancetimes,https://www.langleyadvancetimes.com/news/covid-19-heres-a-phase-by-phase-look-at-how-b-c-hopes-to-re-open-parts-of-society/,COVID-19: Here’s a phase-by-phase look at how B.C. hopes to re-open parts of society – Langley Advance Times,['Ashley Wadhwani'],2020-05-08 16:00:00-07:00,"It’s too soon to say exactly how certain sectors will be given the green light to re-open, and when

As health officials work to sort out the particulars around what specific industries and sectors will need to do in order to re-open safely, British Columbians have been given a high-level road map as to what will relaunch, and when.

Led by provincial health officer Dr. Bonnie Henry, the multi-phase plan which has been dubbed “the new normal” will rely on whether B.C. sees a required decrease in the number of new daily COVID-19 cases.

As long as British Columbians don’t let up on the basics – frequently washing hands, practising physical distancing, avoiding any non-essential trips, staying home when sick, and taking a careful approach to broadening social circles beyond those currently in their household – there has been much hope voiced by health officials that there could be overnight camping, movie theatres and other social activities returning in coming months.

“We need to have a slow and thoughtful reset, we do not want to undo all that we have done,” Henry said on Thursday (May 7).

ALSO READ: Here’s what is considered an essential service in B.C.

The plan to re-open parts of B.C., curated by Henry and Health Minister Adrian Dix, will meet its first test in a few weeks, as the province moves to “Phase Two” with the re-opening of libraries, in-person counselling, restaurants and more.

Henry has made it clear that bans will be reintroduced if she sees a resurgence in cases.

Here’s a timeline of how the province plans to phase in various services.

Phase Two, mid-May:

Re-scheduling elective surgeries and other health services

Dix announced this week that health authorities have already started calling patients who were forced to reschedule an elective surgery due to hospital restrictions and so bed space remained open in case of a spike in COVID-19 cases.

Meanwhile, other medical services such as dentistry, physiotherapy, registered massage therapy and chiropractors will also be able to safely re-open. This includes physical therapy, speech therapy and similar services.

In-person counselling will also be able to resume under physical distancing protocols.

Hair salons and personal services

Welcome news for most: Salons, barber shops and other personal service establishments will be able to accept clients. The decision by health officials comes despite a growing petition signed by some stylists and barbers asking the province not to “single them out” by opening first.

Restaurants, cafes and pubs

In late April, a group of restaurateurs were asked to create a proposed plan on how the industry could re-open safely. Since mid-March, restaurants and pubs of all sizes have been operating only as take-out and delivery services due to concerns of physical distancing.

A possible blueprint, created by the BC Restaurant and Foodservices Association, on how businesses will have to adjust floor plans, seating arrangements and even the handling of cash, is currently before WorkSafeBC, which will be the final green light before dine-in options can return.

Henry has said that ensuring public trust is a second piece in the puzzle. The proposed plan includes a course that business owners and employees will have to undergo, and if passed, get to place a sticker on their front window.

Recreation and community spaces

Phase Two is also set to include the re-opening of museums, art galleries and libraries, as well as recreation spaces.

Parks, beaches and outdoor sites can also open. As with all other sites, physical distancing must be possible, as well as places to properly wash hands. In some cases, this could mean a cap on the number of visitors at any given time.

Health officials have OK’d some non-contact sports, such as soccer and lacrosse.

B.C. Parks has announced some trails will re-open to day use on May 14, with camping reservations to relaunch on May 25 through the Discover Camping online portal.

Office work spaces

Returning to the office will be likely for many British Columbians, but will have to be under measures that reduce the density of employees within certain areas.

Health officials have suggested that employers may stagger shifts, place physical barriers in between desks and space, and ensure hand sanitizer is available for staff.

All employers should have sick-day policies in place so employees don’t attend work when ill, and consider providing work from home options when possible, to reduce contact intensity.

Child care and education

As parents and caregivers prepare to return to work, the province is anticipating an increased need in child care support.

Child care has been considered an essential service, meaning that was not forced to close down like other businesses. Officials have said that in-classroom education will involve its own set of phases – yet to be released – that will allow kids back in the classroom before others.

“With weeks left in the school year, we anticipate many kids will not return to the classroom until September,” the province confirmed.

Phase Three, June to September

If transmission rates of COVID-19 remain low or in decline, Henry has said that further restrictions will be eased under enhanced measures.

While large-scale events, such as parades or mass gatherings will remain off the table through the summer and possibly into next year, the province is hopeful that British Columbians will be able to go to the movies again, starting in July.

Hotels and resorts

The hotel industry has been hard-hit due to a decrease in overall travel both inter-provincially and internationally, forcing many to shutter.

In Victoria and Vancouver, some have entered agreements with the province to serve as temporary housing for hundreds of homeless people currently living in three large encampments.

Exactly what protocols will be put in place in order for hotels and resorts to open safely have not been released, but will likely involve enhanced cleaning and limited guests. The World Health Organization and Henry have suggested that the bacterium does not live on surfaces for longer than hours to days, but specifics have not been confirmed by researchers.

Camping

Overnight camping will be available across B.C.’s parks beginning June 1. Meanwhile, some private campgrounds have remained open through the pandemic.

Film industry

It’s no surprise that Hollywood North has suffered due to border closures and physical distancing measures. Filming across B.C. tends to pick up in the spring and summer, specifically for Hallmark Christmas movies.

Health officials hope that in June or July that domestic productions will be able to resume.

Entertainment

In July, British Columbians may be allowed to head to the movies or attend a symphony, so long as transmission rates stay low.

While large concerts and festivals are off the table, movie theatres and smaller venues will have to follow current bans on gatherings being less than 50 people. Physical distancing also calls for at least two metres between individuals or strangers.

Education

The next school year will still be feeling the impacts of COVID-19, according to B.C.’s plan.

In September, Kindergarten to Grade 12 students will see a “partial return” to school. It’s too soon to say exactly what that will look like.

Post-secondary students could see a mix of online and in-class lectures, with a likely cap on attendance in larger-sized classrooms.

Phase Four, to be determined

It’s unclear when B.C. will enter Phase Four of the provincial plan, because it relies on the development of a widely available vaccine – which has yet to be created – the province reaching herd immunity, or a broad successful treatment that can manage COVID-19 symptoms.

Henry has said that B.C.’s goal is not to reach herd immunity because too many people, particularly seniors, run the risk of seeing adverse impacts of the virus and high numbers of cases would place too much pressure on the health care system.

ALSO READ: Gaining herd immunity through COVID-19 transmissions ‘ineffective’: B.C.’s top doctor

The BC Centre for Disease Control has warned it could take years for a vaccine to be developed, tested and widely implemented.

However, when that does come, B.C. health officials will look to allowing conventions, live audiences at professional sports, concerts, night clubs and casinos and international tourism. Those sectors will also have to create individually tailored plans that meet the necessary health requirements.

@ashwadhwani

ashley.wadhwani@bpdigital.ca

Like us on Facebook and follow us on Twitter.

Want to support local journalism during the pandemic? Make a donation here.

BC governmentCoronavirus",[]
6,langleyadvancetimes,https://www.langleyadvancetimes.com/community/langley-firefighters-charity-takes-a-new-direction-during-covid-19-pandemic/,Langley firefighters charity takes a new direction during COVID-19 pandemic – Langley Advance Times,"['Dan Ferguson', 'Local News']",2020-07-16 08:00:00-07:00,"Organizes golf tournament in place of mayor’s gala; boot drive may still happen

Probationary firefighter Nick Stobbe, firefighter Tim Payne, and lieutenant Andrew Penny all participated in the 2018 firefighter boot drive for Muscular Dystrophy Canada at the Save-On-Foods on 64th Avenue. COVID-19 has forced the firefighters charity to cancel a number of fundraisers, but the boot drive could still happen. (Langley Advance Times file)

When the COVID-19 pandemic scuttled their fundraising mayor’s gala this year, Langley firefighters had to come up with a backup plan to support local charities.

Nick Short, co-executive director of the Township of Langley Firefighter’s Charities Society (TLFCS), said if anything, there is even more of a need to help.

“Everyone has been hurt by COVID and charities are no different,” Short commented.

A golf fundraiser had been discussed in the past, but didn’t get very far.

“We bounced around the idea,” explained Short.

“But we already do a number of big events like the mayor’s gala and the boot drive. “

But now, with no gala, the appeal of an event that carries built-in social distancing was evident.

“We decided we could make it work,” Short told the Langley Advance Times.

On Monday, August 24, the first annual charity TLFCS golf tournament to benefit the Langley Hospice Society will take place at the Redwoods Golf Course near Fort Langley.

Fees range from $850 for a foursome, to $450 for a twosome.

To resister, or donate, visit the event website: www.tlfcschipin.com.

VIDEO: a jump in turnout for Mayor’s Charitable Gala fundraiser in Langley

Presented by POWER Earth Enterprises Inc and Vulcan Metalworks, the “Chip In” tournament includes a full 18 holes of golf, food and beverages, including smokie and beer or cider on Hole 10, as well as dinner with a choice of a sirloin steak, BBQ chicken, and and prizes.

Among the restrictions listed by Redwoods, everyone attending the tournament will be required to maintain physical distancing at all times.

There will be a consecutive tee times start, golfers are not permitted to show up earlier than 45 minutes prior to their tee time, no more than six people are permitted at registration or on a hole at any time, and no bag drops are permitted.

Short rates the response so far as “really good” while firefighters scramble to find more sponsors in a limited time.

He thinks there will be another golf tournament next year, but possibly moved to a different date to avoid conflict with the gala, which he described as “postponed” until 2021, not cancelled.

Another casualty of the pandemic was the firefighters annual daffodil campaign to help fight cancer, which was planned for Easter.

READ ALSO: Cancer campaign close to home for firefighters

There is a possibility the boot drive may still happen, Short added, but that will depend on what restrictions health authorities have in place.

“The boot drive is fairly doable if we have to keep it to five or six [firefighters collecting donations at a time],” he elaborated.

On Sept. 3, Redwoods will host the Greater Langley Chamber of Commerce Golf Tournament, featuring 18 holes, lunch on the 10th holes and a Steak and lobster plated dinner, but no physical banquet.

Cost per golfer is $250, plus tax.

Players can register by calling 604-371-3770 or email events@langleychamber.com.



dan.ferguson@langleyadvancetimes.com

Like us on Facebook and follow us on Twitter

charityfirefightersLangley",[]
7,langleyadvancetimes,https://www.langleyadvancetimes.com/community/a-man-of-many-many-cars/,"A man of many, many cars – Langley Advance Times","['Dan Ferguson', 'Local News']",2020-07-15 16:00:00-07:00,"Langley’s David Turner has owned a ‘couple hundred’ vehicles, most of them just long enough to fix

Fernridge resident David Turner, seen here at the start of the Brogan’s Diner fundraising ride against cancer in Langley City on July 12, 2020, found his latest car, a 1995 Firebird, at the back of an Aldergrove barn.(Dan Ferguson/Langley Advance Times)

Among the community of classic car owners in Langley, David Turner is known for owning a lot of cars, rarely for very long.

At 76, the Fernridge resident isn’t exactly sure how many have passed through his hands.

“I’ve probably had 30 good cars, cars that were fixed up nice for car shows,” he estimated.

“Over a lifetime, I’ve probably had a couple hundred.”

His very first car acquisition came about when he and his brother asked about a neglected 1946 Ford, and the owner said the two teens could have it for free, if they could push it off the property..

They did. As it turned out all the old car needed was a new fuel pump, and the brothers were able to sell it.

“It think we got $20,” Turner laughed.

His interest in cars started getting serious about the time Turner was 18, and he bought his first car for driving, a 1956 Ford that was a former California police cruiser.

After putting a lot of work into fixing it up, he didn’t get to drive it very long, because the car got hit by a drunk driver.

“It was a write-off,” Turner recalled.

“He [the other driver] had no insurance.”

READ ALSO: ‘Our hands are tied’: Langley Good Times Cruise-In announces cancellation due to COVID-19

After that, Turner went on to acquire many other vehicles, getting into the habit of buying them and working on them until someone else was willing to purchase them.

It was more of a hobby than a business, he explained.

“It was just for the fun of building them,” Turner told the Langley Advance Times.

“When I was finished, I’d get bored. As soon as I get them to the point where you can sell them, I sell them.”

A high point, he recalls, was selling his prized 1964 Comet, after 20 years of ownership, to Bill Gates’ neighbour in Seattle.

Now retired from his job with the Township water department, and a later job at a stove and stone store than lasted about 10 years, Turner still keeps an eye out for potential acquisitions.

“I’m always looking.”

Turner spotted his latest project while he was out for a drive and saw a neglected 1995 Firebird.

“I found it in the back of a barn out in Aldergrove. It was one of those ones you’ve got to have,” he related.

“I don’t think there’s more than 20 in B.C.”

It needed a lot of work.

“It was pretty rough.”

It took about 60 hours just to clean accumulated grime from the body, engine compartment and wheels, and get the T-roof locks working, among other things.

READ ALSO: VIDEO: Record turnout for third annual Langley car show against cancer

By the time he showed up for the annual Brogan’s Diner car show fundraiser against cancer, he said the car hadn’t been repainted yet.

The upholstery was in good shape, though, and he covered the driver’s side seat with a towel for protection.

Other than that, it was in good running order, perfectly able to handle the demands of a four-hour drive to Harrison and back.

Admittedly, it was a different choice for Turner, who usually ends up working on classic hot rods.

“I just wanted something different,” he explained.

“No matter what you do to a classic hot rod, it’s still not comfortable. These are a little bit more comfortable and fun to drive. And it’s collectible.”

He was able to make the round-trip in comfort with a working car heater while some hot rod owners ended up getting pretty cold, he related.

A 20-year-old grandson, aware of Turner’s tendency to lose interest in projects when completed, has been dropping hints about the Firebird.

Bad news for the grandchild; Turner isn’t planning on selling this one, although he concedes old habits might be hard to break.

“I hope not [to sell], this time,” is how he described his decision.



dan.ferguson@langleyadvancetimes.com

Like us on Facebook and follow us on Twitter

CommunityLangley



Sign up here Get local stories you won't find anywhere else right to your inbox.

Fernridge resident David Turner at the wheel of his latest car, a 1995 Firebird, seen here at the start of the Brogan’s Diner fundraising ride against cancer in Langley City on July 12, 2020. (Dan Ferguson/Langley Advance Times)",[]
8,langleyadvancetimes,https://www.langleyadvancetimes.com/news/body-found-after-suspicious-fire-near-langley-surrey-border/,VIDEO: Body found after ‘suspicious’ fire near Langley/Surrey border,[],,,[]
9,langleyadvancetimes,https://www.langleyadvancetimes.com/news/the-public-has-spoken-alder-inn-to-be-demolished-in-near-future-at-250000-cost/,"‘The public has spoken’: Alder Inn to be demolished at $250,000 cost – Langley Advance Times","['Sarah Grochowski', 'Local News']",2020-07-15 13:14:00-07:00,"Township council votes to use $250,000 to demolish the 71-year-old building in downtown Aldergrove

Alder Inn, located at 27214 Fraser Hwy. in Aldergrove, will be demolished after Langley Township mayor and council voted in favour of toppling the 71-year-old building Monday.

“The public has spoken,” voiced Langley Township Coun. Petrina Arnason at Monday afternoon’s council meeting – where the majority of councillors and mayor voted to demolish the long-standing Alder Inn.

“Having read all the different submissions from the community,” Arnason said it was clear what the majority of Aldergrove wanted.

“The community wants the building demolished now,” Coun. Kim Richter affirmed.

Up until July 13, the Township was asking Aldergrove residents and stakeholders in the community for feedback regarding Coun. Eric Woodward’s June 15 motion to demolish the 71-year-old downtown building.

“We’ve heard from the public that the building needs to come down,” said Coun. Blair Whitmarsh, referencing feedback results.

RELATED: Alder Inn could see a wrecking ball in the near future

The only member of council adamantly opposed to the demolition was Aldergrove resident Bob Long, who argued that the $250,000 estimated cost of abatement and demolition of the site was counter to the Townships’s vested interests.

“If we demolish it we will have no revenue coming from it at all. At least when it’s occupied we get tax revenue of $20,000 per year,” Long said.

“It will leave a big gap in the middle of downtown,” he continued.

“I think the building needs to be sold, or at least leased,” Long said, to recoup some of the cost of purchasing it – along with two adjacent lots – for $5.4-million in June 2019.

Woodward rebutted that demolition of the central site will in fact increase the value of the property at 27214 Fraser Hwy. due to “the removal of an old building that is no longer economically viable.”

POLL: Should the Alder Inn be demolished, or preserved?

Ultimately, councillors Long and Arnason voted against the demolition – with Arnason citing concerns about the accelerated pace of Woodward’s motion to topple the structure.

“I’m just going to vote what my conscience tells me is the right decision,” she said.

Long alluded to the Township not considering a recent offer made to buy and re-purpose the hotel.

The rest of council ultimately voted in favour of demolition.

READ MORE: Is this the Alder Inn’s end?

Funding sourced for the project is to be determined by council at a later date, Township Mayor Jack Froese said.

The Aldergrove Credit Union Community Centre (ACUCC), just down the road from the inn was mentioned several times throughout the meeting.

Both Whitmarsh and Davis questioned an expenditure for demolition downtown after council was informed that the lack of financial resources has led to the extended closure of the Otter Co-op Outdoor Experience since mid-March, as well other recreational opportunities put on by the Township this summer in Aldergrove.

“Opening the ACUCC needs to be priority,” Davis said.

AldergroveLangley Township",[]
