,outlet,url,title,authors,publish_date,text,keywords
0,mapleridgenews,https://www.mapleridgenews.com/./news/,News – Maple Ridge News,"['Joti Grewal', 'The Canadian Press', 'Ashley Wadhwani', 'Vikki Hopes', 'John Arendt', 'Michael Rodriguez', 'Associated Press', 'Neil Corbett', 'Binny Paul', 'Local Journalism Initiative Reporter']",,Sidoo was sentenced for hiring someone take the SATs in place of his two sons,[]
1,mapleridgenews,https://www.mapleridgenews.com/news/do-you-think-you-have-covid-19-here-is-what-to-do-next/,Do you think you have COVID-19? Here is what to do next – Maple Ridge News,['Ashley Wadhwani'],2020-03-12 06:30:00-07:00,"Symptoms, prevention, how to get tested and what to do if you get

The World Health Organization declared the COVID-19 outbreak as a pandemic on Wednesday, March 11, 2020. (The Canadian Press)

As COVID-19 continues to spread, health officials are urging British Columbians to ensure they take the proper steps to get tested while also not spreading the virus to others.

“Now is the time to put some distance between us to keep our germs to ourselves,” provincial health officer Dr. Bonnie Henry said earlier this week, reiterating crucial steps of prevention she has noted since mid-February.

The virus has spread rapidly in B.C. over the past few weeks. There have been at least 46 cases and one death. Globally, there have been more than 118,00 confirmed cases and 4,300 deaths, the majority of them in China, Italy and Iran.

ALSO READ: ‘Social distancing’ ramps up as COVID-19 spreads and economic toll mounts

That includes at least four cases of community transmission, which means it remains unclear how those cases were contracted but were not from travelling.

So how do you know if you have the novel coronavirus? How can you tell if it is COVID-19 and not the flu or cold? And most importantly: What do you do if you are, in fact, infected?

Symptoms of COVID-19:

The symptoms of the novel coronavirus are similar to a common cold or flu, according to the Public Health Agency of Canada.

That includes a fever and cough but most importantly difficulty breathing or shortness of breath. In severe cases, symptoms can include severe lung infections.

Health officials have warned that it can take up to 14 days, or two weeks, for symptoms to appear and can range from mild to severe. Seniors and those with underlying medical conditions are most at-risk of seeing adverse impacts if they contract the virus.

Out of precaution, health officials have made it clear: if you feel sick, stay home.

""Now is the time to put some distance between us to keep our germs to ourselves,"" Henry says. #COVIDー19 — Ashley Wadhwani (@ashwadhwani) March 7, 2020

The B.C. government has now added an online assesment tool for those who think they may have the disease, and what steps they need to take based off their symptoms.

How the virus spreads:

Coronavirus is transmitted through larger liquid droplets – such as when a person coughs or sneezes. That means the virus can enter a second person’s system through their eyes, nose or throat if in close contact.

While the virus is not known to be airborne, or transmitted through the particles floating in the air, and it is not something that comes in through the skin, it can be spread by touch if a person has used their hands to cover their mouth or nose when they cough.

Health officials recommend to always cough or sneeze into the arm and wash your hands regularly. People should also avoid handshaking and hugs.

A good rule of thumb: Stay at least six feet away from another person.‎

How to get tested:

Anyone who thinks they may have the virus is being urged not to panic, and most importantly to stay home.

Anyone in B.C. who develops symptoms should first call HealthLink BC, by dialing 811, to talk to a health care worker and determine the most appropriate next steps.

The nurses at HealthLink BC will complete an exposure risk assessment of callers with compatible symptoms, such as cough or influenza-like symptoms. In some cases, nurses may suggest a caller go see a health care provider for assessment and testing, either at an urgent primary care centre or walk-in clinic.

Our 811 navigators and nurses are doing an incredible job with record high call volumes – providing support to 3291 callers yesterday. We are adding more staff and more phone lines to resolve the intermittent busy signals some people have experienced. @TeamPAL #COVID19 — Adrian Dix (@adriandix) March 12, 2020

It is highly recommend that anyone who may have COVID-19 call ahead to tell the clinicians that they are coming.

COVID-19 testing is done through a nasopharyngeal swab or throat swab.

Anyone who is tested may be told to self-isolate until the tests can be analyzed in a laboratory. Test results can be found by calling the B.C. Centre for Disease Control coronavirus hotline at 1-833-707-2792.

What happens if you have COVID-19:

Anyone with COVID-19 is being placed in quarantine, at their home or in the hospital, for at least 14 days. In order to be released from quarantine, an infected person must have two consecutive negative tests at least 24 hours apart.

The BC CDC suggests that if you are sharing your home to stay and sleep in a room with good airflow that is away from others. Other precautions include using a separate bathroom, if you can, avoid sharing household items, flush the toilet with the lid down, and clean and disinfect common areas once a day.

Is there a cure?

At this time, there is no vaccine for this particular coronavirus, and health officials say it could take many years to create.

There is no specific treatment, but many of the symptoms can be managed with home treatment such as drinking plenty of fluids, rest and using a humidifier or hot shower to ease a cough or sore throat, according to HealthLink BC.

Most people recover from coronaviruses on their own, however for people with more serious illness, supportive care in or out of hospital may be needed.

@ashwadhwani

ashley.wadhwani@bpdigital.ca

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
2,mapleridgenews,https://www.mapleridgenews.com/news/covid-19-six-handwashing-mistakes-to-avoid/,COVID-19: Six handwashing mistakes to avoid – Maple Ridge News,['Ashley Wadhwani'],2020-03-03 17:00:00-07:00,"Washing hands is one of the top tips from health officials to help combat novel coronavirus

Washing your hands frequently and staying home when you’re feeling ill is more effective than facemasks in controlling the spread of a virus. (Black Press Media file)

With new novel Coronavirus cases emerging all over the world, health officials are urging residents to take precautionary measures to prevent more individuals from getting sick.

Canadian health officials are urging people to wash their hands frequently, with soap, for at least 20 seconds at a time and avoid touching their face or other people.

Handshakes and embraces should also be avoided.

“Wash our hands, stay home when you’re sick, stay home from school, stay home from public events, stay home from visiting people in long term health [facilities] and hospitals,” Health Minister Adrian Dix said at a news conference in early March.

Lucky for us, a 17-year-old developer from Oxford, England has designed an easy way to make sure we all properly wash our hands.

William Gibson, the teen behind washyourlyrics.com, has created a poster generator that takes your favourite song and automatically turns it into a hand washing infographic.

“All you need is the song title and artist,” the website reads.

The Canadian Press

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
3,mapleridgenews,https://www.mapleridgenews.com/news/covid-19-canadian-cases-by-province/,"COVID-19: Canadian cases, by province – Maple Ridge News","['Ashley Wadhwani', 'Katya Slepian']",2020-03-11 09:38:00-07:00,"Thousands have been confirmed to have the virus in Canada

Here’s a look at how many COVID-19 cases have been confirmed in Canada. Black Press Media will be updating this chart on a regular basis.

Like us on Facebook and follow us on Twitter.

Coronavirus",[]
4,mapleridgenews,https://www.mapleridgenews.com/news/worried-about-your-vacation-amid-the-covid-19-pandemic-heres-what-you-can-cancel/,Worried about your vacation amid the COVID-19 pandemic? Here’s what you can cancel – Maple Ridge News,"['Katya Slepian', 'Canada']",2020-03-13 09:30:00-07:00,"Many airlines, hotels and Airbnbs have updated policies due to the novel coronavirus

FILE – Many airlines and hotels are offering free cancellation due to the COVID-19 pandemic. (Unsplash)

Were you looking forward to a vacation this spring but are now worried about the COVID-19 pandemic?

Canada is under a global travel advisory due to the novel coronavirus. Canadians are being urged to avoid non-essential travel and Transport Canada is warning that repatriation flights are not currently being operated, which could leave those who choose to go abroad stranded.

For hotel stays and airlines outside of Canada, check with your airline, your hotel or your travel agent for their cancellation policies. Some travel insurance is continuing to cover COVID-19 but many providers are not, deeming it a “known circumstance,” which is typically excluded from coverage. Trip cancellation insurance may be an option for those who booked before news of COVID-19 broke.

All air passengers are required to wear masks, although some airlines have removed or relaxed physical distancing requirements on board.

READ MORE: Thinking of travelling? Your insurance policy might not cover COVID-19

READ MORE: Safety is the new hospitality: A guide to summer travel during COVID-19

READ MORE: Travel will have to wait, despite calls from Canada’s business leaders, Trudeau says

Air Canada

Air Canada is cancelling or suspending a variety of flights and routes due to COVID-19, although some travel is beginning to start up again for the summer both here at home and abroad, with increased sanitation practices.

For exact details on route suspensions go to: https://www.aircanada.com/ca/en/aco/home/book/travel-news-and-updates/2020/route-updates.html.

WestJet

WestJet is beginning to add back international destinations as the traditional summer travel season starts up. The airline has brought in more flexible options for travellers to cancel or change their flights, and said they’ve increased safety practices, including extra sanitation, on their flights. For more information, visit: https://www.westjet.com/en-ca/travel-info/coronavirus.

Following Prime Minister Justin Trudeau’s message telling Canadians abroad to come home and for those here to not leave the country, WestJet is suspending international ticket sales as of 11 p.m. PT on Wednesday.

At end of day Sunday, WestJet will suspend all commercial international flights for a 30-day period. After that, CEO Ed Sims said the airline will focus on repatriation and rescue flights.

Sunwing

Sungwing has suspended all southbound flights and vacations between March 17 and July 31, and will be giving affected customers a travel credit. Travel is set to resume as of Aug. 1 and standard change and cancellation policies will apply. For more information, visit: https://www.sunwing.ca/en/promotion/packages/travel-advisory.

Swoop

Swoop has paused all international flights due the the COVID-19 pandemic, and suspended travel to some of its domestic destinations. Travellers with cancelled flights can receive a travel credit or be rebooked by Swoop. The airline is also applying temperature checks to all passengers before they board, as well as increasing sanitation. For more information, visit: https://www.flyswoop.com/coronavirus.

Cruises

All cruises are banned in Canada for the duration of the 2020 travel season

Airbnb

Airbnb has brought in a new enhanced cleaning protocol for some of its hosts, and customers will be able to see if their destination has the practices in place. People who have made reservations for stays and experiences on or before March 14, for check-in dates between March 14 and July 31, are covered by the extenuating circumstances policy as long as they cancel before they check-in.

The host’s usual cancellation policy will apply to reservations made after March 14, unless the host or guest becomes sick with COVID-19. For more information, visit: https://www.airbnb.ca/resources/hosting-homes.

@katslepian

katya.slepian@bpdigital.ca

Like us on Facebook and follow us on Twitter.

CoronavirusFamily VacationsHolidays",[]
5,mapleridgenews,https://www.mapleridgenews.com/news/covid-19-heres-a-phase-by-phase-look-at-how-b-c-hopes-to-re-open-parts-of-society/,COVID-19: Here’s a phase-by-phase look at how B.C. hopes to re-open parts of society – Maple Ridge News,['Ashley Wadhwani'],2020-05-08 16:00:00-07:00,"It’s too soon to say exactly how certain sectors will be given the green light to re-open, and when

As health officials work to sort out the particulars around what specific industries and sectors will need to do in order to re-open safely, British Columbians have been given a high-level road map as to what will relaunch, and when.

Led by provincial health officer Dr. Bonnie Henry, the multi-phase plan which has been dubbed “the new normal” will rely on whether B.C. sees a required decrease in the number of new daily COVID-19 cases.

As long as British Columbians don’t let up on the basics – frequently washing hands, practising physical distancing, avoiding any non-essential trips, staying home when sick, and taking a careful approach to broadening social circles beyond those currently in their household – there has been much hope voiced by health officials that there could be overnight camping, movie theatres and other social activities returning in coming months.

“We need to have a slow and thoughtful reset, we do not want to undo all that we have done,” Henry said on Thursday (May 7).

ALSO READ: Here’s what is considered an essential service in B.C.

The plan to re-open parts of B.C., curated by Henry and Health Minister Adrian Dix, will meet its first test in a few weeks, as the province moves to “Phase Two” with the re-opening of libraries, in-person counselling, restaurants and more.

Henry has made it clear that bans will be reintroduced if she sees a resurgence in cases.

Here’s a timeline of how the province plans to phase in various services.

Phase Two, mid-May:

Re-scheduling elective surgeries and other health services

Dix announced this week that health authorities have already started calling patients who were forced to reschedule an elective surgery due to hospital restrictions and so bed space remained open in case of a spike in COVID-19 cases.

Meanwhile, other medical services such as dentistry, physiotherapy, registered massage therapy and chiropractors will also be able to safely re-open. This includes physical therapy, speech therapy and similar services.

In-person counselling will also be able to resume under physical distancing protocols.

Hair salons and personal services

Welcome news for most: Salons, barber shops and other personal service establishments will be able to accept clients. The decision by health officials comes despite a growing petition signed by some stylists and barbers asking the province not to “single them out” by opening first.

Restaurants, cafes and pubs

In late April, a group of restaurateurs were asked to create a proposed plan on how the industry could re-open safely. Since mid-March, restaurants and pubs of all sizes have been operating only as take-out and delivery services due to concerns of physical distancing.

A possible blueprint, created by the BC Restaurant and Foodservices Association, on how businesses will have to adjust floor plans, seating arrangements and even the handling of cash, is currently before WorkSafeBC, which will be the final green light before dine-in options can return.

Henry has said that ensuring public trust is a second piece in the puzzle. The proposed plan includes a course that business owners and employees will have to undergo, and if passed, get to place a sticker on their front window.

Recreation and community spaces

Phase Two is also set to include the re-opening of museums, art galleries and libraries, as well as recreation spaces.

Parks, beaches and outdoor sites can also open. As with all other sites, physical distancing must be possible, as well as places to properly wash hands. In some cases, this could mean a cap on the number of visitors at any given time.

Health officials have OK’d some non-contact sports, such as soccer and lacrosse.

B.C. Parks has announced some trails will re-open to day use on May 14, with camping reservations to relaunch on May 25 through the Discover Camping online portal.

Office work spaces

Returning to the office will be likely for many British Columbians, but will have to be under measures that reduce the density of employees within certain areas.

Health officials have suggested that employers may stagger shifts, place physical barriers in between desks and space, and ensure hand sanitizer is available for staff.

All employers should have sick-day policies in place so employees don’t attend work when ill, and consider providing work from home options when possible, to reduce contact intensity.

Child care and education

As parents and caregivers prepare to return to work, the province is anticipating an increased need in child care support.

Child care has been considered an essential service, meaning that was not forced to close down like other businesses. Officials have said that in-classroom education will involve its own set of phases – yet to be released – that will allow kids back in the classroom before others.

“With weeks left in the school year, we anticipate many kids will not return to the classroom until September,” the province confirmed.

Phase Three, June to September

If transmission rates of COVID-19 remain low or in decline, Henry has said that further restrictions will be eased under enhanced measures.

While large-scale events, such as parades or mass gatherings will remain off the table through the summer and possibly into next year, the province is hopeful that British Columbians will be able to go to the movies again, starting in July.

Hotels and resorts

The hotel industry has been hard-hit due to a decrease in overall travel both inter-provincially and internationally, forcing many to shutter.

In Victoria and Vancouver, some have entered agreements with the province to serve as temporary housing for hundreds of homeless people currently living in three large encampments.

Exactly what protocols will be put in place in order for hotels and resorts to open safely have not been released, but will likely involve enhanced cleaning and limited guests. The World Health Organization and Henry have suggested that the bacterium does not live on surfaces for longer than hours to days, but specifics have not been confirmed by researchers.

Camping

Overnight camping will be available across B.C.’s parks beginning June 1. Meanwhile, some private campgrounds have remained open through the pandemic.

Film industry

It’s no surprise that Hollywood North has suffered due to border closures and physical distancing measures. Filming across B.C. tends to pick up in the spring and summer, specifically for Hallmark Christmas movies.

Health officials hope that in June or July that domestic productions will be able to resume.

Entertainment

In July, British Columbians may be allowed to head to the movies or attend a symphony, so long as transmission rates stay low.

While large concerts and festivals are off the table, movie theatres and smaller venues will have to follow current bans on gatherings being less than 50 people. Physical distancing also calls for at least two metres between individuals or strangers.

Education

The next school year will still be feeling the impacts of COVID-19, according to B.C.’s plan.

In September, Kindergarten to Grade 12 students will see a “partial return” to school. It’s too soon to say exactly what that will look like.

Post-secondary students could see a mix of online and in-class lectures, with a likely cap on attendance in larger-sized classrooms.

Phase Four, to be determined

It’s unclear when B.C. will enter Phase Four of the provincial plan, because it relies on the development of a widely available vaccine – which has yet to be created – the province reaching herd immunity, or a broad successful treatment that can manage COVID-19 symptoms.

Henry has said that B.C.’s goal is not to reach herd immunity because too many people, particularly seniors, run the risk of seeing adverse impacts of the virus and high numbers of cases would place too much pressure on the health care system.

ALSO READ: Gaining herd immunity through COVID-19 transmissions ‘ineffective’: B.C.’s top doctor

The BC Centre for Disease Control has warned it could take years for a vaccine to be developed, tested and widely implemented.

However, when that does come, B.C. health officials will look to allowing conventions, live audiences at professional sports, concerts, night clubs and casinos and international tourism. Those sectors will also have to create individually tailored plans that meet the necessary health requirements.

@ashwadhwani

ashley.wadhwani@bpdigital.ca

Like us on Facebook and follow us on Twitter.

Want to support local journalism during the pandemic? Make a donation here.

BC governmentCoronavirus",[]
6,mapleridgenews,https://www.mapleridgenews.com/news/video-rcmp-asks-public-how-mounties-can-better-serve-the-community/,VIDEO: RCMP asks public how Mounties can better serve the community – Maple Ridge News,"['Joti Grewal', 'Local News']",2020-07-16 09:00:00-07:00,"Meanwhile, City of Pitt Meadows works towards creating own police force

In a video posted to social media on July 15, 2020 by the Ridge Meadows RCMP, Mounties share why they do the work they do. The local detachment is launching a new strategic planning initiative and asking the public to get involved in helping shape how Mounties serve the community. (Ridge Meadows RCMP - The Why video screen grab)

The Ridge Meadows RCMP is launching a “strategic planning initiative” and are asking the public to get involved in helping shape how local Mounties serve the community.

“The three-year strategic plan of the Ridge Meadows RCMP will align detachment activities and the deployment of resources with national, provincial and our communities’ priorities,” said Cst. Julie Klaussner in a release issued Wednesday afternoon.

Over the past six months the local detachment has worked with elected officials of Maple Ridge and Pitt Meadows “to understand and implement their respective community priorities,” she added.

In the coming weeks an online survey is expected to be made available to the public. A date has not yet been announced.

In March, the City of Pitt Meadows announced it will “take the next step forward in creating an independent RCMP detachment to improve service and safety” following recommendations from the Police Services Review.

READ MORE: Pitt Meadows looking at its own RCMP office

“A city’s number one job is ensuring the safety of the community while getting the best possible service and value for our dollars,” said Pitt Meadows mayor Bill Dingwall, in a March press release.

“The evidence is clear that the best way to achieve this is through the creation our own independent RCMP detachment. The community feedback that we received demonstrates that our residents support this decision,” he added.

If approval is given by the RCMP and the province, Pitt Meadows plans to put in motion a transition plan with the City of Maple Ridge and the RCMP which they say can take up to three years.

“The existing operating budget is $5.4 million and it’s anticipated that the independent police detachment can be accommodated within the City’s annual operating budget without a property tax increase” said Mark Roberts, Pitt Meadows chief administrative officer, in the same March release.

“There will be transitional costs for the delivery of a new policing model that would require a one-time capital investment for facility space to accommodate an independent detachment, support staff, parking and equipment,” he added.

READ MORE: Pitt Meadows mounted police a step closer

City of Pitt Meadows says it is seeking formal approval from governing bodies before moving ahead with a transition plan.

Meanwhile, as part its new strategic initiative the Ridge Meadows RCMP will be releasing a series of videos to help the public understand the detachment’s role in the community.

“The Ridge Meadows 2021-2024 strategic plan development will be unique in that we have created a three-part video series to assist in understanding ‘why’ our employee’s do the work they do, ‘how’ our employee’s provide service to the community and a final video release sharing with the public ‘what’ the final plan will be after public consultation and collaboration,” Klaussner explained.

The first video, “Ridge Meadows RCMP – The Why,” can be viewed below.

Ridge Meadows RCMP launch innovative strategic plan. Link to video release here: https://t.co/lmGsT2Ffag

Link to official media releases here: https://t.co/cpejyM4mSL — Ridge Meadows RCMP (@RidgeRCMP) July 15, 2020

maple ridgePitt MeadowsRCMP",[]
7,mapleridgenews,https://www.mapleridgenews.com/news/russian-hackers-seeking-to-steal-covid-19-vaccine-data-intel-agencies/,Russian hackers seeking to steal COVID-19 vaccine data: intel agencies – Maple Ridge News,"['The Canadian Press', 'Canada']",2020-07-16 08:50:00-07:00,"It is believed APT29, also known as ‘the Dukes’ or ‘Cozy Bear’ was responsible

Canadian, British and U.S. security services say hackers they believe are working for Russian intelligence have been trying to steal research on COVID-19 vaccines from organizations in all three countries and around the world.

Canada’s Communications Security Establishment says the malicious cyberactivities were very likely undertaken to pilfer information and intellectual property relating to the development and testing of vaccines for the novel coronavirus.

The cyberspy agency says the clandestine activity is hindering response efforts at a time when health-care experts and medical researchers need every available resource to help fight the pandemic.

The CSE’s Centre for Cyber Security assesses that APT29, also known as ”the Dukes” or “Cozy Bear,” was responsible, and almost certainly operates as part of Russian intelligence services.

“The group uses a variety of tools and techniques to predominantly target governmental, diplomatic, think-tank, health-care and energy targets for intelligence gain,” says a joint advisory from the CSE and its allies.

“APT29 is likely to continue to target organizations involved in COVID-19 vaccine research and development, as they seek to answer additional intelligence questions relating to the pandemic.”

This assessment is supported by partners at Britain’s Government Communications Headquarters’ National Cyber Security Centre, the U.S. National Security Agency, and the Department of Homeland Security’s Cybersecurity and Infrastructure Security Agency.

The CSE is urging Canadian health organizations to review a technical advisory on the threat and to take any necessary actions to protect themselves. “We encourage them as well to contact the Cyber Centre if they suspect they have been targeted by cyberactors.”

The joint advisory says APT29 targeted COVID-19 vaccine research and development by scanning specific computer IP addresses of interest for vulnerabilities, a tactic that can help the group obtain login credentials to systems.

“This broad targeting potentially gives the group access to a large number of systems globally, many of which are unlikely to be of immediate intelligence value,” the advisory says.

“The group may maintain a store of stolen credentials in order to access these systems in the event that they become more relevant to their requirements in the future.”

By Jim Bronskill , The Canadian Press

Like us on Facebook and follow us on Twitter.

Want to support local journalism? Make a donation here.",[]
8,mapleridgenews,https://www.mapleridgenews.com/news/b-c-announces-funding-to-support-post-secondary-students-with-disabilities/,B.C. announces funding to support post-secondary students with disabilities – Maple Ridge News,['The Canadian Press'],2020-07-16 08:30:00-07:00,"The province is investing $275,000 in the new BCcampus website

B.C.’s Minister of Advanced Education Melanie Mark is Indigenous and she grew up in government care. (B.C. government photo)

British Columbia’s minister of advanced education has announced new supports for post-secondary students, including expanded online resources and funding to help students with disabilities.

Melanie Mark says $1.5 million will be distributed equally between 20 public post-secondary schools to strengthen supports for students with cognitive, mental health or physical disabilities.

She says the province is investing $275,000 in the new BCcampus website to further develop online resources and tools focused on well-being for students, staff and faculty.

The resources include videos and webinars on topics such as adapting to online learning, stress management and navigating financial supports.

Mark says the province is also providing another $400,000 to support the development of more resources covering a wide range of courses and subjects in B.C.’s growing open textbook collection.

The minister says students may also now apply to StudentAid BC to be automatically considered for a free access grant announced in this year’s provincial budget.

She says the grant means more than 40,000 eligible low- and middle-income students could receive up to $4,000 per year to help with costs associated with degree, diploma and certificate programs.

“This is double the funding and the number of students who were supported through grants under the former government,” Mark said at Camosun College on Wednesday.

The B.C. access grant is open to part-time students, she added.

The amount students receive would depend on their family income, the length of their program and whether it’s full or part time.

The Canadian Press

Like us on Facebook and follow us on Twitter.

Want to support local journalism? Make a donation here.

Education funding",[]
9,mapleridgenews,https://www.mapleridgenews.com/news/study-suggests-8-times-more-people-in-b-c-infected-with-virus-than-confirmed/,Study suggests 8 times more people in B.C. infected with virus than confirmed – Maple Ridge News,['The Canadian Press'],2020-07-16 08:30:00-07:00,"The study looked at anonymous blood samples collected for reasons unrelated to COVID-19

A new study suggests eight times as many people in Metro Vancouver have been infected by the novel coronavirus than the rate of reported cases.

The joint study by researchers at the B.C. Centre for Disease Control, University of B.C., LifeLabs and public health scientists is posted on the health research website medRxiv and a news conference on the findings is scheduled for Thursday morning.

The authors say the findings indicate successful suppression of community transmission in B.C., with an estimated overall infection rate of less than one per cent.

The study looked at anonymous blood samples collected for reasons unrelated to COVID-19 by LifeLabs in March and May, before and after public health measures were introduced.

The first samples in March found two of 869 specimens were positive, for a prevalence of 0.28 per cent, while the May sample found a prevalence of 0.55 per cent.

Health Minister Adrian Dix described the estimated infection rate as “very low” and says it shows the effectiveness of British Columbia’s public health measures and co-operation of the public.

“It reinforces the fact that we’re on the right track,” Dix says.

“Of course, this is as the study suggests a dual-edged question, a low level of transmission but also very few people with antibodies to deal with potential future spikes of COVID-19.”

If the study’s prevalence rate is applied to the whole provincial population, it could mean about 28,000 people have had the novel coronavirus, while 3,149 cases of COVID-19 have been confirmed to date, however Dix noted the results are specific to the Vancouver area.

Health officials have repeatedly said that more people have been infected with the virus than have tested positive and Dix calls the estimated prevalence rate in B.C. “encouraging.”

“Overall the level of infection in B.C. was low and that’s due to the actions of people in B.C. That said, there are more people who were infected with COVID-19 than tested positive and that’s something we’ve said clearly, especially in the period of March and April when we were focusing our testing program particularly on specific groups including health-care workers,” Dix says.

The study is the first of its kind in Canada, he says.

The study is also important because it involved people who did not self-select for COVID-19 testing, so they likely didn’t believe they had the virus, Dix says.

The study was authorized by provincial health officer Dr. Bonnie Henry and approved by the clinical research ethics board of the university. It has not yet been peer reviewed.

British Columbia recorded 21 new cases Wednesday and no new deaths. There are 207 active cases while 2,753 people who tested positive have recovered, the government said in a news release.

The Canadian Press

Like us on Facebook and follow us on Twitter.

Want to support local journalism? Make a donation here.

Coronavirus",[]
