,outlet,url,title,authors,publish_date,text,keywords
0,nationalpost,https://nationalpost.com/category/news,"Latest Breaking News, Headlines & Updates | National Post","['Pat Hickey', 'Sharon Kirkey', 'National Post Staff', 'Tyler Dawson', 'Washington Post']",,"Critics denounce WE Charity campaign-style ad for Justin Trudeau amid PM's scandal over charity links

'My Canada 150 is a place where everyone has a real and fair chance to succeed,' Trudeau says on the video. He also promises to 'invest' in Canadian youth",[]
1,nationalpost,https://nationalpost.com/category/news/national,Latest National News | Headlines & Updates | National Post,"['Pat Hickey', 'Sharon Kirkey', 'National Post Staff', 'Tyler Dawson', 'Paul Vanderhoeven']",,"Critics denounce WE Charity campaign-style ad for Justin Trudeau amid PM's scandal over charity links

'My Canada 150 is a place where everyone has a real and fair chance to succeed,' Trudeau says on the video. He also promises to 'invest' in Canadian youth",[]
2,nationalpost,https://nationalpost.com/category/news/world,"World News, Updates, Headlines & Stories | National Post","['Washington Post', 'Bloomberg News', 'The Telegraph', 'Nicholas Sokic']",,"Meghan Markle's 'Five Friends' face a public guessing game over their identities

Meghan is fighting in court to protect the identities of five 'best friends' who spoke to People magazine to reveal the truth about 'the woman they know and love'",[]
3,nationalpost,https://nationalpost.com/category/news/national/reopening-canada,Reopening Canada | National Post,"['Haider-Moranis Bulletin', 'Financial Post Staff', 'Larysa Harapyn', 'Gabriel Friedman']",,"Notice for the Postmedia Network

This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy.",[]
4,nationalpost,https://nationalpost.com/category/news/national/reopening-canada/more-reopening-canada,More Reopening Canada | National Post,"['Haider-Moranis Bulletin', 'Postmedia News', 'Ayesha Ghaffar', 'Norman De Bono', 'Financial Post Staff']",,"Reopening Canada: London merchants see slow recovery, big challenges

Of all the challenges facing retail businesses during COVID-19, and there are plenty as stores closed and had limited revenue for three months, we can add limited stock as suppliers, many based in Asia and Europe, have been shut down, too.",[]
5,nationalpost,https://nationalpost.com/category/news/politics,"Latest Politics News | Headlines, Updates & Stories | National Post","['Ryan Tumilty', 'Jesse Snyder', 'Christopher Nardi', 'Postmedia News']",,"First Reading Newsletter

Sign up to receive The First Reading newsletter your guide to the world of Canadian politics. We're breaking the news, defining the issues and analyzing what matters.

Email Address There was an error, please provide a valid email address. By clicking on the sign up button you consent to receive the above newsletter from Postmedia Network Inc. You may unsubscribe any time by clicking on the unsubscribe link at the bottom of our emails. Postmedia Network Inc. | 365 Bloor Street East, Toronto, Ontario, M4W 3L4 | 416-383-2300

Thanks for signing up! A welcome email is on its way. If you don't see it please check your junk folder. The next issue of First Reading Newsletter will soon be in your inbox.

We encountered an issue signing you up. Please try again",[]
6,nationalpost,https://www.theweathernetwork.com/photos/gallery/categories?ref=postmedia_en_wxphotos,- The Weather Network,['Pelmorex Weather Networks Inc.'],,We use cookies on this site to improve your experience as explained in our Cookie Policy. You can reject cookies by changing your browser settings. READ MORE,[]
7,nationalpost,https://nationalpost.com/category/news/,"Latest Breaking News, Headlines & Updates | National Post","['Pat Hickey', 'Sharon Kirkey', 'National Post Staff', 'Tyler Dawson', 'Washington Post']",,"Critics denounce WE Charity campaign-style ad for Justin Trudeau amid PM's scandal over charity links

'My Canada 150 is a place where everyone has a real and fair chance to succeed,' Trudeau says on the video. He also promises to 'invest' in Canadian youth",[]
8,nationalpost,https://nationalpost.com/category/news/national/,Latest National News | Headlines & Updates | National Post,"['Pat Hickey', 'Sharon Kirkey', 'National Post Staff', 'Tyler Dawson', 'Paul Vanderhoeven']",,"Critics denounce WE Charity campaign-style ad for Justin Trudeau amid PM's scandal over charity links

'My Canada 150 is a place where everyone has a real and fair chance to succeed,' Trudeau says on the video. He also promises to 'invest' in Canadian youth",[]
9,nationalpost,https://nationalpost.com/category/news/world/,"World News, Updates, Headlines & Stories | National Post","['Washington Post', 'Bloomberg News', 'The Telegraph', 'Nicholas Sokic']",,"Meghan Markle's 'Five Friends' face a public guessing game over their identities

Meghan is fighting in court to protect the identities of five 'best friends' who spoke to People magazine to reveal the truth about 'the woman they know and love'",[]
10,nationalpost,https://nationalpost.com/category/news/national/reopening-canada/,Reopening Canada | National Post,"['Haider-Moranis Bulletin', 'Financial Post Staff', 'Larysa Harapyn', 'Gabriel Friedman']",,"Notice for the Postmedia Network

This website uses cookies to personalize your content (including ads), and allows us to analyze our traffic. Read more about cookies here. By continuing to use our site, you agree to our Terms of Service and Privacy Policy.",[]
11,nationalpost,https://nationalpost.com/category/news/national/reopening-canada/more-reopening-canada/,More Reopening Canada | National Post,"['Haider-Moranis Bulletin', 'Postmedia News', 'Ayesha Ghaffar', 'Norman De Bono', 'Financial Post Staff']",,"Reopening Canada: London merchants see slow recovery, big challenges

Of all the challenges facing retail businesses during COVID-19, and there are plenty as stores closed and had limited revenue for three months, we can add limited stock as suppliers, many based in Asia and Europe, have been shut down, too.",[]
12,nationalpost,https://nationalpost.com/category/news/politics/,"Latest Politics News | Headlines, Updates & Stories | National Post","['Ryan Tumilty', 'Jesse Snyder', 'Christopher Nardi', 'Postmedia News']",,"First Reading Newsletter

Sign up to receive The First Reading newsletter your guide to the world of Canadian politics. We're breaking the news, defining the issues and analyzing what matters.

Email Address There was an error, please provide a valid email address. By clicking on the sign up button you consent to receive the above newsletter from Postmedia Network Inc. You may unsubscribe any time by clicking on the unsubscribe link at the bottom of our emails. Postmedia Network Inc. | 365 Bloor Street East, Toronto, Ontario, M4W 3L4 | 416-383-2300

Thanks for signing up! A welcome email is on its way. If you don't see it please check your junk folder. The next issue of First Reading Newsletter will soon be in your inbox.

We encountered an issue signing you up. Please try again",[]
13,nationalpost,https://nationalpost.com/news/world/de-niro-leads-the-way-in-cutting-back-alimony-payments-to-ex-spouse-because-of-covid/wcm/42b001cf-3d4f-4516-bf8e-c7dd7d86f0f8/,De Niro leads the way in cutting back alimony payments to ex-spouse because of COVID,['The Telegraph'],,"Article content

Divorced couples are using the coronavirus pandemic as a reason to renegotiate maintenance payments, family lawyers claim, after Hollywood star Robert De Niro attempted to halve his spousal support.

De Niro claimed that the pandemic had significantly impacted his earnings, and family lawyers warned that mounting numbers of warring former couples were making similar claims.

We apologize, but this video has failed to load.

tap here to see other videos from our team. Try refreshing your browser, or De Niro leads the way in cutting back alimony payments to ex-spouse because of COVID Back to video

The 76-year-old has been battling his ex-wife Grace Hightower, 65, over the terms of their divorce. The pair confirmed their separation in November 2018 after 21 years together and now the actor is seeking to prevent his estranged wife from accessing more of his $500 million fortune.

An emergency hearing, held over Skype, was called after De Niro halved Hightower’s monthly American Express credit card limit, down to $50,000.

Caroline Krauss, De Niro’s attorney, told the judge that the actor had been forced to reduce her allowance because his businesses and career had suffered following the pandemic.",[]
