,outlet,url,title,authors,publish_date,text,keywords
0,newwestrecord,https://www.newwestrecord.ca/news/bc,BC,[],,"Santa made his 15th annual visit to sick kids and newborn babies at Royal Columbian Hospital Tuesday thanks to Helijet and BC Emergency Health Services. The Jolly Old Elf’s medevac-helicopter tour of five Lower Mainland and Vancouver Island hospitals wrapped up in New West in the afternoon, with Santa visiting the RCH pediatric and maternity wards, and handing out stuffed bears to kids who may end up having to spend Christmas in the hospital.",[]
1,newwestrecord,https://www.newwestrecord.ca/news/national,National,[],,"Santa made his 15th annual visit to sick kids and newborn babies at Royal Columbian Hospital Tuesday thanks to Helijet and BC Emergency Health Services. The Jolly Old Elf’s medevac-helicopter tour of five Lower Mainland and Vancouver Island hospitals wrapped up in New West in the afternoon, with Santa visiting the RCH pediatric and maternity wards, and handing out stuffed bears to kids who may end up having to spend Christmas in the hospital.",[]
2,newwestrecord,https://www.newwestrecord.ca/news/world,World,[],,"Santa made his 15th annual visit to sick kids and newborn babies at Royal Columbian Hospital Tuesday thanks to Helijet and BC Emergency Health Services. The Jolly Old Elf’s medevac-helicopter tour of five Lower Mainland and Vancouver Island hospitals wrapped up in New West in the afternoon, with Santa visiting the RCH pediatric and maternity wards, and handing out stuffed bears to kids who may end up having to spend Christmas in the hospital.",[]
3,newwestrecord,https://www.newwestrecord.ca/news/regional,Regional,[],,Editor: Re: Improving 10th Avenue to move traffic thought New Westminster. New Westminster has to stop the traffic moving through. This can be done by making the ...,[]
4,newwestrecord,https://www.newwestrecord.ca/news/cannabis-news,Cannabis News,[],,"IOWA CITY, Iowa — A ruthless Iowa meth kingpin who killed five people, including two young girls, in 1993 to thwart his prosecution for drug trafficking is set to become the ...",[]
5,newwestrecord,https://www.newwestrecord.ca/news/new-westminster-rent-bank-helps-renters-during-pandemic-1.24171451,New Westminster Rent Bank helps renters during pandemic,['Theresa Mcmanus'],,"The New Westminster Rent Bank has seen a surge in requests for loans during the COVID-19 pandemic.

Since June 2017, the rent bank has been providing low-cost loans to residents who are at risk of eviction and/or at risk of having their utilities disconnected.

article continues below

“During the first three months of the pandemic (i.e. March 1 to May 31, 2020), the program issued 22 loans for a total of $27,462,” said a staff report to council. “If this pace of demand continues for the next nine months, this would result in 88 loans for a total of $109,848. This would be a dramatic increase when compared to the fiscal year (April 1, 2019 to March 31, 2020) in which the program issued 37 loans for a total of $40,775.”

The rent bank provides loans of up to $1,400 for individuals and up to $1,700 for families. The Lower Mainland Purpose Society operates the rent bank in New West.

On July 13, city council approved a staff recommendation to continue to fund the administrative costs of the New Westminster Rent Bank program. The city will contribute $35,000 annually for a three-year period from Sept. 1 to Aug. 31, 2023.

According to the report, the province has provided $48,400, with another $42,820 having been requested for the program. The city previously provided onetime funding of $100,000 to the rent bank in March to expand administrative and loan capacity in response to the COVID-19 pandemic.

“The program has a demonstrated need,” said the report. “It has been highly effective in preventing evictions and essential utility disconnections; it is one of the city’s tools in preventing homelessness; it has facilitated partnerships, including with the financial sector; and it has leveraged provincial funding,” said the report. “Regarding the latter, this was an objective of the program from its initiation.”

In 2015, New Westminster MLA Judy Darcy and her constituency office staff began working on the concept of creating a rent bank in New West by meeting with stakeholders and seeking financial contributions toward an endowment fund. After securing $35,000 in donations from a number of financial organizations, Darcy and her team received a commitment from city council in 2016 to support the program and to contribute $20,000 annually for three years (increased to $35,000 in December 2018) to cover administrative costs associated with operating a rent bank.

""If you prevent homelessness, you prevent that downward spiral that is really, really hard for people to get out of,"" Darcy told council when seeking the city’s support for the rent bank. ""There are a lot of people who are one paycheque away from being homeless.""",[]
6,newwestrecord,https://www.newwestrecord.ca/news/gun-seized-after-driver-bolts-from-new-west-counterattack-roadblock-1.24171303,Gun seized after driver bolts from New West CounterAttack roadblock,['Chris Campbell'],,"A weapon was seized after a driver tried to flee a New Westminster Police Department CounterAttack roadblock on Sunday.

Police set up a roadblock in the 900 block of McBride Blvd. early Sunday morning. At around 1:50 a.m., as police were checking drivers for sobriety, a car in the line attempted a U-turn across the center median, said police.

article continues below

“The driver mounted the car on the center median and attempted to drive away,” said a news release. “As officers ran to the vehicle, the driver attempted to dislodge the stuck vehicle from the median by hard acceleration to evade arrest.”

The driver was unsuccessful at fleeing in the vehicle before officers arrived and arrested the driver. Once in custody, the officers located a gun (pictured) on the back seat with ammunition.

“Policing is an unpredictable line of work, where the situation can rapidly change from a routine impaired driving CounterAttack to a possible dangerous and unpredictable encounter,” said Sgt. Jeff Scott. “Having public safety at the forefront of their minds, officers put themselves in harm’s way to help prevent a potentially more dangerous situation from occurring.”

The driver was arrested, and charges are being recommended to Crown counsel for dangerous driving, prohibited driving, breach of undertaking, breach of recognizance, and several possible firearms-related offences.",[]
7,newwestrecord,https://www.newwestrecord.ca/news/new-west-clinic-turned-into-a-cool-music-studio-1.24171029,New West clinic turned into a cool music studio,['Staff Reporter'],,"What do you do with an old x-ray clinic? Turn it into a music studio, of course.

Robert Billard, a lifelong musician, did just that by creating Fifth Chord Studios in uptown New Westminster.

article continues below

The old clinic sat empty for many years. It’s positioned under a medical building and resides mainly under the landscaping and walkway in the 600 block of Fifth Avenue.

Billard said he realized the opportunity the space provided and undertook extensive renovations to turn the space into a sound-controlled rehearsal and recording studio.

“This isn’t just any music space,” said Billard. “We’ve worked to develop a space that is accessible, comfortable, and professional. While in the process of setting it up, we talked about who we want this space to support, and made a special commitment to supporting Black, Indigenous and artists of colour.”

Fifth Chord Studios features five locked-off monthly-rent rehearsal spaces, a live recording space, control studio, and gathering area to relax and meet the other musicians post-pandemic.

Fifth Chord Studios features five locked-off monthly-rent rehearsal spaces, a live recording space, control studio, and gathering area to relax and meet the other musicians post-pandemic. Photo submitted

A special feature of the space is that it is accessible for people in wheelchairs and with mobility limitations, including an accessible washroom and thoughtful considerations such as offering light dimmers and low-noise air flow for neuro-diverse musicians.

The walls currently feature visual art by local artists, including PJ Patten, Sherida Charles, and Iris Mes Low.

“We are working with Black and Indigenous musicians to determine what kinds of programs would support their work best and how we can support their art,” said Billard.

Following COVID-19 protocols, Fifth Chord Studios is available for viewing by appointment only. Musicians interested in renting space can contact Robert Billard directly at 778 789-0621. You can visit the website here.",[]
8,newwestrecord,https://www.newwestrecord.ca/news/blossom-bandits-leave-new-west-staff-heartbroken-1.24171590,‘Blossom bandits’ leave New West staff #heartbroken,['Chris Campbell'],,"For the horticultural team at the City of New Westminster, making the city more beautiful through flowers is a labour of love.

But some “blossom bandits” are ruining this work by “shamelessly plucking off city succulents and hanging baskets,” according to a tweet by the local parks and recreation department.

article continues below

“Our horticulture team put a lot of extra love into their work this spring choosing a hearts them for the floral displays around the city,” read the tweet, which included “#heartbroken.”

“We know our displays are beautiful, but please resist the temptation to take a piece of our hearts home with you.”

The hearts before they'd been plucked. contributed photo/Twitter

Residents responded to the tweet with frustration at the “blossom bandits” ruining this hard work.

“I’m sick of people disrespecting other people’s property, or in this case, our parks departments beautiful and brilliant display. I live and walk along here every day and noticed the odd one disappearing now it’s just out of control. Do we need to lock everything up,” asked Angela Monaghan.

“I live on the Quay and have seen this destruction and feel sad,” wrote another. “The thieves thinking only of themselves and not the citizens and visitors to our area. Don’t undy why not go buy or propagate your own plants?”",[]
9,newwestrecord,https://www.newwestrecord.ca/community/ways-to-explore-metro-vancouver-with-lyft-this-summer-1.24171267,Ways to explore Metro Vancouver with Lyft this summer,[],,"With one of the most beautiful regions in the world at their fingertips, Metro Vancouverites are rediscovering all the local treasures that the area has to offer. After months of being responsible and staying home, people are now looking for things to do and reliable ways to get there.

On July 9th, Lyft became the first ridesharing company to serve all of Metro Vancouver and can now help everyone explore the region.

To help get planning started, here is a round-up of fun local adventures you can have -- all within Lyft’s expanded operating area:

Have a fun-filled day at Burnaby’s Central Park playing pitch and putt with a picnic.

playing pitch and putt with a picnic. Enjoy a night on the town in Vancouver and get a responsible ride home.

and get a responsible ride home. Take a Lyft ride from the nearest transit station to berry-picking farms in Delta and stock up on blueberries, boysenberries, and more!

and stock up on blueberries, boysenberries, and more! Get dropped off at Lynn Canyon, hike the Baden Powell Trail to Grouse Mountain, and take a Lyft ride to get your tired legs home from there.

to Grouse Mountain, and take a Lyft ride to get your tired legs home from there. Food trucks and breweries go hand-in-hand - check out the delicious options in Port Moody .

. Go on the famous dumpling tour in Richmond and take a Lyft ride from spot to spot as you eat the day away.

and take a Lyft ride from spot to spot as you eat the day away. Who says you need to go to the Okanagan for a wine tour? Make your way through the wineries in Langley and Aldergrove .

and . Look for treasures at the Cloverdale Flea Market every Sunday.

Flea Market every Sunday. Go on a paddlewheel boat tour from New Westminster for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride.

for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride. Don’t stress about finding a parking spot at the Crescent Beach boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants.

boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants. Take the kids to Playland and The Fair at the PNE, which opens just in time for summer.

On a hot summer day, what’s better than a cool dip? Take a Lyft ride to Alouette Lake in Golden Ears National Park or get a ride to your campsite!

For those riders referring friends to Lyft, invite them through the rider app to get free ride credit.

As Metro Vancouverites responsibly move around the region this summer, Lyft has implemented a Health Safety Program, which requires every rider and driver to self-certify they will wear face masks throughout the ride and are symptom-free, among other requirements. While it may be a unique summer this year, we can all do our part to respect each other’s health safety, move around the region comfortably and have lots of fun while we’re at it!

Interested in driving with Lyft? Learn more here.",[]
