,Unnamed: 0,Unnamed: 0.1,outlet,url,title,authors,publish_date,text,keywords
102,102,102,ctvnews,https://edmonton.ctvnews.ca/covid-19-in-edmonton-numbers-broken-down-by-neighbourhood-1.4910400,COVID-19 in Edmonton: Numbers broken down by neighbourhood,'Matthew Black',2020-04-24,"EDMONTON -- Data on COVID-19 is largely focused on the international, national or provincial level, but statistics compiled by CTV News illustrate how the coronavirus is affecting Edmonton and its individual communities.

Alberta Health Services divides Edmonton up into 15 health subzones named for their home communities.

Since early April, the province has provided daily updates on the number of COVID-19 active cases, recoveries and deaths in each of those subzones as well as totals for the city itself.

This page is divided up into four sections: overall city data, subzone (community) level data, testing data and methodology.

Scroll down or follow the links below to navigate to each section.

CITY OF EDMONTON

The city of Edmonton is distinct from the Edmonton zone, which includes communities far beyond the city itself. You can see a map displaying the boundaries of the five AHS health zones across the province here.

Unless otherwise specifically indicated, numbers on this page are for the city itself and not the zone.

See the methodology section below for how a recovery from COVID-19 is defined by AHS.

COMMUNITIES

The 15 Edmonton AHS subzones cover the vast majority, though not all, of the area inside the city's coroporate boundaries.

You can see a rough map of the subzones below. For a zoomable version, visit the province's interactive data site and click on the geospatial tab.

Scroll down or follow these links to find data on each individual subzone:

Abbottsfield, Bonnie Doon, Castle Downs

Duggan, Eastwood, Jasper Place

Mill Woods South & East, Mill Woods West, Northeast

Northgate, Rutherford, Twin Brooks

West Jasper Place, Woodcroft East, Woodcroft West

Beaumont, Devon & Leduc, Fort Saskatchewan St. Albert, Sherwood Park, Stony Plain & Spruce Grove

TESTING DATA

Testing data for specific cities isn't yet available so these graphs display data from the Edmonton Zone as opposed to the city itself.

The Edmonton Zone had a population of just over 1.4 million people in 2018, according to AHS. The same year, the province estimated the city of Edmonton's population at just over 1 million people.

METHODOLOGY

Boundaries

The graphs above were assembled using two versions of the province's interactive data map, each with different borders.

The city-specific graphs draws data from the city of Edmonton as defined by its geographic corporate boundaries.

The community-level graphs draw data taken from the province's 15 Edmonton-area health subzones.

Their boundaries closely resemble the city's borders but with some exceptions. As a result, some areas within Edmonton's corporate boundaries, largely near the city's southern boundary, are included in suburban health zones.

Cases are attributed to the subzone of a patient’s primary residence. You can see population estimates for each subzone here.

Case Counts

The updated daily case count reflects the number of new, active cases (people who are now newly ill with COVID-19).

The daily change in active cases are determined by subtracting the number of newly recovered cases from the number of new cases. A positive value represents an increase in net active cases, with a negative value indicating the opposite.

The province often revises data, and reclassifies cases to other health zones or subzones which can cause a sudden rise or drop in cases for a given location.​

Reclassifications can occur for a number of reasons, including:

A patient's contact information was updated to reflect his or her proper address.

Further testing revealed a patient did not, in fact, contract COVID-19.

Data entry errors.

The province published new numbers daily March, April, May and June, with subzone data being available since early April. Starting the weekend of July 4, the province will release updated data on weekdays only, with no scheduled updates on holidays and weekends.

Recoveries

Recoveries are defined by Alberta Health Services as follows:",[]
218,218,218,ctvnews,https://www.windsorfire.com/get-emergency-alerts-get-windsor-alerts/,"Get Emergency Alerts, Get Windsor Alerts.",,2020-04-07,"Emergency notifications, straight from the City of Windsor to you.

The Alerts Windsor System provides accurate and immediate emergency notifications from the City of Windsor to your cell, work, or home phones via text, email, or voice message.

The system will be used to provide important information to you in times of emergency like floods, tornado warnings, large fires, evacuation notices, boil water advisories etc.",[]
281,281,281,ctvnews,https://saskatoon.ctvnews.ca/supportlocal-ctv-supports-local-businesses-during-covid-19-1.4884461,#SupportLocal: CTV supports local businesses during COVID-19,,2020-04-06,"The COVID-19 pandemic has led to unprecedented challenges for Saskatchewanians and the local Saskatchewan economy. CTV, Pure Country and Bell Media are encouraging people to do what they can to support local businesses who have been profoundly affected by the virtual lockdown of our community.

When you have to shop for essential goods or are shopping online, please consider helping out local businesses above all. After all, the people who run those businesses are your fellow citizens, your neighbours. They pay local taxes and support local charities and sports teams.

So here is a list of valued CTV, Pure Country and Bell Media clients who remain open for business, either at their storefronts or online. We thank them for helping to keep our economy running and our province supplied with what it needs. We encourage you to help local businesses out as well! We will all get through this together.

- Derek Ryan, General Sales Manager, Bell Media Saskatchewan.

Please Note: Only essential services have physical locations open. Others are online only. So please be sure to contact them before heading out to a location.

If your business is operating and you would like to be added to our list of businesses please email Bell Media GSM - Derek.Ryan@bellmedia.ca.",[]
462,462,462,ctvnews,https://www.ctvnews.ca/business/flower-growers-see-sales-wither-as-planting-season-launches-1.4912378,Flower growers see sales wither as planting season launches,'Christopher Reynolds',2020-04-26,"Beneath the panes of his greenhouse, Jan VanZanten surveys a sea of sun star flowers rising up from plastic pots, ready to ship but without a buyer.

In past years, the Niagara Region grower had no trouble selling to wholesalers by the thousands.

""Now we're just composting,"" VanZanten said. ""Since my kids are home every afternoon, they have to spend two hours throwing out the flowers that have bloomed out.""

Sales are down 30 per cent for the year and Easter came and went at the height of physical distancing measures. The uncertainty facing the industry as Mother's Day approaches -- ""you could liken it to Christmas for every other retailer"" -- and the critical spring planting season dawns are even more worrisome.

""If this goes till June we will most likely be at 70 per cent,"" he said of year-over-year revenue loss. ""My overdraft is maxed out at the bank. Obviously they're wondering when I'm going to start drawing that back, and I can't since I haven't sold anything.""

VanZanten is one of thousands of flower farmers across the country concerned about the impact of the COVID-19 pandemic. Demand for non-perishable items pushed decorative plants out of the supply chain in last month's stockpiling frenzy, while the ongoing shutdown of garden centres in jurisdictions including Ontario and New York has cut off critical points of sale, threatening to leave growers high and dry.

""This is when we sell. We're on the cusp of a critical period,"" said James Farrar, director of the Canadian Ornamental Horticulture Alliance.

Trees, bushes and bedding plants are usually planted between May 1 and June 15, he said, with customers ranging from backyard gardeners to municipalities.

In Ontario, flower producers discarded about 40 per cent of their Easter crop, according to Flowers Canada Growers.

The province has designated garden centres as a non-essential service -- a painful exclusion for the industry, since nearly two-thirds of Canadian production stems from Ontario. Neighbouring New York and Ohio have also forced garden centres to lock their doors, while Michigan and Vermont have banned retailers from selling non-essential products, including home gardening items.

""If they don't open, the damage is going to be astronomical,"" said trade group head Andi Kuyvenhoven, noting garden centres' crucial role for bedding plants in particular.

British Columbia -- the second-biggest flower and plant producer -- Alberta and Manitoba and have allowed garden centres to keep running, while Quebec deemed them essential along with nurseries as of April 15, though not in time for Easter.

Kuyvenhoven, who with his wife co-owns a $2.5-million business selling potted Chrysanthemums and indoor calla lilies -- largely to U.S. distributors -- on a pair of farms west of Toronto, says clogged supply chains south of the border remain a problem.

""U.S. customers for a time closed their distribution systems to floral and so the main grocery chains were not purchasing plants,"" he said, which was hard on growers of cut flowers such as roses and tulips.

""If a truck can take 24 skids and four skids were flowers, the flowers came off the trucks and they put more food on the truck -- which we completely understand. The only challenge is, when you're growing flowers as we do, they also have a shelf life,"" said Kuyvenhoven, who bought his business from his parents in 1990.

""Now we're now facing liquidity issues...I haven't slept in five weeks.""

Flowers Canada Growers says exports to the U.S. make up about one-third of greenhouse flower and plant sales, which hit $1.6 billion in 2018, according to Statistics Canada. Nursery sales topped $500 million.

While garden centres can continue to operate across much of the continent, growers wonder whether bouquets and flower pots will remain on the shopping list of consumers struggling to make rent amid soaring unemployment numbers and a looming recession.

Kuyvenhoven is hoping that families confined to their homes for most of the day will choose to spend what they've saved from unpurchased vacations and lattes on plants for their vases and flower beds.

""That's part of what's carried us through downturns in the past,"" he said.

Growers associations are in talks with federal and provincial governments over potential financial relief, with Flowers Canada Growers asking for a ""cash injection"" as well as extended debt repayment plans secured in part by Ottawa, Kuyvenhoven said.

So far, the federal government has extended a stay of default for eligible farmers until Oct. 31, giving flower and potted plant producers an extra six months to pay off federal loans that would have been due at the end of April.

Ottawa has also granted exemptions on air travel restrictions to temporary foreign works and invested $50 million to help farmers fly in labourers on charter trips. ""New flights are being booked ever day,"" the agriculture department said in an email.

Back at the greenhouse, VanZanten mulls the overripe lilies and orchids.

""Flowers do make you happier, they do actually lift your spirits...but there are farms that can't bounce back from this,""

he said.

""This all happened at the wrong time.""

This report by The Canadian Press was first published April 26, 2020.",[]
463,463,463,ctvnews,https://www.ctvnews.ca/health/coronavirus/i-just-want-to-survive-greenhouses-struggling-with-economic-reality-of-covid-19-1.4902719,'I just want to survive:' Greenhouses struggling with economic reality of COVID-19,'Bill Graveland',2020-04-19,"CALGARY -- Nick Zannis is thankful his greenhouse established online sales five years ago, now that the retail world has been turned upside down by the COVID-19 pandemic.

The doors of Golden Acre Home and Garden in Calgary are allowed to be open as an essential service in Alberta, but there are ample warnings about social distancing.

A steady stream of customers, many of them wearing face masks, walk through the store even though spring bedding plants aren't ready and the selection of seeds and flowers is somewhat limited.

Zannis said having an online presence puts his greenhouse on less shaky ground than many others.

The business has sent products to as far away as Nunavut and Nova Scotia in recent years but will be focusing primarily on the Calgary market now.

Online orders are up by 2,000 per cent from a year ago, Zannis said. But it's not a gold mine.

""It's very expensive to operate. Now you have to pay somebody to go and do the shopping,"" he said.

""But the online store has kind of kept us afloat ... We're just trying to survive, honestly. I just want to survive this year.""

In addition to Alberta, Manitoba, British Columbia and Quebec have designated garden centres as an essential service. Other provinces, including Ontario, have forced them to keep their doors closed.

""We are allowed to offer pickup at the curb, so we are doing that,"" said Mary Reid, owner of Green Thumb Gardening Centre in Nepean, Ont.

""A customer would either phone or email us what their order is, then we'd get it ready and say you can come and get it.""

Reid said she has basically had to start online orders from scratch but isn't able to do e-commerce.

She hopes gardeners will still be keen to shop when restrictions are eased.

""It's not a pretty picture at all ... it depends on how far into lockdown we get.""

The executive director of the Canadian Garden Council, the national umbrella body for provincial and national garden organizations, said there's been a huge increase in the number of Canadians who want to start gardening.

Michel Gauthier said it's a struggle for centres that have to stay closed.

""A lot of growers and greenhouses are having issues. Right now, there's a big movement to say horticultural products are essential and should be essential for the well-being of people,"" he said.

""We're saying ... if we want people to have that gardening experience and spend some time in their garden, then they need to have access to the material and access the product.""

Don Vanderwerf said it's almost like business as usual at his Kel-Lake Greenhouses in Kelowna, B.C.

Demand for seeds, soil and vegetables has been strong, he said.

Peak gardening season begins in three weeks to a month. Vanderwerf said products will be spread out on benches and into the parking lot at his site.

Still, Vanderwerf is expecting a financial hit. He's already losing business in flower baskets for hotels and restaurants.

""We'll be down a bit. But I feel fortunate that I'm not owning a restaurant or a pub, because they're hurting.""

This report by The Canadian Press was first published April 19, 2020",[]
464,464,464,ctvnews,https://www.ctvnews.ca/lifestyle/feed-the-soul-in-chaotic-times-gardening-becomes-therapy-1.4877112,"Feed the soul: In chaotic times, gardening becomes therapy",'John Raby',2020-04-01,"CHARLESTON, W.VA. -- Dig. Plant. Breathe.

As spring's arrival in the Northern Hemisphere coincides with government stay-at-home orders, the itch to get outside has turned backyard gardens into a getaway for the mind in chaotic times.

Gardeners who already know that working with soil is a way to connect with nature say it helps take away their worries, at least temporarily.

""I love to see things grow,"" Lindsay Waldrop said. ""It's incredibly therapeutic.""

Now more than ever.

Waldrop, a resident of Anaheim, California, has an anxiety disorder. Exercise is supposed to help, but her new job as a college biology professor had prevented her from getting into a routine.

Her grandfather, who introduced her to gardening by showing her how to plant seeds, died about a year ago.

Add the global coronavirus pandemic to all that, and it's easy to see where her focus is these days.

""Sometimes I just like to sit and dig holes in the quiet with my own thoughts,"" she said. ""Outside, it takes my mind off. It gives something for my hands to do. It gives you a separate problem to think about than whatever else is going on. It gets you off of social media.""

Waldrop and her husband moved last summer from New Mexico, where she didn't have much luck gardening in a scorching climate. At her new home, she got rid of the lawn, installed an irrigation system, and recently planted dozens of tomatoes, eggplant, peppers and other vegetables.

Over the years, Waldrop converted her skeptical husband, who initially wondered why digging in the dirt and moving things around was considered fun.

After tasting his first home-grown tomatoes, he was converted.

Families, too, are discovering that gardening gives cooped-up kids something to do, builds their self-esteem and brings variety to what has suddenly become a lot of time spent together.

In Miami, Annika Bolanos isn't a fan of the south Florida heat and mosquitoes. But going outdoors lately has been a lifeline.

Bolanos works at home making cakes and doing bookkeeping with her husband's golf cart business. Her three young children add an extra layer of busy, and together they've seeded a variety of vegetables and herbs.

""We have always loved the idea of growing our own food,"" Bolanos said. ""It feels good to eat something that you grew yourself too. It also helps my kids eat more fruits and veggies since they find it cool to eat what they have grown.""

Her children water the plants daily and concentrate on what's growing.

""You're feeling the sun and the breeze and don't have to worry about anything in the moment,"" Bolanos said.

In Britain and Germany, there's a premium on allotments -- popular parcels of land rented for growing food crops.

""Those with a garden are the lucky ones,"" said Heidi Schaletzky, standing on the lawn beneath a cherry tree in the north of Berlin.

Schaletzky and her husband have been cultivating a plot in the ""Free Country"" community garden for the past eight years, growing strawberries, salad greens and kohlrabi. So far, access to garden plots remains exempt from restrictions intended to stop the spread of the virus in Germany.

""We'll be able to see other people, too,"" she said. ""As long as they stay on their side of the fence.""

As the weather warms, garden shops are bustling as other businesses shut during the outbreak.

At the Almaden Valley Nursery in San Jose, California, rose expert John Harp has seen a mix of new gardeners and regulars. Customers can't come into the shop, so their online orders are brought to their vehicles in the parking lot.

""Around town everyone is gardening right now,"" Harp said. ""They're looking to be a little bit more self-sufficient.""

This home-grown attitude goes back to World War II, when millions of people cultivated victory gardens to protect against potential food shortages while boosting patriotism and morale.

Hollie Niblett, who lives near Kansas City, Kansas, hopes the victory gardens come back. Niblett, who has a degree in horticultural therapy, tends to a kitchen garden near her backdoor, perennial flowers, flowering trees and shrubs, and upper and lower grassy yards connected by a path through an area left in its natural condition.

""There are so many things about it that feed my soul,"" she said. ""Right now, more than anything, my garden gives me hope, gives me purpose and provides a sense of connection to something bigger than myself.""

For beginners, wonderment awaits. Just south of Atlanta, 10-year-old Ezra Gandy's love for playing baseball has been paused. He and his grandmother, Melanie Nunnally, recently started an outdoor garden, planting strawberries, cabbage, broccoli, kale and asparagus.

""I like digging in the dirt because I like to see all the bugs and stuff that's in the ground,"" he said.

The non-profit group KidsGardening.org suggests that children grow their own salads or do other activities.

The virus scare could even usher in a new crop of gardeners who start from seed rather than risk the crowds buying starter plants.

Kendra Schilling of Scott Depot, West Virginia, doesn't have space for a sprawling garden, so she's planting potatoes in a bucket and trying to figure out with her teenage daughter what to do with other vegetable seeds.

""I usually go buy the plants and stick them in the dirt. But this year we're going to try to do the seeds,"" she says. ""Thank God for YouTube.""

------

Associated Press writer Frank Jordans in Berlin contributed to this report.",[]
483,483,483,ctvnews,https://atlantic.ctvnews.ca/iwk-telethon-for-children-will-not-broadcast-as-scheduled-due-to-covid-19-pandemic-1.4899403,IWK Telethon for Children will not broadcast as scheduled due to COVID-19 pandemic,'Melanie Price',2020-04-16,"HALIFAX -- The COVID-19 pandemic has affected every aspect of our lives, from how we work, to how we celebrate, and even how we support our favourite charities.

The IWK Telethon for Children, which airs on CTV Atlantic every year, is one of the many charity events impacted by the virus.

“The IWK Telethon is a tradition that has brought Maritimers together for the past 35 years and symbolizes the true spirit of our community. We have always been there for each other united in our connection to the IWK,” says Jennifer Gillivan, the president and CEO of the IWK Foundation.

The telethon, which was scheduled to air on June 6 and June 7, will not go ahead as planned this year.

“We are sad that we can’t go ahead with the broadcast, but we are committed to bring content, as much as we can, using innovative ways to reach our community. We’re forever grateful to our community because they’ve always stayed with us. We’ve been in this relationship for over 35 years with our Maritime community, who in fact have built the IWK,” says Gillivan.

“We know some people are suffering and we would never expect them to do anything other than take care of their selves, and they are in our thoughts, but for those who can continue to support us, we hope they will.”

Much of the fundraising for the telethon has already taken place. Those donations will go towards priority equipment.

“The pandemic is happening and that just heightens and intensifies what’s already happening at the IWK,” says Gillivan.

“Kids can’t wait. They are already there. The sickest of the sick are there and then there is the heightened piece now, with the potential for infection during the pandemic. So the hospital still needs the equipment, they still need the beds, they still need the priority pieces that we fundraise for year-round. Probably now more than ever, they need that support.”

Gillivan says the IWK Foundation is committed to finding ways to celebrate donors and share the stories of patients and care teams at the IWK.

“Thank you to our broadcast partner CTV. Thank you to our many loyal donors who fundraise year-round for the IWK and thank you to our incredible telethon volunteer committees across the Maritimes,” says Gillivan.

“We applaud your unwavering commitment to the IWK. Stay healthy, safe and support each other.”

Donations can be made online at www.iwkfoundation.org/telethon or by calling 1-800-595-2266.",[]
506,506,506,ctvnews,https://ottawa.ctvnews.ca/ottawa-and-area-businesses-selling-face-masks-during-covid-19-pandemic-1.4906261,Ottawa and area businesses selling face masks during COVID-19 pandemic,'Josh Pringle',2020-04-21,"OTTAWA -- Masks are now mandatory in enclosed public spaces in Ottawa.

The mandatory mask order came into effect Tuesday, July 7.

""Increasing scientific evidence supports wearing a mask when in enclosed public spaces as an important measure in reducing COVID-19 transmission, while the risk of rising rates of infection continues,"" Ottawa Medical Officer of Health Dr. Vera Etches said.

Here’s a look at some of the places in Ottawa that sell masks for the public:

AboutFace Masks

Fashion lover, author and communications strategist Julie Beun started AboutFace Masks. She was joined by graphic designer Lissa Constantine and a handful of sewing queens.

To order an AboutFace Masks, visit www.aboutface-masks.com

Benton's Menswear Ottawa

Benton's Menswear is making non-medical masks for adults and children, made to order.

You can buy them at https://bentonsmenswear.com/

Canada Care Medical

Canada Care Medical carries a large variety of personal protective equipment (PPE) in the form of face masks, gloves, and hand sanitizer. Cloth face masks, surgical face masks, isolation face masks, and N95 face masks are just a few that we have in stock.

Please refer to https://canadacaremedical.com/ to see what is currently available.

Colortex Screen Printing & Embroidery

Colortex, based in Gloucester, is selling face masks three to a pack. Proceeds are being donated to the Ottawa Community Foundation.

Learn more at https://wewillsurvive.ca/collections/made-in-canada-face-mask

Downtown Cobbler/Ottawa Face Masks

The Downtown Cobbler and Ottawa Face Masks sell a variety of masks and assorted headbands.

Ottawa Face Masks tailors cloth masks and provides contactless transactions.

You can order masks at www.ottawafacemasks.ca

Fabric Masks

Ottawa based Fabric Masks sells masks for residents.

The hand-made masks are 100 per cent cotton, and offer full coverage and confort.

You can order at www.fabricmasks.ca

I Love My Face Mask Ottawa

Face masks made in Nepean in colourful patterns and multiple sizes. Available for pick-up only.

For more info, visit https://i-love-my-face-mask-ottawa.myshopify.com/

Kehingi Vintage

Hand-made masks are available for curbside pick-up or delivery from this local crafter.

Their shop is at https://www.etsy.com/ca/shop/KehingiVintage

La Bottega

La Bottega is also selling face masks, as well as hand sanitzer.

You can find more information here: https://www.labottega.ca/products/home-essentials-sanitizer-masks-shaving-products

Life More Simple

Life More Simple is selling reusable cloth masks.

To purchase, visit www.lifemoresimple.com

Masks Ottawa

Masks Ottawa sells masks. For more information visit www.masks-Ottawa.myshopify.com Mijays Mijays sells masks online For more information, visit: www.mijays.com Milk Milk Shop in Ottawa's ByWard Market sells face masks. You can find them here: https://milkshop.ca/collections/masks Morgante Menswear Masks are custom made from the brand name designer menswear manufacturers…not your typical everyday masks. Masks can be purchased by phone, e-mail or in person. Call (613) 234-2232 or visit: https://morgantemenswear.com/ OSEG The Ottawa Sports and Entertainment Group is selling Ottawa REDBLACKS and Ottawa 67s branded ""Ottawa Strong"" face masks with proceeds going to the OSEG Foundation, which supports children's sports. You can find them here: https://www.ottawaredblacks.com/2020/05/19/pre-order-ottawa-strong-face-masks/ Ottawa Artisans Ottawa Artisans has a list of masks available on its website. To purchase, visit www.ottawaartisans.com Ottawa Reusable Face Masks Ottawa Reusable Face Masks sells masks in kid and adult sizes in packs of three. Find out more at https://www.ottawareusablefacemask.ca/ Protecting Canada Protecting Canada purchases masks for all Visit: protectingcanada.com

Scrubs for Them

Scrubs for Them sells face masks, eye wear, scrubs and frontline medical equipment.

Visit www.scrubsforthem.com for details.

Stephano’s Tailor Shop

Stephano’s Tailor Shop is celling washable cotton masks.

For every mask sold, one will be donated.

For more information, visit www.stephanomenswear.com

TaggerWear

Ottawa clothing manufacturer TaggerWear sells masks that you can customize with your own designs.

For info, visit: https://www.taggerwear.ca/non-medical-maska

Thawrih

Ottawa-based Thawrih has shifted production to face masks for residents to wear during the COVID-19 pandemic.

The SportsMask and TerryMask provides complete coverage of the nostrils and mouth and fits snugly on the contours of the face.

You can order the masks online at www.thawrih.com

Twiss and Weber

Twiss and Weber is a local label that sells handmade masks, with some of the proceeds benefitting the Parkdale Food Centre

Find out more at https://twissandweber.com/

United Way East Ontario

United Way East Ontario is selling masks as part of an initiative called Facing Forward.

Masks are sold in packs of 27 with proceeds helping to purchase masks for those most in need.

Visit the United Way website.

Several large corporations are now also selling masks.

If you know a place selling masks during the COVID-19 pandemic, please let CTV News Ottawa know.",[]
578,578,578,nationalpost,http://nationalpost.sportstonews.com/2020/04/20/davis-love-iiis-best-all-time-shots-at-rbc-heritage-2/,Davis Love III’s best all-time shots at RBC Heritage,'Pga Tour',2020-04-20,"With five victories at Pete Dye's Harbour Town Golf Links in Hilton Head, SC, Davis Love III has more wins than any other player. Check out some of his best shots from over the years.",[]
579,579,579,nationalpost,http://nationalpost.sportstonews.com/2020/04/18/tiger-woods-awkward-bunker-shot-at-rbc-heritage/,Tiger Woods’ awkward bunker shot at RBC Heritage,'Pga Tour',2020-04-18,"In the first round of the 1999 RBC Heritage, Tiger Woods hits his incredible bunker shot on the par-4 6th hole to about 7 feet then two putts for par.",[]
