,outlet,url,top_image,title,authors,publish_date,keywords,summary,text
0,timescolonist,https://www.timescolonist.com/news/b-c,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,B.C.,[],,"['street', 'bc', 'typical', 'weve', 'weekend', 'thousands', 'waving', 'things', 'victoria', 'seen', 'parade']","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade.
This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns.
The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives.","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade. This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns. The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives."
1,timescolonist,https://www.timescolonist.com/news/national,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,National,[],,"['investigation', 'mounties', 'launched', 'ottawa', 'oversight', 'man', 'national', 'organization', 'rcmp', 'provides', 'involved']",OTTAWA — The organization that provides civilian oversight of RCMP has launched an investigation into the conduct of Mounties involved in the June 1 arrest of an Inuk man in ...,OTTAWA — The organization that provides civilian oversight of RCMP has launched an investigation into the conduct of Mounties involved in the June 1 arrest of an Inuk man in ...
2,timescolonist,https://www.timescolonist.com/news/world,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,World,[],,"['nights', 'programming', 'lending', 'wilmington', 'set', 'voice', 'national', 'joe', 'mccain', 'video', 'world']","WILMINGTON, Del.
— Cindy McCain is going to bat for Joe Biden, lending her voice to a video set to air during Tuesday night’s Democratic National Convention programming ...","WILMINGTON, Del. — Cindy McCain is going to bat for Joe Biden, lending her voice to a video set to air during Tuesday night’s Democratic National Convention programming ..."
3,timescolonist,https://www.timescolonist.com/news/cannabis-news,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,Cannabis News,[],,"['sentenced', 'death', 'young', 'sons', 'prison', 'man', 'rest', 'manslaughter', 'edmonton', 'cannabis', 'convicted']",EDMONTON — A man who was convicted of manslaughter in his young son's death was sentenced Tuesday to 9 1/2 years in prison after apologizing to the rest of the boy's ...,EDMONTON — A man who was convicted of manslaughter in his young son's death was sentenced Tuesday to 9 1/2 years in prison after apologizing to the rest of the boy's ...
4,timescolonist,https://npaper-wehaa.com/discover-magazine-times-colonist/2019/06/#?dpg=1,,Times Colonist by Wehaa,[],,"['times', 'wehaa', 'colonist']",,
5,timescolonist,https://discover.timescolonist.com/places/view/238/parksville_beach_festival_july_10_to_august_16_2020_.html,https://discover.timescolonist.com/imgs/media.images/238/238.widea.jpg,"Sandsculpting Competition & Exhibition, Quality Foods Sandsculpting Competition & Exhibition (July 10 to August 16, 2020)",[],,"['competition', 'quality', 'foods', '2020', 'sandsculpting', '16', 'exhibition']",,
6,timescolonist,https://discover.timescolonist.com/places/view/249/thunderbird_r_v_park_resort_discover_campbell_river.html,https://discover.timescolonist.com/imgs/media.images/249/249.widea.jpg,"Oceanfront Family Resort, Campbell River",[],,"['resort', 'campbell', 'river', 'oceanfront', 'family']",,
7,timescolonist,https://discover.timescolonist.com/places/view/219/ocean_front_suites_at_cowichan_bay.html,https://discover.timescolonist.com/imgs/media.images/219/219.widea.jpg,"The Best Kept Secret on Vancouver Island!, Ocean Front Suites at Cowichan Bay",[],,"['suites', 'ocean', 'secret', 'cowichan', 'island', 'kept', 'best', 'bay', 'vancouver']",,
8,timescolonist,https://discover.timescolonist.com/places/view/196/tigh_na_mara_seaside_spa_resort_.html,https://discover.timescolonist.com/imgs/media.images/196/196.widea.jpg,"Reconnect... In the Heart of Nature, Tigh-Na-Mara Seaside Spa Resort , Parksville, BC",[],,"['parksville', 'spa', 'resort', 'heart', 'nature', 'bc', 'tighnamara', 'reconnect', 'seaside']",,
9,timescolonist,http://www.timescolonist.com/news/b-c,https://www.timescolonist.com/polopoly_fs/1.978487.1398105534!/fileImage/httpImage/tc-facebook-logo-156x154.png,B.C.,[],,"['street', 'bc', 'typical', 'weve', 'weekend', 'thousands', 'waving', 'things', 'victoria', 'seen', 'parade']","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade.
This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns.
The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives.","In a typical year, Monday would have seen thousands of people crowd along Douglas Street for the annual Victoria Day Parade. This year, because of COVID-19, things will be different: For the first time in 12 decades, the parade has been cancelled — no floats, no marching bands, no waving clowns. The long weekend doesn’t seem complete without a parade of some kind, though, so we’ve pulled some of our favourite photos from past events from the archives."
