,topic_num,topics,num_articles,resid,category,probability
0,0,families cars water life children old loved lake ,167,0.9735576594949865,lifestyle,66.3966472089158
1,1,police investigation man vehicles incident charging officer opp ,106,0.9293325742568636,local,52.95846930767718
2,2,reopen staged ontario theatre restaurants open parking indoor ,78,0.9388374196821863,covid-19,85.29267146430406
3,3,editor letter email phone number pleased address ,25,0.8413936085244893,local,44.89655788446939
4,4,government trudeau billion program federal minister funding canadian ,126,0.9537801012822736,politics,98.74816606112394
5,5,case test new outbreak virus province activities hospital ,58,0.8979666979585069,covid-19,98.79454702221335
6,6,team player games seasons league play nhl edmonton ,76,0.9244295948561037,sports,99.89752758139734
7,7,masks wear face covered mandatory ,30,0.8271009867845618,covid-19,95.71881688866581
8,8,music performed artist concerts festival arts band video ,58,0.9266999849470137,arts & entertainment,99.8432447105399
9,9,ridge maple meadows pitt mapleridgenews coms ,52,0.9012357869556661,local,95.88314023549678
10,10,surrey city council rcmp councillor mayor surreynowleader coms ,61,0.9300213675147235,local,99.02668732258721
11,11,chilliwack rcmp theprogress coms jenna hauck something ,46,0.931925344103232,local,93.99893066032496
12,12,flight airlines air passengers canada travel border row ,29,0.8826281514995201,covid-19,37.605240519934085
13,13,abbotsford ottawa men sentence court prison david kill ,49,0.9269422425497414,local,51.68092115619826
14,14,drug overdose rcmp addiction deaths supplies trafficking seize ,20,0.8379953807053095,local,49.17775899640856
