,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,life lived good film world friends really don ,95,121,0.9622094605373623,arts & entertainment,38.33241509270832
1,1,school students class parent district teacher learned ,47,35,0.8163401323845622,politics,19.55317346342534
2,2,case test infected death new hospital confirmed numbers ,68,46,0.8891620692820452,covid-19,59.7592976469997
3,3,game playoff canucks played goals shots series scored ,57,34,0.8931178058555698,sports,87.96213713267021
4,4,trail city park lake mountain rivers hiking ,57,42,0.9263744140477973,local,31.528778747256375
5,5,festival roots blues online salmon arms ,20,42,0.7749591469475601,local,28.252562579645012
6,6,police officer rcmp man investigators driver vehicles video ,62,56,0.9385677862644395,local,45.10123413108519
7,7,flights affecting row aug air airlines vancouver ,16,22,0.7855718166167611,business,24.249649991817403
8,8,sale markets july house price estate quarter real ,55,43,0.9333042662737226,business,50.54088187711632
9,9,government community program ei supported workers benefits funds ,132,91,0.960633094273219,politics,18.30642445116009
10,10,masks wearing ferry customers store test faces mandatory ,45,66,0.925404239098711,covid-19,73.71765615326315
11,11,careful seniors terms mackenzie long survey residents ,16,43,0.8080095684649644,covid-19,20.558112593680377
12,12,prize tickets grand bc game event licence ,12,36,0.7433873927118518,local,35.09107245788241
13,13,plants gardens seeding flower tomatoes dearly helen berries ,40,35,0.9256398894865729,local,23.14003997495644
14,14,files photos election state hurricane west evacuated ,74,84,0.9507219142116994,local,32.57628119423414
