,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,trump biden democrats elected vote president state convention ,26,16,0.8571781609813549,politics,49.77912261153101
1,1,school student classes masks teacher learn parents classroom ,46,25,0.7968428245202339,lifestyle,21.8899174337374
2,2,realty houses agent price marketing floor estate real ,38,21,0.8119136602731473,business,39.29613214322904
3,3,game goals play score shot teams period series ,33,23,0.8473702353173805,sports,88.69967575392032
4,4,case province henry new dix infections horgan parties ,40,52,0.8774361700091589,covid-19,32.67245586814582
5,5,driving car vehicles engineer litres wheel models suvs ,48,22,0.8889685886572609,business,45.00283994899079
6,6,minister mr morneau trudeau finance prime ,25,26,0.8011316440150702,politics,72.74983919682954
7,7,invest marketing investor stocks portfolio equity etfs index ,39,58,0.8960908776582295,business,31.56076293279141
8,8,feb don mar dec jan nov oct life ,36,56,0.8680469732088126,local,19.545750305657688
9,9,park lake trail plants city island water areas ,106,63,0.9530653624941563,local,27.69422416296578
10,10,police man rcmp investigation arrested office service ,41,39,0.9034184740699395,local,50.75515759993292
11,11,flight affected row vancouver passengers airlines ,14,22,0.7252248014760487,business,25.165968856197455
12,12,theatre art artist festival audience performances awarded musical ,40,35,0.9173609335223635,arts & entertainment,64.48451352191081
13,13,vaccine coronavirus country russia drug studies reuters development ,21,27,0.8582837817294114,health,51.83683253350748
14,14,hong kong china beijing chinese law mr ,9,11,0.5931493844802578,politics,25.968550757178704
15,15,colonist parade victoria streets photograph douglas email letter ,32,27,0.9328345817485539,local,31.564121848176246
16,16,contents globe mail produced involvement creation index ,20,56,0.8686563312414133,local,18.154436660209893
17,17,cfl league season players fan ambrosie football cup ,25,28,0.8569519833002838,sports,99.98750985825704
18,18,million food oil program companies production business revenue ,95,83,0.9529509362189621,business,27.11312869605481
19,19,symptoms testing contact person virus isolation infections masks ,35,79,0.8906484891669968,covid-19,82.04924402627704
