,topics,num_articles_1,num_articles_2
0,teams game players play season sports league coached hockey toronto,0,0
1,car vehicle driving prices engineers driver seat wheels road model,0,0
2,cases health tested number deaths province reporter new cases confirm outbreaks,1477,1042
3,country state nation world canadians president university china trump american,209,381
4,support programming women organizations seniors society donated event volunteers member,0,187
5,don good really ve something sign tried every means changes,0,190
6,store businesses number restaurants closed delivery custom shop operate allowed,307,0
7,food restaurants local cook wine eat fresh serve offers dishes,0,0
8,government federal minister trudeau programming support prime federal government fund canadians,507,0
9,cent canadians reporter million industry rate plans province jobs expectation,0,279
10,health care patients dr clinic dog treatment medical hospital cancer,79,184
11,programming developments educator training activated member fitting class changes person,0,0
12,camps number bc drugs health vancouver isolated june fraser march,0,0
13,north vancouver island shores traveller north shores photos bowen west trail,0,0
14,burnaby businesses city coquitlam custom offers westminster new westminster centre local,0,0
15,client's funeral plans important life person website process denture professional,0,0
16,black films story read com white news toronto https media,44,0
17,www ca com st info sunday saturdays hours free monday,0,0
18,city parking street resident houses building council surrey area ridge,0,185
19,company marketing insurance businesses increased financial real houses pay banks,0,0
20,watering designated products plant garden floor natural spacing trees green,0,160
21,life loved old friend's lot really kids parents always children,650,101
22,police office court investigate reporter man rcmp charge alleged july,331,176
23,mask health public distancing wear safe face reopened plans safety,602,1321
24,arts school music students artists performance learn festival theatre event,0,0
