,topic_1,topics,num_articles_1,num_articles_2,resid,category,probability
0,0,life love don friend world ve someth load,464,726,0.9661626716751461,local,25.912589815602843
1,1,th login usernam subscrib news offic contact hi sorri order view,112,54,0.6459577129640606,local,27.43267160984906
2,2,school student district parent learn class teacher plan,249,189,0.8722631855423526,politics,19.55317346342534
3,3,health case test hospit care outbreak death provinc,375,294,0.9243025741979394,covid-19,75.55573999467056
4,4,game team play season player leagu hockey coach,353,177,0.9334261251978202,sports,99.99808223404443
5,5,invest td investor financi tax advisor bank insur,221,263,0.9229961385683072,business,31.60066408562678
6,6,parti conserv tool elect govern liber mr trudeau,250,240,0.9265516234448369,politics,70.2064847788404
7,7,kamloop donat week support local afford free media advertis,132,259,0.8790707868915024,local,27.44795096774671
8,8,lake park trail wildfir bc citi river area,614,547,0.9663839713983603,local,37.30860739990546
9,9,estat real hous price market galleri agent,160,274,0.9072110272915536,business,39.17336291980371
10,10,polic rcmp man investig offic court report black,250,340,0.9446345603943865,local,49.31661260898647
11,11,art festiv film artist music event theatr perform,495,319,0.9567747733993709,arts & entertainment,68.9137151143142
12,12,compani fish product seafood price market salmon million,501,446,0.9590174500253265,business,46.90863000458611
13,13,burnabi busi food photograph photo jennif restaur custom,215,224,0.9430688607633883,local,30.081832756332055
14,14,vehicl car drive driver engin wheel model litr,202,241,0.9288056515628283,business,48.52437210488028
