topic,topic_num,titles,urls,lat,long,category,image_urls
famili just time peopl year home life day,0,"['A bright future awaits for your cabinets – Abbotsford News', 'A bright future awaits for your cabinets – Chilliwack Progress']","['https://www.abbynews.com/marketplace/a-bright-future-awaits-for-your-cabinets/', 'https://www.theprogress.com/marketplace/a-bright-future-awaits-for-your-cabinets/']",40.7696272,44.6736646,lifestyle,"['https://www.abbynews.com/marketplace/a-bright-future-awaits-for-your-cabinets/', 'https://www.theprogress.com/marketplace/a-bright-future-awaits-for-your-cabinets/']"
famili just time peopl year home life day,0,"['Sharing trusted hearts, endless support at times of greatest need – Abbotsford News', 'ON COOKING: Chef Dez says brine meat before they hit the grill – Maple Ridge News', '7 fun things to do at this year’s Health and Wellness Show! – Langley Advance Times', 'Create a home you’ll love with styles that work – Abbotsford News', '19 times on 19th birthday: Aldergrove teen goes from crutches to conquering Abby Grind – Abbotsford News']","['https://www.abbynews.com/marketplace/sharing-trusted-hearts-endless-support-at-times-of-greatest-need/', 'https://www.mapleridgenews.com/opinion/on-cooking-chef-dez-says-bring-meat-before-they-hit-the-grill/', 'https://www.langleyadvancetimes.com/marketplace/7-fun-things-to-do-at-this-years-health-and-wellness-show/', 'https://www.abbynews.com/marketplace/create-a-home-youll-love-with-styles-that-work/', 'https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/']",49.0521162,-122.32947920000001,lifestyle,"['https://www.abbynews.com/marketplace/sharing-trusted-hearts-endless-support-at-times-of-greatest-need/', 'https://www.mapleridgenews.com/opinion/on-cooking-chef-dez-says-bring-meat-before-they-hit-the-grill/', 'https://www.langleyadvancetimes.com/marketplace/7-fun-things-to-do-at-this-years-health-and-wellness-show/', 'https://www.abbynews.com/marketplace/create-a-home-youll-love-with-styles-that-work/', 'https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/']"
famili just time peopl year home life day,0,['Abbotsford man wins $1 million in Lotto 6'],['https://www.abbynews.com/news/abbotsford-man-wins-1-million-in-lotto-6-49-draw/'],49.233333,-121.766667,lifestyle,['https://www.abbynews.com/news/abbotsford-man-wins-1-million-in-lotto-6-49-draw/']
famili just time peopl year home life day,0,['City votes to raze site where first Alaska flag was sewn'],['https://www.therecord.com/ts/news/world/us/2020/07/14/city-votes-to-raze-site-where-first-alaska-flag-was-sewn.html'],64.44596130000001,-149.680909,lifestyle,['https://www.therecord.com/ts/news/world/us/2020/07/14/city-votes-to-raze-site-where-first-alaska-flag-was-sewn.html']
famili just time peopl year home life day,0,['‘A miracle:’ 20 years after deadly tornado Alberta family thankful for survival'],['https://www.therecord.com/ts/news/canada/2020/07/14/a-miracle-20-years-after-deadly-tornado-alberta-family-thankful-for-survival.html'],55.001251,-115.00213600000001,lifestyle,['https://www.therecord.com/ts/news/canada/2020/07/14/a-miracle-20-years-after-deadly-tornado-alberta-family-thankful-for-survival.html']
famili just time peopl year home life day,0,"[""Jada and Will Smith address relationship in 'Table Talk'""]",['https://www.cp24.com/entertainment-news/jada-and-will-smith-address-relationship-in-table-talk-1.5020411'],-33.9095638,-59.3921157,lifestyle,['https://www.cp24.com/entertainment-news/jada-and-will-smith-address-relationship-in-table-talk-1.5020411']
famili just time peopl year home life day,0,['Send in the clowns'],['https://www.thestar.com/sponsored_sections/saluting-the-frontlines/2020/04/24/send-in-the-clowns.html'],-31.9960972,-57.744365599999995,lifestyle,['https://www.thestar.com/sponsored_sections/saluting-the-frontlines/2020/04/24/send-in-the-clowns.html']
famili just time peopl year home life day,0,['Six dresses to wear in a heat wave'],['https://www.thestar.com/life/fashion_style/2020/07/09/six-dresses-to-wear-in-a-heatwave.html'],43.654015,-79.38087,lifestyle,['https://www.thestar.com/life/fashion_style/2020/07/09/six-dresses-to-wear-in-a-heatwave.html']
famili just time peopl year home life day,0,"['As pandemic baking surges, local mills are finding creative ways to meet the demand']",['https://www.thestar.com/sponsored_sections/on-the-food-frontlines/05/16/as-pandemic-baking-surges--local-mills-are-finding-creative-ways.html'],44.078953000000006,-79.78443100000001,lifestyle,['https://www.thestar.com/sponsored_sections/on-the-food-frontlines/05/16/as-pandemic-baking-surges--local-mills-are-finding-creative-ways.html']
famili just time peopl year home life day,0,"[""'The whale is doing well': Scientists say B.C.'s rare white orca is thriving""]",['https://vancouverisland.ctvnews.ca/the-whale-is-doing-well-scientists-say-b-c-s-rare-white-orca-is-thriving-1.5024352'],43.0116532,141.3866216,lifestyle,['https://vancouverisland.ctvnews.ca/the-whale-is-doing-well-scientists-say-b-c-s-rare-white-orca-is-thriving-1.5024352']
