,topic_num,topics,num_articles,resid
0,0,famili just time peopl year home life day,222,0.9599327888715417
1,1,case health test covid new death outbreak hospit,118,0.9015155601422482
2,2,polic investig man offic charg rcmp vehicl incid,168,0.9294108344453185
3,3,player team game leagu season play nhl coach,143,0.9178456843152658
4,4,busi govern program tax billion pandem fund feder,190,0.9480693719560968
5,5,car wheel vehicl engin drive rear litr model,71,0.8842088189688868
6,6,mask wear face cover mandatori public,53,0.8525826751281416
7,7,reopen stage restaur ontario open park citi theatr,121,0.944287932971526
8,8,cent price sale market home real estat hous,101,0.930174669826661
9,9,music perform artist art concert film musician song,130,0.9407192495868717
10,10,ridg mapl editor meadow letter mapleridgenews com,57,0.8955062547105525
11,11,langley chilliwack rcmp surrey com read facebook local,151,0.9485125592734892
12,12,flight canada court china trump canadian travel countri,199,0.9577203864284298
13,13,trudeau minist chariti prime program ethic student,41,0.8551938363982081
14,14,jay blue roger centr season game toronto,21,0.7075581722897568
