,topic_num,topics,num_articles,resid
0,0,famili just time peopl year home life day,345,0.9632961688306056
1,1,case health test covid new death outbreak hospit,116,0.9018623055277469
2,2,polic investig man offic charg rcmp vehicl incid,163,0.9285506981093107
3,3,player team game leagu season play nhl coach,137,0.9165933912788002
4,4,busi govern program pandem tax billion fund work,183,0.9488317378781539
5,5,car wheel vehicl engin drive rear litr model,57,0.8714353954271779
6,6,mask wear face cover mandatori public,50,0.8515541175410825
7,7,reopen stage restaur ontario park open citi theatr,110,0.9427196107217035
8,8,cent price sale market home hous real estat,86,0.9269534497959138
9,9,music perform artist art concert film musician song,115,0.9400805117335254
10,10,ridg mapl editor meadow letter pleas mapleridgenews,59,0.9007311000768506
11,11,langley chilliwack rcmp surrey com read local facebook,144,0.9498169273857635
12,12,canada flight court china trump canadian travel countri,159,0.9556505654016499
13,13,trudeau minist chariti prime program ethic govern,41,0.8554998306019674
14,14,jay blue roger centr season game toronto,21,0.7218752728156353
