,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,peopl year work time covid canada pandem new,1062,0.979237377135967,local,34.317067472094344
1,1,1,case health new test covid provinc death,86,0.899588206262001,covid-19,96.84158403663925
2,2,2,polic investig man offic charg rcmp vehicl incid,151,0.9396177330519891,local,73.82031747112553
3,3,3,player team game leagu nhl season play test,119,0.9316725767059668,sports,99.88935139187898
4,4,4,trudeau minist chariti prime ethic committe program,41,0.883359224217084,politics,98.10355972918585
5,5,5,wheel engin litr rear vehicl price model car,43,0.8759437722578605,business,99.09378011963767
6,6,6,mask wear face cover mandatori,41,0.8616210591781676,covid-19,95.72428454002885
7,7,7,ridg mapl meadow pitt mapleridgenews com,49,0.915884997593336,local,95.99183808861066
8,8,8,cent price market sale real estat averag hous,43,0.9172452102256136,business,99.65923466530236
9,9,9,music perform musician concert play song album band,47,0.9314918703435991,arts & entertainment,99.768989066233
10,10,10,editor letter email address phone send includ number,22,0.8741726242834836,local,39.7279157172758
11,11,11,langley fort advanc time citi rcmp,40,0.924092386123316,local,95.21979444551701
12,12,12,flight airlin air canada westjet passeng travel,23,0.849354626197678,local,45.027264471479
13,13,13,zoom financi file photo film festiv final finalist financ,0,,local,87.69197825342941
14,14,14,jay blue roger centr season game team,19,0.7519409233696683,sports,99.7641522917142
