,outlet,url,title,authors,publish_date,text,keywords
0,richmond-news,https://www.richmond-news.com/news/cannabis-news,Cannabis News,[],,"IOWA CITY, Iowa — A ruthless Iowa meth kingpin who killed five people, including two young girls, in 1993 to thwart his prosecution for drug trafficking is set to become the ...",[]
1,richmond-news,https://www.richmond-news.com/news/bc,BC,[],,"A pair of fundraisers for Richmond-based Wigs for Kids BC on the weekend raised more than $80,000 for the charity – the biggest ever from one day. From 9 a.m. to 5 p.m. on ...",[]
2,richmond-news,https://www.richmond-news.com/news/national,National,[],,"A pair of fundraisers for Richmond-based Wigs for Kids BC on the weekend raised more than $80,000 for the charity – the biggest ever from one day. From 9 a.m. to 5 p.m. on ...",[]
3,richmond-news,https://www.richmond-news.com/news/world,World,[],,"A pair of fundraisers for Richmond-based Wigs for Kids BC on the weekend raised more than $80,000 for the charity – the biggest ever from one day. From 9 a.m. to 5 p.m. on ...",[]
4,richmond-news,https://www.richmond-news.com/news/vigil-being-held-in-richmond-for-man-shot-dead-1.24171529,Vigil being held in Richmond for man shot dead,['Alan Campbell'],,"A vigil is being held in Richmond Thursday night to remember the life of Amin Shahin Shakur, the 30-year-old man shot dead Monday night in south Vancouver.

The event, posted on Twitter by dank.mart, is being held at 8 p.m. in King George Park on No. 5 Road, near Cambie Road.

article continues below

Vancouver Police says it's investigating the death of Shakur, who was shot near Main Street and East 48th Avenue just after 11 p.m. Monday.

Shakur, who didn’t have an extensive police history according to the VPD, died at the scene.

Early Tuesday the scene of the shooting was blocked off by police tape, and evidence markers were seen on the ground while investigators combed the site.

Nearby residents told CBC they heard “four loud pops” shortly before 11 p.m. Monday.

While not confirmed, VPD said the homicide appears to be targeted and there is no risk to the public.",[]
5,richmond-news,https://www.richmond-news.com/news/ottawa-makes-multi-million-investment-into-richmond-rail-terminal-expansion-1.24171419,Ottawa makes multi-million investment into Richmond rail terminal expansion,['Kirsten Clarke'],,"The federal government is investing $17.5 million into a rail terminal expansion in north Richmond, intended to help improve supply chain efficiency and provide access to new markets overseas.

The “rail footprint” of the Ray-Mont Logistics terminal, located at 15900 River Road near No. 7 Road, will be increased to accommodate unit trains, while the terminal’s specialty grain and container handling equipment will be upgraded, according to a spokesperson for Transport Canada.

article continues below

The expansion will increase terminal capacity by about 160 per cent, or 1.7 million tonnes per year.

“Our government is investing in Canada’s economy by making improvements to our trade and transportation corridors,” said Transport Minister Marc Garneau in a statement announcing the investment June 30.

The facility receives and unloads grain from a variety of Canadian agricultural producers, according to Transport Canada. Once unloaded, those products are loaded into shipping containers, before heading to port terminals for overseas export.

By expanding the facility to accommodate unit trains – a train where all cars carry the same commodity bound for the same destination – supply chain efficiency will be improved and congestion reduced.",[]
6,richmond-news,https://www.richmond-news.com/community/ways-to-explore-metro-vancouver-with-lyft-this-summer-1.24171270,Ways to explore Metro Vancouver with Lyft this summer,[],,"With one of the most beautiful regions in the world at their fingertips, Metro Vancouverites are rediscovering all the local treasures that the area has to offer. After months of being responsible and staying home, people are now looking for things to do and reliable ways to get there.

On July 9th, Lyft became the first ridesharing company to serve all of Metro Vancouver and can now help everyone explore the region.

To help get planning started, here is a round-up of fun local adventures you can have -- all within Lyft’s expanded operating area:

Have a fun-filled day at Burnaby’s Central Park playing pitch and putt with a picnic.

playing pitch and putt with a picnic. Enjoy a night on the town in Vancouver and get a responsible ride home.

and get a responsible ride home. Take a Lyft ride from the nearest transit station to berry-picking farms in Delta and stock up on blueberries, boysenberries, and more!

and stock up on blueberries, boysenberries, and more! Get dropped off at Lynn Canyon, hike the Baden Powell Trail to Grouse Mountain, and take a Lyft ride to get your tired legs home from there.

to Grouse Mountain, and take a Lyft ride to get your tired legs home from there. Food trucks and breweries go hand-in-hand - check out the delicious options in Port Moody .

. Go on the famous dumpling tour in Richmond and take a Lyft ride from spot to spot as you eat the day away.

and take a Lyft ride from spot to spot as you eat the day away. Who says you need to go to the Okanagan for a wine tour? Make your way through the wineries in Langley and Aldergrove .

and . Look for treasures at the Cloverdale Flea Market every Sunday.

Flea Market every Sunday. Go on a paddlewheel boat tour from New Westminster for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride.

for a romantic dinner on the Fraser River and get home responsibly in a Lyft ride. Don’t stress about finding a parking spot at the Crescent Beach boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants.

boardwalk - get dropped off and take a leisurely stroll, taking in the beautiful sites and great restaurants. Take the kids to Playland and The Fair at the PNE, which opens just in time for summer.

On a hot summer day, what’s better than a cool dip? Take a Lyft ride to Alouette Lake in Golden Ears National Park or get a ride to your campsite!

For those riders referring friends to Lyft, invite them through the rider app to get free ride credit.

As Metro Vancouverites responsibly move around the region this summer, Lyft has implemented a Health Safety Program, which requires every rider and driver to self-certify they will wear face masks throughout the ride and are symptom-free, among other requirements. While it may be a unique summer this year, we can all do our part to respect each other’s health safety, move around the region comfortably and have lots of fun while we’re at it!

Interested in driving with Lyft? Learn more here.",[]
7,richmond-news,https://www.richmond-news.com/news/richmond-residents-ordered-to-pay-6m-in-securities-fines-1.24171394,Richmond residents ordered to pay $6M in securities fines,['Alan Campbell'],,"Two Richmond residents have been ordered to pay more than $6 million in sanctions for their part in a Ponzi fraud scheme.

Todd Norman John Bezzasso raised approximately $5 million from 85 investors through his companies, Bezzaz Holdings Group Ltd. (Bezzaz) and Nexus Global Trading Ltd. (Nexus).

article continues below

During this time, Bezzasso engaged fellow Richmond resident Wei Kai (a.k.a. Kevin) Liao to find investors on his behalf.

The British Columbia Securities Commission (BCSC) panel found that instead of using all of investor funds as promised, Bezzasso was actually operating a Ponzi scheme.

A large portion of the investors’ funds was being used to pay earlier investors, meaning many people who invested later during the scheme lost some or all of their money.

While the panel found that Bezzasso, Bezzaz and Nexus committed fraud against all 85 investors, the panel found that Liao committed fraud against one investor, traded in securities without being registered and acted as an adviser to investors without being registered.

As a result of their misconduct, Bezzasso is ordered to pay an administrative penalty of $4.5 million, and Bezzasso, Bezzaz and Nexus are jointly ordered to pay a financial sanction of $1,619,563, representing the amount they obtained or avoided losing as a result of the misconduct.

In ordering these sanctions, the panel noted that they “engaged in a deliberate and extensive fraud which deprived investors of a large portion of their invested funds.”

For his misconduct, Liao is ordered to pay $100,000 in administrative sanctions and a financial sanction of $68,530, representing the amount he obtained or avoided losing as a result of his misconduct.

In addition to the financial sanctions, Bezzasso is permanently banned and Liao is prohibited for 15 years from:

• relying on any exemption under the Securities Act

• being a director or officer of any issuer or registrant

• being or acting as a registrant or promoter

• acting in a management or consultative capacity in connection with the securities market

• and engaging in investor relations activities

They are also banned for the same time periods from trading in or purchasing securities or exchange contracts, although Liao is allowed to do so for personal use through a registered dealer.

Bezzaz and Nexus are permanently banned from trading in or purchasing securities or exchange contracts and engaging in investor relations activities.",[]
8,richmond-news,https://www.richmond-news.com/news/family-of-canada-day-lotto-millionaire-thought-he-was-joking-1.24171417,Family of Canada Day Lotto millionaire thought he was joking,['Alan Campbell'],,"Surinderpal Gill has been playing the lottery since he came to Canada 26 years ago, and after winning Lotto 6/49’s $1 million Guaranteed Prize on Canada Day this year, he’ll always have fond memories about July 1.

Gill won the million on Canada’s birthday after purchasing his ticket at the Chevron Town Pantry on 58 Avenue in Surrey.

article continues below

He says when he initially checked his ticket, he wasn’t quite convinced he was a big winner.

“I checked at the self-checker,” said Gill. “I told my son, and then I had to go to another gas station to make sure it was correct. After I told my wife, they both thought I was joking and didn’t believe me.”

Gill says the $1 million means he can take a step back from work.

“It’ll be nice to not have to work so hard,” laughed Gill. “I’ll still continue to … I want to start my own business.”

On top of starting a new business, Gill will put some of his money towards the new house that he’s building, so the timing of the win is perfect.

So far in 2020, B.C. lottery players have redeemed more than $73 million in winnings from Lotto 6/49.",[]
9,richmond-news,https://www.richmond-news.com/news/steves-plans-to-hang-up-richmond-council-hat-1.24171365,Steves plans to hang up Richmond council hat,['Maria Rantanen'],,"Harold Steves campaigned 50 years ago for a new museum for Steveston — he’s hoping before he ends his last term on council in 2022, it will finally be well underway.

With original plans for a museum in Steveston waylaid for several years by more grandiose ideas for a destination museum closer to the current city centre, Richmond council has now approved reconstructing the former Phoenix Net Loft with preliminary plans to make it into a museum.

article continues below

“Some things take a long time,” Steves told the Richmond News with a chuckle.

Getting a museum built has only been one of his priority projects on council.

Steves announced his “retirement” from council in a tweet this past weekend, saying “the realtor farmers are waiting like vultures for the next election when I retire, leaving a vacancy, and voters forget to be vigilant.”

Steves was first elected to council in 1969, and then served as an NDP MLA in the Dave Barrett government between 1972-1975. During this time, he helped establish the Agricultural Land Reserve (ALR), overseen by the Agricultural Land Commission, which regulates activities on any ALR land.

He was re-elected to Richmond council in 1977 and has served as a councillor ever since.

One of the most important issues he’s advocated for was keeping the Garden City Lands as a centrepiece for agriculture. Council was able to buy the lands, which are located in the ALR.

“It probably ended up being the most important thing … we saved land in downtown Richmond and now we’re going to farm it,” Steves said.

Steves has been a vocal advocate for farming and local food security. He and his wife Kathy run an 11-acre cattle farm in Steveston.

Richmond Mayor Malcolm Brodie said Steves’ work on council and his contribution to community life has been “immeasurable,” with him regularly bringing interesting initiatives to the table “mixed with a very good dose of pragmatism.”

“Harold will bring in actual ideas… that impact on the evolution of our city, with an environmental flavour, but solid in many, many different ways,” Brodie said.

During council meetings, Steves will often give a quick historical synopsis on agenda items, often dipping into his archives, which Brodie said rival city archives for council documents, to find relevant background information on the topic of the day.

“The history that Harold Steves brings to the council table and the knowledge, the corporate knowledge, is irreplaceable,” Brodie said.

“There will definitely be a hole to be filled, and (Steves) does have very large footprints, which he will leave on the city,” he added.

Steves has often said he wouldn’t retire until Michael Wolfe was elected to council and after several runs, Wolfe was successful to get on council in the last election.

Steves still has two years left in his term, and one of his biggest priorities is to make sure the Garden City Lands become a stronger centre for farming.

In fact, he is hoping to see a greenbelt stretching from the Garden City Lands, the Department of Defence lands to its east and the Richmond Nature Park joined together as a centrepiece of agricultural viability within the city and region.

His other dream is to have all the original groups in the city, the First Nations, the Chinese, the Japanese and the Europeans, recognized for their historical role in establishing the first townsite of Richmond – Steveston – while the rest of the city was just a smattering of farms.

A museum at the soon-to-be-rebuilt Phoenix Net Loft is where it could all come together, he said.",[]
10,richmond-news,https://www.richmond-news.com/news/video-blazing-car-in-north-richmond-1.24171354,Video: Blazing car in north Richmond,['Alan Campbell'],,"Large plumes of black smoke billowed into the summer sky Wednesday evening in north Richmond after a car exploded into flames.

The incident happened around 5 p.m. in Patterson Street, just south of Garden City Road and Sea Island Way.

article continues below

One eye witness said he noticed a car racing away from the scene moments after he noticed the blaze, adding that there was a door open in the burning car, understood to be a Mercedes.

A video shot by Steve Dobres and posted on Faebook shows the full extent of the fire.

Police and fire crews were on the scene within a few minutes and it’s believed there were no injuries.

The Richmond News has reached out the RCMP and the fire department for more details.",[]
11,richmond-news,https://www.richmond-news.com/eat-drink/steveston-brewery-to-open-second-location-in-ladner-1.24171238,Steveston brewery to open second location in Ladner,['Valerie Leung'],,"Steveston’s Britannia Brewing Company has announced the opening of a second location that is expected to open in the upcoming winter.

Britannia has been a popular favourite for many in Richmond and is known for their food, their own line of brews on tap and their bar program.

article continues below

Lloyd Kinney, co-founder and operating director of the Britannia Brewing Company, said they are feeling “very excited” for the opening.

“We’re just waiting for the city to provide us with a building permit and then from there we can proceed to stage two which is the fit out,” said Kinney, adding that they expect to open before Christmas.

“It’s always been part of our business plan as a brewery to have restaurant partners we would support with our craft beer.”

Their Ladner location will be a newly-renovated space of the former Ladner Village Hardware store, also known as Clayton’s Hardware store in the movie Fifty Shades of Grey.

And it will run as a restauarant with a larger space and no brewing facilities compared to Steveston's location.

However, it will feature a new “corporate private room” that large groups can book for private and public gatherings.

“We’ve always gotten requests to completely book out our restaurant in Steveston, but to be fair to our locals, we’ve never accepted full private bookings,” said Kinney.

“It’s a larger space than what we have now and so there’ll be a little more of that social atmosphere by having the bar or lounge area being bigger.”

-with files from Vancouver Is Awesome",[]
