,outlet,url,title,authors,publish_date,text,keywords
0,richmondsentinel,https://richmondsentinel.ca/article-detail/7778/extremely-fortunate-no-one-killed-in-six-vehicle-crash-west-of-sicamous-rcmp,'Extremely fortunate' no one killed in six-vehicle crash west of Sicamous: RCMP,[],,"SICAMOUS, B.C. — Police say wreckage from a six-vehicle crash that closed the Trans-Canada Highway west of Sicamous, B.C., was cleared away by Thursday.

The RCMP in Sicamous and Salmon Arm say they responded Wednesday evening to the crash involving two semi-tractor trailers, an SUV and three pick-up trucks.

The Mounties say in a release that four people were taken to hospital with non-life-threatening injuries, including a Calgary man who was driving the westbound semi.

Police say there were heavy brake marks at the scene, and they believe the semi crossed into the oncoming lane after the driver failed to safely make a turn on the highway.

The truck flipped onto its side and skidded down the highway before striking the five other vehicles travelling eastbound.

Police say the driver has been charged with crossing a double line under the B.C. Motor Vehicle Act.

The Mounties say speed may have been a factor in the crash but there's no evidence to suggest impaired driving was involved.

RCMP Sgt. Murray McNeil says it's lucky no one was killed considering the extensive damage to each vehicle and the length the semi travelled before coming to a stop.",[]
1,richmondsentinel,https://richmondsentinel.ca/article-detail/7777/health-officials-most-new-bc-covid-19-cases-in-community,Health officials: most new BC COVID-19 cases in community,[],,"COVID-19 continues to silently circulate in BC communities, provincial health officials said today.

Early on, many long-term care and assisted living facilities were impacted, but most new cases now are in the broader community. The increase in new cases in recent days made provincial health officer Dr. Bonnie Henry and Health Minister Adrian Dix “concerned.”

“No one wants to get sick with COVID-19, nor do we want to inadvertently pass it onto others,” said Henry. “While the symptoms can be mild, it is a complex illness that has serious consequences.

Dix and Henry also announced 21 new cases today, including two epi-linked cases, for a total of 3,149 in British Columbia. ‘Epi-linked’ means that public health investigations have shown that cases meet the case definition for COVID-19 but may not have been tested for a number of reasons.

There were no new related deaths, healthcare facility outbreaks or community outbreaks.

For the latest medical updates, including case counts, prevention, risks and testing, visit: http://www.bccdc.ca/ or follow @CDCofBC on Twitter.",[]
2,richmondsentinel,https://richmondsentinel.ca/article-detail/7776/alberta-mountie-gets-probation-for-in-custody-assault-on-indigenous-man,Alberta Mountie gets probation for in-custody assault on Indigenous man,[],,"HIGH PRAIRIE, Alta. — A Mountie has been given 15 months probation for assaulting an Indigenous man shortly after his arrest in northern Alberta.

A judge convicted Const. Licio Soares, an eight-year RCMP veteran, in May of assaulting 32-year-old Vernon Laboucan at the Slave Lake RCMP detachment in September 2017.

As part of his probation, Soares is required to complete 150 hours of community service as well as an education course on the historical harm the RCMP has had on Indigenous communities.

The assault came shortly after an intoxicated Laboucan was arrested for mischief.

Video shown in court showed the officer taking Laboucan to the ground headfirst, and landing several blows to his head and back after Laboucan tossed his sweater at Soares.

Alberta's agency that investigates police actions said Laboucan, who has a criminal record, was not seriously hurt.

""This is a serious crime because of the breach of trust by an on-duty officer involving a vulnerable prisoner,"" Judge Robert Marceau said Wednesday during a phone hearing in High Prairie provincial court.

""After throwing him to the ground, the officer had ample opportunity to step back and reassess the situation.""

The soundless video was entered into court as an exhibit during Laboucan's mischief prosecution and was obtained first by CTV News.

The mischief charge was later stayed.

Prosecutor Jason Neustaeter had argued that Soares should receive a conditional sentence of up to 90 days, as well as probation.

""(Laboucan) was brought to the detachment for his own protection,"" said Neustaeter, who noted that the man was unable to stand at the time of the video. ""Const. Soares was in a position of trust.""

""Mr. Laboucan was a person who was vulnerable in those circumstances.""

Defence lawyer James McLeod wanted a conditional discharge. He argued that Soares was already been subject to internal RCMP discipline that resulted in a $3,300 fine.

He added that the officer faces ""significant work limitations"" stemming from that discipline, including being forbidden from arresting, detaining or investigating civilians.

McLeod said Soares misinterpreted Laboucan's actions.

""This was not an offence motivated by frustration or anger. In Const. Soares's mind, he was reacting to the situation in front of him.""

The Mountie has undergone counselling, McLeod added.

Laboucan said he has no memory of what happened. In his victim impact statement, read by the judge, he said he felt ""hurt and disgusted"" after seeing the video.

""I thought, 'How can someone do that to me when I was so out of it? Why pick on a native on the street that was so highly intoxicated?'

“After the assault, when I was on the street, I felt unsafe. I felt like the cops are always out to get me.""

The RCMP said Soares has transferred out of the Slave Lake detachment to a Calgary-based federal intelligence unit.

The officer addressed court Wednesday and apologized for his actions.

""I’m sorry for what I have done. I take full responsibility,"" he said. ""I thought I was acting appropriately. I recognize now that I was not.""

Cpl. Laurel Scott wrote in an email to CTV News that it was anticipated the Mountie's duty status would be reviewed after the sentencing.

The RCMP said he had no previous disciplinary issues.

Laboucan is currently in custody and facing assault and second-degree murder charges in the stabbing death of a man from the Swan River First Nation. (CTV News)",[]
3,richmondsentinel,https://richmondsentinel.ca/article-detail/7775/rcmp-say-someone-left-needle-filled-lemons-in-port-coquitlam-bc-park,"RCMP say someone left needle-filled lemons in Port Coquitlam, B.C., park",[],,"PORT COQUITLAM, B.C. — Mounties say they've had reports of two lemons full of sewing needles found tied to bushes along a trail in Port Coquitlam, B.C.

The first lemon was found June 22 tied with twine to a branch in Gates Park and a complaint was made to the city of Port Coquitlam.

Police say the second lemon was found July 14 on a trail near the Coquitlam River.

That discovery was reported in an email to the community police station, which was closed, and by the time police received the email, the evidence had been thrown away and an investigation was impossible.

Photos of the lemons show they were cut in half, the rinds skewered with long sewing needles, and each was tied to tree limbs.

RCMP Corp. Michael McLaughlin says one theory is that the person who left the lemons had no intention of hurting anyone, but it's hard to be sure until someone steps forward to explain.",[]
4,richmondsentinel,https://richmondsentinel.ca/article-detail/7774/ex-cfl-player-gets-3-months-for-college-admissions-scam-in-united-states,Ex-CFL player gets 3 months for college admissions scam in United States,[],,"A former Canadian Football League player was sentenced Wednesday to three months in prison for hiring someone take the SATs in place of his two sons.

David Sidoo, who played professional football for the Saskatchewan Roughriders and B.C. Lions, lowered his head into his hands and cried as U.S. District Judge Nathaniel Gorton chided him for his actions. Sidoo told the judge he's “deeply ashamed.""

“I make no excuses. I broke the law. I pled guilty to a crime and now I must pay for my actions,” Sidoo said.

Earlier Wednesday, Karen Littlefair of Newport Beach, California, asked U.S District Judge Allison Burroughs for leniency before being sentenced to more than a month in prison for the online course scam. Littlefair said she was “truly sorry” and called the experience a “nightmare” for her family.

“I acted out of love for my son but I ended up hurting my son greatly,” said Littlefair, 57.

Court heard she paid $9,000 to have online classes taken on her son’s behalf.

Both Sidoo and Littlefair appeared before the Boston federal court judges via videoconference because of the coronavirus pandemic.

They are among more than 50 people charged in the college cheating scheme involving wealthy parents and athletic coaches at elite universities across the country. Authorities say the parents worked with the admissions consultant at the centre of the scam, Rick Singer, to have someone cheat on their kids’ exams or get them admitted to selective schools with fake athletic credentials.

Sidoo was CEO of mining firm Advantage Lithium Corp. when he was arrested last year. He was also a founding shareholder of an oil and gas company that was sold in 2010 for more than $600 million.

The Vancouver businessman paid Singer $200,000 to have someone pose as his sons using a fake ID to secure higher scores on their SATs, prosecutors said. Sidoo also worked with Singer to craft an admission essay for his son with a bogus story about the teen being held at gunpoint by Los Angeles gang members and saved by a rival gang member named “Nugget,” prosecutors said.

Last month, the B.C. government said Sidoo has been stripped of his membership in the Order of British Columbia, a process that began after he pleaded guilty to conspiracy to commit wire fraud on March 13.

Sidoo is also known for his philanthropic causes in British Columbia.

After Littlefair’s son was put on academic probation by Georgetown University, she hired Singer’s company to take four online classes on his behalf so he could graduate in 2018, prosecutors said. Three of the courses were taken through Georgetown, prosecutors said, while one was taken online at Arizona State University and then transferred to Georgetown.

Littlefair demanded a discount on the cheating after the person earned a C in one of the courses, authorities said.

“Kind of thought there would have been a discount on that one. The grade was a C and the experience was a nightmare,” she told Singer’s accountant in an email, according to court documents.

Burroughs told Littlefair she taught her son “it’s OK to cheat, it’s OK to take shortcuts.”

“You’re supposed to get more by earning it and working for it and I think that’s a lesson your son needs to learn and sadly he’s going to learn it the hard way here,” the judge said.

Nearly 30 parents have pleaded guilty in the case.

Others include “Full House” actor Lori Loughlin and her fashion designer husband, Mossimo Giannulli, who admitted to paying half a million dollars to get their two daughters into the University of Southern California as fake crew recruits.

They are scheduled to be sentenced next month. If the judge accepts their plea deals, Loughlin will be sentenced to two months in prison and Giannulli will be sentenced to five months.

With files from The Canadian Press

— Alanna Durkin Richer, The Associated Press",[]
5,richmondsentinel,https://richmondsentinel.ca/article-detail/7767/ice-cream-truck-supporting-bc-spca,Ice cream truck supporting BC SPCA,[],,"National Ice Cream Day is July 19, and The Praguery is offering a special treat to customers, and their dogs.

Located at McArthurGlen Designer Outlet Vancouver Airport, The Praguery is partnering with the outlet to support the BC SPCA.

This Sunday between 11 a.m. and 4 p.m., they’re offering their signature chimney cake with soft serve—plus a special raspberry topping and a dog-shaped cookie. They’re also providing dog treats to any furry friends who come to the dog-friendly centre.

$5 from every cone will go directly to the BC SPCA to support their Champions for Animals initiative, which aims to protect and enhance the quality of life for animals in BC.

For more information, click here.



",[]
6,richmondsentinel,https://richmondsentinel.ca/article-detail/7752/better-support-coming-for-injured-workers,Better support coming for injured workers,[],,"Changes to the Workers Compensation Act will provide better support to injured workers and their families.

The proposed changes will also enhance WorkSafeBC’s ability to investigate workplace incidents, while keeping premiums low. Changes include:

• R aising the maximum annual salary amount on which workers’ compensation benefits are based

• A uthorizing WorkSafeBC to provide preventative medical treatment before a claim is accepted

• G iving powers to the court to issue WorkSafeBC search and seizure warrants that are appropriate for investigating workplace safety infractions;

• Giving people a voice in serious workplace prosecutions and trials by using victim impact statements.

This legislation will fast-track the effective date of presumptions if established by WorkSafeBC’s board of directors for occupational diseases caused by viral pathogens. The presumption would simplify the process for workers who make a workers’ compensation claim if they contract viruses on the job. This would ensure that people who are at higher risk of contracting COVID-19 at work are able to access benefits more quickly.

During the COVID-19 pandemic, WorkSafeBC is allowing businesses to defer paying their premiums for six months without penalty or interest. As well, WorkSafeBC is waiving premiums on wages paid to workers of employers receiving the Canadian Emergency Wage Subsidy for the duration of the program.",[]
7,richmondsentinel,https://richmondsentinel.ca/article-detail/7751/moncton-street-will-be-pedestrian-only-for-bc-day-weekend,Moncton Street will be pedestrian-only for BC Day weekend,[],,"Parts of Steveston will close to vehicle traffic for the BC Day long weekend (Aug. 1-3).

The decision was made by city council at Monday night’s meeting after a recommendation from Coun. Michael Wolfe. Moncton Street will be closed between No. 1 Road and Third Avenue, and Bayview Street will be one-way westbound between No. 1 Road and Third Avenue.

The same restrictions on Canada Day—which staff said cost $13,350 in total—have led city council to continue to discuss the possibility of future street closures.

“Changes need to happen in Steveston, especially right now with so many cyclists and people walking—but it’s always busy on the weekends,” said Coun. Carol Day. “I think the time has come to really look at what our options are.”

Both Day and Coun. Harold Steves expressed support for a one-way model on some streets. This would allow for widening of pedestrian walkways in addition to parking for those in need.

“This is a pandemic, not a traffic decision,” said Coun. Kelly Greene. She pointed to other cities and neighbourhoods that have become pedestrianized as a response to the pandemic, indicating that Steveston should do the same at least on a Friday to Sunday basis through the summer.

Coun. Chak Au added it’s important Steveston merchants know city council is still discussing future plans for closures, and has not yet made a permanent decision—so input is still being welcomed.

“The door is not closed,” he said.

Councillors debated closing the same streets for all of August, but this was defeated by a narrow margin. Cost was a large factor in the discussion.",[]
8,richmondsentinel,https://richmondsentinel.ca/article-detail/7743/first-covid-19-incubation-period-since-canada-day-complete,First COVID-19 incubation period since Canada Day complete,[],,"The first incubation period since Canada Day is now complete, BC health authorities said today. This means it’s important to have heightened awareness to any symptoms and redouble efforts to stay safe.



As evidenced by the number of new cases of COVID-19 in recent days, the potential for new COVID-19 cases goes up with every increase in activity. Public health teams are actively working to manage cases and clusters as they emerge and keep new cases low and slow.

Take precautions to protect those around you by remembering that no matter where you may go, you bring your risk with you and share it with contacts.

Provincial health officer Dr. Bonnie Henry and Health Minister Adrian Dix also announced 13 new cases today for a total of 3,128 cases in BC. There were no new deaths reported since yesterday.

There were no new health-care facility outbreaks. In total, two long-term care or assisted-living facilities and one acute-care facility have active outbreaks.

There were no new community outbreaks and there is one active community outbreak at Krazy Cherry Farm in the Interior Health region. Other community exposure events continue to occur, with public alerts issued as required.

For the latest medical updates, including case counts, prevention, risks and testing, visit: http://www.bccdc.ca/ or follow @CDCofBC on Twitter.",[]
9,richmondsentinel,https://richmondsentinel.ca/article-detail/7742/river-road-to-close-for-24-hours-july-15,River Road to close for 24 hours July 15,[],,"As part of the River Parkway Capital Project, the City of Richmond will be raising a section of River Road in preparation for connection to the new River Parkway that will connect Gilbert Road to Cambie Road along the former CP Railway corridor.

Please be advised that River Road east of Gilbert Road will be undergoing a full 24-hour closure starting on July 15 at 12:00 a.m. (midnight) through to 11:59 p.m. the same day.

Access to businesses along River Road will be possible during this work but will have to be accessed from Cambie Road. River Road to the east of the closure at the Gilbert intersection will remain open. Advisory and directional signage will be installed prior to the closure.

As this work will also be occurring at night, measures will be in place to minimize noise and light disturbances.

This temporary road closure is to facilitate construction that will eventually close access to Gilbert from River Road (ETA: Fall 2020). Proceeding with this work is imperative to allow the future connection of River Road to the new River Parkway once the project is complete.",[]
