,outlet,url,title,authors,publish_date,text
0,The Record,https://www.therecord.com/news/waterloo-region/2020/07/14/two-new-covid-19-cases-in-region.html,Two new COVID-19 cases in region,['Johanna Weidner'],"Tue., July 14, 2020","WATERLOO REGION — COVID-19 cases in Waterloo Region have reached 1,346. The Tuesday morning update by public health is an additional two confirmed cases on Monday’s 1,344. Of the local cases, 1,179 are resolved, 49 are active and 11 are hospitalized. No new deaths were reported.  A total of 118 people with COVID-19 have died, following a death being reported on Monday and last Friday. Almost a month went by in June with no deaths reported. One was reported in the June 3 update to reach 115, and then not another until June 29.  One outbreak is active at a long-term care or retirement home after an outbreak was declared on Monday at PeopleCare Hilltop Manor in Cambridge, where one employee tested positive. There are no other active outbreaks at group homes, workplaces or hospitals. A total of 41,915 tests have been done in the region. The regular regional briefing is scheduled for 11:30 a.m. More to come."
1,The Record,https://www.therecord.com/news/waterloo-region/2020/07/14/we-are-so-excited-waterloo-region-businesses-prepare-for-stage-3.html,Waterloo Region businesses hope people ‘want to feel normal again’ in Stage 3,['Robert Williams'],"Tue., July 14, 2020","WATERLOO REGION — The lights were off, the signs said “closed,” and the streets were empty.  After nearly four months living under strict COVID-19 protocols, Waterloo Region will now begin life under the “new normal” of Stage 3 on Friday.  The third and final phase of Ontario Premier Doug Ford’s COVID-19 economic action plan, branded as the “Recover” stage of the provincial framework, will see the province move toward a reopening of most businesses in the approved regions.  “Nearly all businesses and public spaces will be able to gradually reopen in Stage 3, with public health and workplace safety restrictions in place, while some high-risk venues and activities will remain closed until they can safely resume operations,” the provincial framework reads.  Physical distance requirements of two metres will remain in place, but new protocols allow for groups of 50 to gather inside and groups of 100 to gather outside.  Restaurants, gyms, bars, movie theatres — all will be given the opportunity to follow the new framework to reopen back to the public.  And for businesses that have been bleeding cash for months, the announcement comes just in time.  “We are so excited to finally be able to reopen our doors,” said Brittany McLean, co-owner of the fitness studio F45 Kitchener Sportsworld. “Like anything, there are some worries but we know that happens when moving through uncharted territory. We have some incredible systems in place to be able to provide a safe workout environment for our community, and right now that’s all that matters.” Their studio will utilize individual squares, socially distanced, with no two people sharing the same equipment at any time. Masks will not be required for anyone working out.  Minto Schneider, chief executive officer of Waterloo Regional Tourism Marketing Corporation, will host a panel discussion Thursday on best practices for restaurants in the region.  Nick Benninger of the Fat Sparrow Group, Alex Kastner of Cambridge Mill, Jody Palubiski of the Charcoal Group, as well as representatives from public health and the Alcohol and Gaming Commission of Ontario, will participate.  But as has become customary with government announcements in the time of COVID-19, Palubiski said they are still awaiting specific guidelines on how restaurants can resume service inside.  All of his restaurant locations in the region will be reopen on Friday. He said they are planning with the assumption they will be allowed to have more than 50 people if they properly space the tables, and will scale that plan down if the province states 50 is the maximum regardless of space.  “We definitely will open to whatever capacity is allowed, whether that’s 50 people or spaced appropriately,” he said. “We’re going to be prepared either way, but we’re anxiously awaiting the clarity.” In the eyes of longtime food critic and writer Andrew Coppolino, the question now turns to whether customers will show up. “There’s two different things at play here,” he said. “On the one hand, of course restaurants are going to be excited to reopen so they can pay the bills. But will customers use a month to watch and see what happens? We just don’t know how they are going to react.” Palubiski is hoping trends will continue.  Based on what he has seen with patio attendance, customers have been turning up in higher numbers week over week with the increased patio space.  “I’m optimistic,” he said. “We’ve been so gratified by the level of support we’ve received. I think people are going to want to go out and connect. I think people are going to want to feel normal again.”  More to come ..."
2,The Record,https://www.therecord.com/news/waterloo-region/2020/07/14/man-who-murdered-kitchener-woman-dies-in-prison.html,UPDATE: Man who murdered Kitchener woman dies in prison,['Gordon Paul'],"Tue., July 14, 2020","KITCHENER — Hugh McColl told a pack of lies on the witness stand at his murder trial. But the Kitchener man may have been truthful about one thing: He said he had advanced prostate cancer and was worried he would die in prison. McColl, 66, died on Sunday at Beaver Creek Institution in Gravenhurst “of apparent natural causes following an illness,” Correctional Service Canada said in a news release. “As in all cases involving the death of an inmate, Correctional Service Canada will review the circumstances.” McColl killed Kate Reid, 51, in her apartment on Burn Place, near the corner of Belmont Avenue West and Highland Road West, on Jan. 2, 2015. He was convicted of second-degree murder and sentenced in 2017 to life in prison with no chance of parole for 13 years. McColl, who sublet a room in Reid’s apartment, struck her in the head with a hammer as many as 14 times and then concealed her body on her third-floor balcony, where it froze. He left her body there until late January, when he tossed it to the ground, dragged it near a dumpster and covered it with snow. Her body was not found until March 20, 2015. McColl continued living in the apartment for weeks after the killing. Reid, a former waitress who was on disability support, moved here years ago from New Brunswick. McColl, a former film producer and son of a United Church minister, maintained Reid came at him with a hunting knife in a dispute over rent. He said he struck her with the hammer in self-defence. The jury didn’t buy it. McColl admitted that after killing Reid, he impersonated her in a call to MasterCard to get a new PIN for her credit card. He used the card to buy two iPads and get money from an ATM. McColl also forged Reid’s signature on her cheques to pay bills to make it look like she was still alive and told Reid’s 17-year-old daughter her mom had gone to New Brunswick, even though Reid’s dead body was on the balcony. He then went about trying to cover up the crime, cutting up bloody parts of a couch and disposing of all of her belongings.  “Fifty-one years of memories, pictures and treasures thrown in the trash as garbage,” her sister, Leslie Reid, said at McColl’s sentencing hearing. “A small, red recipe book that Kate began when she was 13, filled with notes from her grandmother, is now lost forever because you wanted to erase a life. “For selfless reasons, you, Mr. McColl, not only killed my sister but you also murdered any chance of my family keeping a single physical reminder of Kate’s life in Ontario.”"
3,The Record,https://www.therecord.com/news/waterloo-region/2020/07/14/pedestrian-struck-by-vehicle-in-kitchener.html,A woman walking her dog struck by vehicle in Kitchener,"['Laura Booth', 'Liz Monteiro']","Tue., July 14, 2020","KITCHENER — A woman walking her dog was struck by a vehicle Tuesday morning in a Kitchener neighbourhood, police say.  The woman was taken by ambulance to Hamilton General Hospital with serious injuries. The family dog was killed, said Sgt. Scott Griffiths of Waterloo Regional Police. The collision between the pedestrian and a garbage truck occurred at 8:45 a.m. in the area of Countryside Crescent and Tuerr Drive in Kitchener. Roads in the area will remain closed as Waterloo Regional Police continue to investigate.  Griffiths said officers are on scene and speaking to residents in the Country Hills neighbourhood who may have witnessed the crash between the pedestrian and the truck. Griffiths said officers will be canvassing the area. They are also looking for any video that neighbours may have captured of the crash. A commercial vehicle inspection will be conducted on the garbage truck, he said. Chaitram “Steve” Persaud, who lives on Tuerr Drive, said he was in the kitchen making coffee when he looked out his front window and saw someone lying on the ground along with a dog. “My neighbour was comforting the person,” said Persaud. Persaud said the woman struck is his neighbour across the street and “she is a very sweet lady.” He said he worries about drivers speeding on Tuerr Drive and motorists not fully stopping at the stop sign. Anyone with information on the crash is asked to call traffic services at 519-650-8500, ext. 8856. Emergency road signs are blocking off the area at Countryside Crescent and Tuerr Drive in the residential neighbourhood in the Country Hills area off Strasburg Road.  More to come. "
4,The Record,https://www.therecord.com/news/waterloo-region/2020/07/14/premier-doug-ford-visits-kitchener-and-cambridge.html,Premier Doug Ford visits Kitchener and Cambridge,['Waterloo Region Record'],"Tue., July 14, 2020","WATERLOO REGION — Premier Doug Ford will be making stops at businesses in Kitchener and Cambridge on Tuesday.  At 1 p.m. the premier, along with Vic Fedeli, the Minister of Economic Development, Job Creation and Trade, will be at Eclipse Automation in Cambridge for an announcement.  The premier will also make a stop at Challenger Motor Freight and tour Shaver Industries in Kitchener.  On Monday, the premier announced that parts of the province, including Waterloo Region, would move into Stage 3 of reopening on Friday. More to come."
5,The Record,https://www.therecord.com/news/waterloo-region/2020/07/13/waterloo-oks-new-skate-park-upgrades-to-waterloo-park.html,"Waterloo OK’s new skate park, upgrades to Waterloo Park",['Jeff Outhit'],"Mon., July 13, 2020","WATERLOO — You will soon see Waterloo continue its overhaul of Silver Lake and Waterloo Park in the downtown, and construct a new skate park and outdoor plaza at the Albert McCormick recreation complex. City council chose contractors Monday for portions of upgrades that will cost almost $10 million in total. The recreation complex on Parkside Drive is getting a skateboard park, basketball court, splash plaza, climbing structure, seating areas, and public art in the form of outdoor benches.  “I’m so excited,” Coun. Angela Vieth said. She figures it will turn the community centre, with its library and two ice pads, into more than a place for children who can afford to play hockey. The complex is part of a neighbourhood with lower incomes. “It’s getting closer to becoming what I would consider a community hub,” Vieth said. “It’s been a long time coming.”  The upgrade will go where visitors currently park in 33 spaces. Lost spaces will be replaced by new parking spaces elsewhere at the complex. Construction is to start this summer and largely finish by the fall.  At Silver Lake and Waterloo Park in the downtown, council intends to realign Laurel Creek, remove the aging Lion’s Lagoon water park, and dredge and reconfigure the lake. The park is getting new pathways, a new boardwalk, fountain features, and a beach area.  Work on Silver Lake is expected to start this month and conclude in six months, weather permitting. Work on Laurel Creek was approved in May. Other work on Waterloo Park is to be advertised this summer. It’s expected that the overall lake and park project will be completed by the fall of 2021.  Council also voted Monday to reduce more speed limits or install signs or traffic-calming measures as part of its bid to make streets friendlier to pedestrians and cyclists during the COVID-19 pandemic. Various changes will be made on Sundew Drive, in the Old Abbey Road neighbourhood, and Waterloo Street.  Speed limits past five schools will be reduced to 30 km/h within the Eastbridge and Westvale neighbourhoods. Council has reduced other streets in those neighbourhoods to 40 km/h. "
6,The Record,https://www.therecord.com/news/waterloo-region/2020/07/10/activist-happy-to-see-nestl-go-seeks-end-to-bottling-permits.html,"Activist happy to see Nestlé go, seeks end to bottling permits",['Leah Gerber '],"Mon., July 13, 2020","WELLINGTON COUNTY — Robert Case first heard about the issues with water-taking in Centre Wellington when he moved to Guelph in 2007. He was dropping his daughter off at her bus stop, and a neighbour had brought post cards raising concerns about water bottling permits to send to the Ontario Ministry of Environment. Today Case is the board chair for the Wellington Water Watchers and last week witnessed the ousting of Nestlé from the county. “Good for us that we raised enough of a stink to make it uncomfortable for Nestlé to do business here,” he says. “But let’s finish the job by pushing our government to start phasing out permits to take water for bottling completely,” Case says. “It’s great Nestlé is leaving, but it’s still the same problem.” The sale of the Nestlé infrastructure to Ice River Springs water bottling company is still under review by the Competition Bureau of Canada, the federal organization that reviews all company sales to protect competition in the marketplace. Case speculates that once Ice River Springs takes over Nestle’s Ontario plants and well, they’ll have a monopoly on water bottling in the province.  Ice River Springs, a private company, portrays itself as a family-owned business invested in sustainability and environment. The company says all their bottles are made from 100 per cent recycled plastic made at their Shelburne recycling plant and plans to do the same at the former Nestlé plants. They report they use 85 per cent of the PET recycled material in Ontario’s blue box program.  Sandy Gott, Ice River Springs’ executive VP and co-owner says the company has invested $30 million in plastics recycling, and takes in 65 million pounds of plastic per year. But Case doesn’t buy it. “It looks like a lot of greenwashing if you ask me,” he says. “Water doesn’t require plastic.” Though he admits, “It’s interesting that they’ve found ways to recycle plastic.”  The Grand River Source Water Protection Committee and Centre Wellington, a township next to the Middlebrook well, reported in May that private permits to take water do not have a major impact on municipal water levels, because they are usually too far from municipal wells. But Case feels this misses the point. “I approach it with a more precautionary, conservation lens,” he says. “The question of affecting water flows is only one part of the equation.” Case feels that regardless of the amount of water taken, people need to ask why the water is being taken, for whose benefit and at what cost. “Water is for life, not profit,” he says. The sale involves all of Nestle’s Purelife brand bottled water infrastructure including a factory in Puslinch, Ontario and Hope, BC, as well as the Middlebrook well in Erin, Ontario."
7,The Record,https://www.therecord.com/news/crime/2020/07/13/waterloo-regional-police-badge-id-stolen-in-vehicle-break-in.html,"Waterloo Regional Police badge, ID stolen in vehicle break-in",['Waterloo Region Record'],"Mon., July 13, 2020","CAMBRIDGE — A Waterloo Regional Police badge and identification were stolen when a vehicle was broken into in Cambridge. Police said they were informed at about 8 a.m. Monday that a rock had been thrown through a window of a vehicle parked in the area of Black Bridge Road and Townline Road. A purse, along with the police badge and warrant card identifying the officer, was taken. Police want to speak with a man seen in the area at the time. He is described as white, in his 20s, with dark hair that was short on the sides and slicked back in the middle. He was wearing a plain white T-shirt and grey pants, and was seen driving a dark coloured car, possibly an Infiniti or Nissan. Anyone with information is asked to call police at 519-570-9777 or Crime Stoppers at 1-800-222-8477. If you’re concerned that someone using a badge isn’t an officer, police say you should ask for further identification, or call 911 to confirm that the officer is legitimate."
8,The Record,https://www.therecord.com/news/waterloo-region/2020/07/13/waterloo-region-death-notices-for-monday.html,Waterloo Region death notices for Monday,[],"Mon., July 13, 2020","Here are the death notices published Monday, July 13, 2020, in the Waterloo Region Record and at Legacy.com DULGHERU, Dumitru  JOYCE, Doris  MUELLER, Margareta  WINDLEY, Marian"
9,The Record,https://www.therecord.com/news/waterloo-region/2020/07/13/judge-nixes-waterloo-womans-plan-to-take-young-daughter-to-texas.html,Judge nixes Waterloo woman’s plan to take young daughter to Texas,['Gordon Paul'],"Mon., July 13, 2020","KITCHENER — A judge has cancelled a Waterloo woman’s plan to take her daughter to Texas for nine days. The woman announced to her estranged husband in late June that she and their five-year-old daughter were flying to San Antonio on July 6. The woman’s boyfriend lives in Texas. The girl resides primarily with her mother but spends alternate weekends with her father. Neither parent has sole decision-making powers over their child. The father opposed the U.S. trip and the case went to court. “The COVID-19 situation causes significant concern for father vis-à-vis the possibility of (the child) being exposed to the virus,” Superior Court Justice Jennifer Breithaupt Smith wrote in a ruling on July 2, four days before the proposed trip. The judge also noted that after returning to Canada, the child would have to self-isolate for two weeks. “This will result in further periods of missed parenting time between father and (the child),” the judge wrote, adding the girl will “effectively be denied parenting time with her father for the full month of July.” Breithaupt Smith said she would deny the Texas trip even without a pandemic. “This is in fact simply a case of inappropriate unilateral decision-making by one parent to the detriment of the other, and by extension of the child,” she said “COVID-19 adds a layer of desperation to the matter, but ... mother must receive the clear message that her actions would not be tolerated even if COVID-19 were not a factor.” The parents separated in 2018. The man had told his estranged wife he wanted to spend more time with their daughter. Text messages in late June had a “nasty” tone after the woman told him about the Texas trip, the judge said. Father: “You have put (our child) in a very bad situation because of your personal needs.” Mother: “Lol. Well since it’s a pandemic I guess she’ll have to isolate with me until it’s over. Thank you goodbye.” She went on to say: “We’ll be issuing a court order for permission to travel. You won’t have a say in this anymore.” The judge said the woman has previously travelled to the U.S. with her daughter without the father’s advance consent. When the trip took place was not specified. “International travel during a period of closed or uncertain border controls between a child’s habitual residence and the country being visited requires unequivocal agreement of both parents based upon a clear and collaborative plan,” Breithaupt Smith said. “It is not a decision that can be unilaterally made by one parent over the other’s objections, particularly where all parenting issues are the subject of active litigation.” Breithaupt Smith ruled neither parent can take the child out of Canada without the written consent of the other or a court order. The judge ordered the girl’s passport be deposited with the office of the father’s lawyer and said it “shall be retained there until it is released upon the written consent of the parties or further order of the court.”"
