,outlet,url,title,authors,publish_date,text
0,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/a-miracle-20-years-after-deadly-tornado-alberta-family-thankful-for-survival.html,‘A miracle:’ 20 years after deadly tornado Alberta family thankful for survival,['Bill GravelandThe Canadian Press'],"Tue., July 14, 2020","PINE LAKE, ALTA.—Twenty years after a tornado swept through a campground at a scenic tree-lined lake in central Alberta, killing a dozen people and turning trailers into kindling, Heather Thomson has a pocketful of miracles to reflect on. She’s the grandmother of Ashley Thomson, who was just four months old when she was ripped from her car seat and sucked up as high as a three-storey building by the twister at Pine Lake on July 14, 2000. The twister set her down, completely naked, a few hundred metres away on a golf driving range. She had little more than a cut to her left foot. “It is a miracle,” Thomson, who’s now 73, told The Canadian Press at her family farm northwest of Pine Lake. “Her mommy finds the car upside down with the car seat hanging there, with the clips all still done up, but no baby. “The car did several flips down the hill and her father remembers just seeing her little bare feet go out the window.” The child dubbed “Miracle Baby” in news headlines is now a business student at a college in nearby Red Deer. The 20-year-old didn’t learn about her near-death experience until she was five or six. “As I got older, it sparked an interest in me to hear everyone’s stories,” she said in a text message. “I was even more curious what happened to me. “What happened to me that day no one, including me, will ever know. The one thing I do know is that I had someone looking over me and my entire family.” Thirteen Thomson family members were at the Green Acres RV park that day. Heather Thomson said she had gathered about a half dozen nieces, nephews and grandchildren into their fifth-wheel trailer when the storm hit, bringing with it hail the size of baseballs. “I look out the window and I see two little boys running but they’re not going anywhere ... then these big chunky hailstones start to fall. I said to all these kids, ‘You guys all get down on the floor. Grandma’s never seen hailstones this big!” she said. “We’re lifted up in the air and we’re thrown down. The refrigerator came and hit my husband in the face. The microwave came out of the cupboard. The dishes all fell on top of us. And then the stronger part of the tornado, the back, turned us upside down.” She suffered broken ribs and a shoulder injury. Her husband, Butch Thomson, now 75, had blood gushing down his face where the fridge had struck him. With a finger, he traces a scar barely visible from his forehead, to the side of his nose, and down to his jaw. “I bet in 20 seconds it was over ... We were just up and down and upside down and that was it,” he said “I was kind of stunned there for the longest time. I didn’t know what the hell had happened.” Jillisa Thomson was five. She remembers being in the trailer with her grandparents. “I remember them lying over top of me and then us flipping and flipping ... We stayed for a bit and then we walked up this hill,” she said. “I remember Grandma trying to carry us up this hill and she’s just broken.” Dean and Rachel Thomson were also injured. He had stayed in the car with their baby, while his wife went into the campground office to check in. She was sucked up by the tornado and slammed into trees before she dropped to the ground. He was banged up in the car, then frantically searched for their missing daughter before finding her on the golf course. Ashley Thomson said she may not remember the tornado, but her parents and the rest of her family do. “This anniversary shows me their strength and bravery and I couldn’t be more blessed,” she said. “This experience changed my life. I believe that whoever was watching over me that day wants me to do great things.” Forest growth has covered most of the scars at the campground. Trees have been replanted and rows of trailers sit at campsites A large rock stands as a memorial near the lake and is surrounded by one tree for each person the tornado took from the world. “A tribute to a community which suffered great loss but showed great support, courage and heroism. Remembering those who lost their lives,” reads a plaque with the names of the dead. Heather Thomson said she and her family feel blessed. “Because we should have lost people. Other families lost family members. “We’re all alive and really no lasting physical effects from it. Maybe some mental ones, but we’re all pretty healthy.”"
1,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/feds-should-have-put-912m-into-canada-summer-jobs-program-opposition-says.html,"Feds should have put $912M into Canada Summer Jobs program, Opposition says",['Lee BerthiaumeThe Canadian Press'],"Tue., July 14, 2020","OTTAWA—Federal opposition parties are demanding to know why the Liberal government created a $900-million program to help students find volunteer positions rather than putting the much-needed funds into an existing summer jobs program. The call for answers comes as the government tries to chart a way forward for the new Canada Student Services Grant, which has been in limbo after WE Charity withdrew from administering the program amid controversy over its links to Prime Minister Justin Trudeau and his family. The Liberals have billed the grant program as a way to reward tens of thousands of students who want to help with the COVID-19 pandemic and can’t find paid work. Participants were told they could earn up to $5,000 toward their education costs by volunteering the maximum 500 hours. Opposition parties say the Liberals could have accomplished the same task without controversy by putting the money into the Canada Summer Jobs program, through which thousands of positions for students are subsidized by the federal government every year. “The government chose specifically to ignore the opportunity of the Canada Summer Jobs and instead went for this,” Conservative economic development critic Dan Albas said of the Canada Student Services Grant. “It makes no sense ... They put a ton of money — $912 million — towards an untested concept when they have a ready-to-go program.” The Liberals have expanded the summer-jobs program by increasing the wage subsidy available to companies and not-for-profit groups to 100 per cent of the local minimum wage, expanding what types of positions qualified and extending the eligible work period to early next year. Employment Minister Carla Qualtrough’s office also noted the Liberals injected an extra $60 million to create 10,000 more positions than last year for students. The move brought the total budget for the program to $323 million and the expected number of summer jobs to 80,000. “This additional investment is helping more youth stay connected to the labour market, save money for their return to school, and find quality jobs in safe, inclusive, and healthy work environments,” Qualtrough spokesperson Ashley Michnowski said in an email. “By adapting the program this year, our government is making sure that we have the resources needed to support Canadian workers, businesses, and communities dealing with the social and economic impacts of COVID-19.” But the opposition says the available funding is not enough to cover demand in a normal year. The federal Employment and Social Development Department itself says on its website that in 2019, “requests for funding totalled more than three times the program budget.” Neither the government nor WE have said how many volunteer positions they were expecting to fill through the $912-million grant program. There has been criticism that participants receive only $10 per hour — less than the minimum wage in any province. There have also been questions about many positions advertised as available through the volunteer scheme, including thousands for students to shoot videos, make websites and create other content in placements apparently created by WE to meet the requirements of the volunteer program. NDP ethics critic Charlie Angus said that stands in contrast to the summer jobs program after the government asked members of Parliament across the country to identify potential positions in their ridings in the spring — many of which did not get funding. “We had really legitimate organizations ready to hire students to do legitimate work, and all of that was sidelined,” Angus said. “These were a lot more credible positions than making a video showing how to do exercises.” The Liberals have indicated they plan to move ahead with the volunteer program despite WE’s withdrawal, saying the federal Employment Department has taken over and is looking at ways to make it happen. But the Conservatives, NDP and Greens all say the government should learn its lesson and put the money into the Canada Summer Jobs program, which is already managed by the government and has a history of success. That starts with revisiting what the Tories and New Democrats suggested was the large number of summer jobs requested by businesses and not-for-profits and not funded because of a shortage of money. “The government should be focused on a program that is transparent, that is fair, that is broadly supported by all parties, and that already has a number of applications that have been ranked and have not been filled just because there’s not enough money,” Albas said. Green MP Elizabeth May said organizations that applied for positions through the student-volunteer program should also be allowed to transfer their requests to the summer-jobs program. And if that is not possible, Angus said, the government should be looking at taking the money and putting it into direct financial support for students, including by adding the funds to the Canada Emergency Student Benefit for those unable to find work due to COVID-19. “They have two options: One is to put that money into Canada Summer Jobs and one is to put it straight into the support for university students so they have the funds necessary to go to school and cut out all these schemes they worked out with WE,” he said. “I think they need to move on this immediately. The summer is getting close to half over. It may be at this point too difficult to get the Canada Summer Jobs up, but there are a lot of organizations that we submitted names for.” Bloc Québécois Leader Yves-François Blanchet, meanwhile, repeated a call on Tuesday for Trudeau to step aside in favour of his deputy Chrystia Freeland while the WE affair is fully investigated. But Blanchet said that based on what’s known now, he doesn’t believe the Liberal government should fall over it."
2,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/flights-into-regina-had-passengers-who-tested-positive-for-covid-19.html,Flights into Regina had passengers who tested positive for COVID-19,['The Canadian Press'],"Tue., July 14, 2020","REGINA—The government of Saskatchewan says two recent flights into Regina carried passengers who later tested positive for COVID-19. In a post on its website, the government says Air Canada Flight 7947 from Toronto on July 4 and WestJet Flight 296 from Calgary on July 6 had confirmed cases of the coronavirus on board. The province doesn’t have information to offer on the affected seats on the WestJet flight, but says anyone sitting in rows 14 to 20 on the Air Canada flight may have been exposed. The government is urging passengers to self-monitor for symptoms for 14 days after arriving at their destination. People who think they may have been exposed to the virus on those flights can use the Public Health Agency of Canada’s self-assessment tool to gauge symptoms. Saskatchewan also offers a self-assessment tool. As of Monday, the province had 90 active COVID-19 infections with three people in hospital. There have been a total of 871 cases, 766 people have recovered and 15 have died. "
3,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/family-of-canadian-child-stuck-in-syria-taking-government-to-court.html,Family of Canadian child stuck in Syria taking government to court,['The Canadian Press'],"Tue., July 14, 2020","OTTAWA—The case of a five-year-old Canadian girl stuck in Syria appears to be headed to court as her family escalates efforts to bring her to Canada. The girl known publicly as Amira was found on the side of a road last year after her parents and siblings were killed in an airstrike, and she was taken to a refugee camp. Her uncle, known as Ibrahim, has been trying to get her out of Syria and to Canada but the federal government has refused to help. His lawyers filed a lawsuit in Federal Court on Tuesday saying that in failing to assist the child, the government is violating her rights. “Ibrahim has done everything humanly possible, including travelling to Syria on his own without security or protection, in an effort to bring his niece home to Canada,” the application says. “The respondents, despite their statutory and international law obligations and the rights of the applicant Amira, guaranteed by the charter, have for more than a year been unwilling to take a single step to enable the repatriation of Amira to take place.” Prime Minister Justin Trudeau had been asked on June 29 why the federal government wasn’t doing more to get Canadians out of the region. Trudeau said while there are countries that have diplomats on the ground in Syria, Canada is not one of them and it remains a dangerous place. “We will continue to ensure that we’re keeping as a priority the protection of Canadians working abroad, particularly in this COVID context, but in every context,” he said. In the court application, lawyers note that other countries with no consular services in Syria have leaned on other countries or humanitarian groups to help repatriate their citizens. The court documents state that Amira is one of 47 Canadians, 26 of whom are children, stuck in northeastern Syria. The regional government has urged countries to repatriate their citizens. In the court documents, lawyers say Ibrahim met personally with officials to plead Amira’s case. The documents say he was assured that upon Canada’s request, and coupled with the attendance of a delegate or representative of the Canadian government, the local government “would be only too pleased to facilitate the repatriation of Amira to Canada.”"
4,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/ontario-to-scrap-birth-alerts-across-province-starting-in-october.html,Ontario to scrap birth alerts across province starting in October,['The Canadian Press'],"Tue., July 14, 2020","Ontario is the latest province to do away with the practice of birth alerts. The provincial government announced today it will order an end to the system that sees children’s aid societies send notifications to hospitals if they believe a newborn is at risk. The government says research suggests the alerts have disproportionately targeted racialized families, and it’s committed to creating a more culturally appropriate child welfare system. It says that while birth alerts have never been required under provincial law, they have been inconsistently applied across children’s aid societies. The government says the practice must end by October 15, and societies must instead work with hospitals and community-based service providers to come up with pre and postnatal plans that better support families. The announcement comes two weeks after the Manitoba government officially ended birth alerts in that province, a move that took effect on July 1."
5,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/police-chief-says-two-alberta-officers-who-photographed-surveilled-politician-were-held-accountable.html,"Police chief says two Alberta officers who photographed, surveilled politician were ‘held accountable’",['Alex BoydCalgary Bureau'],"Tue., July 14, 2020","The police chief in Lethbridge, Alta. says the temporary demotion of two officers involved in the unauthorized photographing and surveilling of an Alberta cabinet minister was fair and that the police service was limited in what it could tell the public about the incident. While he declined to answer questions from media, in a emailed statement Tuesday, Chief Scott Woods said while he was “deeply disappointed” in the actions and attitudes of the two officers, he took “some consolation in knowing that they have been held accountable.” Sgt. Jason Carrier and Const. Keon Woronuk had their ranks bumped down for one and two years, respectively, after a disciplinary hearing found them guilty of multiple counts of misconduct. Back in 2017, the two on-duty, uniformed officers surreptitiously took photos of then-environment minister Shannon Phillips as she took a meeting at a Lethbridge cafe. Afterwards, Carrier watched her leave the cafe from his vehicle, while Woronuk set up to surveil the cafe, and followed one of the diners — though it’s not clear who — and ran their plates. They both admitted later that they’d been upset about Phillips’s plan to protect nearby wilderness.  The revelations have sent shockwaves to the very top of Alberta’s political leadership, with Premier Jason Kenney calling the incident “deeply disturbing” in a tweet Monday night. The justice minister has directed Alberta’s police watchdog to review the incident, including whether or not there are grounds for a criminal investigation. The incident was only revealed to the public after it was reported on by Chat News Now in Medicine Hat, which obtained a copy of the disciplinary report. That report has not been made public. Justice Minister Doug Schweitzer tweeted that he’d only learned of the incident on Monday night, after news had broke.  In the statement, Woods said, although these matters had been conducted in public hearings — and those notices are posted on the police website — the service is “limited” in what information it can release to the public. “The misconduct and discipline regime under the Police Act and Police Service Regulation incorporates a significant human resources element into the process — it is not purely punitive in nature,” he wrote. “Police Services do not have clear authority to release the full details of discipline hearings and outcomes.” There is a mention of the outcome on the police website that notes two officers had been sanctioned, though it doesn’t include details of the incident or names of the officers involved.  Now that the events have been reported on publicly, Woods said in the statement, he had more leeway to speak about them publicly.  “The actions for which these officers — Sgt. Jason Carrier and Cst. Keon Woronuk — were disciplined cannot be excused. The fact that they admitted to the charges of misconduct indicates that they acknowledge this reality,” he wrote. According to the disciplinary report, both officers did ultimately admit to multiple charges.  However, at their first hearing in September 2019, they entered “deny pleas” to all accounts. According to the agreed statement of facts, Woronuk admits he wasn’t totally forthcoming with police officials about their actions. When Calgary police began investigating, the disciplinary report said, Woronuk told them about a series of internet searches he did that evening to “ascertain the identity of one of the stakeholders,” but didn’t tell them he’d run any plates. He later said that he didn’t mention the plates because he was only responding to Phillips complaint about her photos being posted, though acknowledged that could be seen as “misleading.” Carrier meanwhile, has maintained that he was not involved in any surveillance or traffic enforcement of Phillips, but acknowledged that he did not report Woronuk’s search of the police database to a superior, which was a breach of policy exacerbated by the fact that he was a sergeant in a leadership position.  Wood’s statement goes on to say that Lethbridge police took the initiative in referring the incident for investigation, and it was investigated thoroughly by an outside agency, and outside counsel was retained to “vigorously prosecute” the charges. An “experienced, well-respected retired senior officer from another Services” presided over the hearings.  “The sanctions that were imposed against the officers were, to use the words of the Presiding Officer, ‘significant and on the high end of what may be considered appropriate.’” Woods added that the outcome does not relieve the “embarrassment and shame” that has been brought on Lethbridge police.  It also doesn’t “mitigate the justified anger and profound disappointment of Ms. Phillips and others in our community who have a right to expect so much better from their Police Service.” Woronuk admitted to five counts of misconduct, according to a notice posted to the Lethbridge police website, including using his position to his personal advantage and discrediting the reputation of the police service. He is being demoted two grades to a Constable Level 1 for two years. Carrier was found guilty of two counts, including neglecting his duties as a police officer, and is being demoted one grade to Senior Constable, Level 2, for one year.  Both demotions also mean a temporary reduction in pay."
6,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/canada-accused-of-flip-flopping-on-sanctioning-chinese-officials-in-letter-from-90-politicians-community-leaders-and-groups.html,"Canada accused of ‘flip-flopping’ on sanctioning Chinese officials as MPs, others demand action",['Jeremy NuttallVancouver Bureau'],"Tue., July 14, 2020","Dozens of MPs, community leaders and organizations from across the political spectrum have joined the latest call on Ottawa to sanction Chinese Community Party officials.  Whether the federal government will heed that call is the subject of much debate and speculation, even within the ranks of the 67 members of Parliament who signed Tuesday’s letter urging action. The letter calls for Magnitsky legislation to be brought against China’s officials complicit in human rights “atrocities” in Tibet, Xinjiang and Hong Kong. “As a leader on the international human rights discussion, to invoke Magnitsky sanctions against these officials is a strong and symbolic action that is consistent with how Canada has applied this act in the past,” reads the letter.  So-called Magnitsky legislation allows for Canada to impose sanctions, economic or otherwise, against specific people or organizations known to be responsible for human rights violations or corruption in other countries. Liberal MP John McKay pointed to recent actions Canada has taken by Ottawa over the new national security law in China, which include suspending an extradition treaty with Hong Kong and restrictions on certain “sensitive” exports to the region, as examples of a different attitude in Ottawa. “I think it’s an increasing possibility,” he said of sanctions. “I think the progress has been quite rapid in terms of a changing attitude.”  McKay said he thinks speaking out on the China issue has been welcomed by many in his party.  But a fellow signatory, Conservative MP Kenny Chiu, is much less optimistic, arguing Ottawa’s stance on the issue has been weak. “I have seen to date just a bunch of lip service, posturing and I have not seen much of any action,” he said. While he agrees with actions taken regarding Hong Kong after the national security law was brought in, the measures are “defensive” in nature and don’t go far enough, he said.  Chiu said sanctions on Chinese Communist Party officials could affect those with ties to Canada, and prevent them from freely coming to the country or doing business here could have an impact.  The government’s previous action on the issue doesn’t give him much hope sanctions are coming, Chiu said. Last week, Canada’s minister of global affairs, François-Philippe Champagne, suggested Canada was considering such sanctions against some mainland China officials in response to human rights abuses in the country, particularly in Hong Kong and the Xinjiang Autonomous Region. “Yes, we are considering all the options when it comes to standing up for human rights,” Champagne told the House of Commons in response to questions about whether the government would consider such sanctions. Later in the week, a Reuters story quoted a government source as saying Ottawa was not actually considering the sanctions.  The new calls for human rights sanctions increased recently after paper by academic Adrian Zenz released via the Washington, D.C.-based Jamestown Foundation using Chinese government documents reported forced sterilization was being practised in Xinjiang against its ethnic Uighur population. Such acts are considered genocide according to the United Nations convention addressing such crimes. Meanwhile, critics also say Canada hasn’t taken enough action to support pro-democracy efforts in Hong Kong, which was recently brought further under Beijing’s control with the imposition of a new national security law that opponents say breaches the British-Chinese joint declaration. The declaration is the document laying out the conditions of Hong Kong’s takeover by China, which occurred in 1997; part of it stipulated Hong Kong would enjoy relative autonomy until 2047.  Cherie Wong of the pro-democracy group Alliance Canada Hong Kong, which is a signatory to the letter, said the “inaction” by Ottawa amounts to flip-flopping. “We at Alliance Canada Hong Kong (ACHK) are frustrated with the deliberate inaction,” Wong said in an email. International human rights lawyer David Matas told the Star such sanctions pressure those involved personally in human rights abuses rather than just make a widespread condemnation of a government. “What Magnitsky legislation does is it puts a name and a face to violations,” Matas said. “It’s an attribution of responsibility.”  Such sanctions could include freezing assets, barring those sanctioned from coming to Canada or even opening them up to prosecution should they arrive here, he said.  Last week, the United States named several people and one organization related to human rights abuses in China for sanctions.  Meanwhile, regardless of the likelihood of Canada imposing such sanctions, Chiu and McKay both want to see them introduced. “The question after that is what’s the reaction of the government of China to the naming of individual human rights abusers,” he McKay said. “We’ll see.” "
7,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/search-for-father-of-girls-found-dead-in-quebec-enters-sixth-day.html,Search for father of girls found dead in Quebec enters sixth day,['The Canadian Press'],"Tue., July 14, 2020","ST-APOLLINAIRE, QUE.—The search continues today for the father of two girls whose bodies were found Saturday in a small town southwest of Quebec City. Provincial police spokeswoman Sgt. Ann Mathieu says officers on the ground and in the air are concentrating on a 50-square-kilometre area around St-Apollinaire, Que., where the bodies of Norah and Romy Carpentier, aged 11 and six, were located. The girls had last been seen Wednesday and became the subject of an Amber Alert the next day. Police have said they and their father, Martin Carpentier, are believed to have been in a serious crash on Highway 20 in St-Apollinaire on Wednesday evening at about 9:30 p.m. But police say they did not find any occupants inside the car when they arrived on scene. They say they have found “pertinent elements” in the area on Sunday that were sent to a laboratory for analysis to see if they are linked to Carpentier. Police did not specify what the items were, but as the search entered its sixth day, police have raised the possibility Carpentier could be unconscious or dead. Mathieu said it also cannot be ruled out that he remains alive. “You know that someone who is healthy, someone who is mobile, can easily move by walking several kilometres a day,” she told reporters. “We also have to consider that he could have found a means of transport, something as simple as a bicycle.” She said the area being searched was delineated based on reports from the public, and she urged people to remain on the lookout for Carpentier."
8,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/bc-to-give-update-on-profound-financial-challenge-of-covid-19.html,B.C.’s budget surges to $12.5 billion deficit because of pandemic,['Amy SmartThe Canadian Press'],"Tue., July 14, 2020","VICTORIA—British Columbia’s balanced budget has been shattered by the COVID-19 pandemic, with the province forecasting a deficit of $12.5 billion for 2020-21. Finance Minister Carole James said the numbers are staggering with job losses of 235,000 since February and a predicted GDP decline of 6.8 per cent by the end of this year. “We were preparing for economic moderation, we were well-equipped to be able to weather the challenges,” James said at a news conference Tuesday. “What came next was unprecedented. Mere weeks after Budget 2020 was tabled, our entire world changed.” The government has provided $6.26 billion in financial aid to businesses and individuals. Among the losses it anticipates this fiscal year because of the pandemic are close to $1 billion in personal income tax, $973 million in corporate income tax and $1.3 billion in provincial sales tax, James said. The projected GDP decline in 2020 would be the worst on record going back to the 1980s, although it is also projected to increase by 3.1 per cent in 2021. James said for context, B.C.’s real GDP has only declined twice in the past 40 years, falling by 2.4 per cent in 2009 and 6.4 per cent in 1982. “As those numbers remind us, this could be the worst downturn experienced in our province recent history,” she said. B.C.’s restart plan is showing signs of hope for the economy as consumer confidence increases, she said. The unemployment rate is slowly rebounding and fewer wildfires and floods have helped the bottom line. However, she warned that the province’s financial forecast could change depending on many risk factors, including the possibility of a second wave of infections, the possibility of a vaccine, as well as the success of relief measures and central bank policy. Regardless of how B.C. copes with the pandemic, James said its economy is also subject to the economic health of other jurisdictions, particularly those that buy from the province. James said it wouldn’t help the economic recovery to pull back on spending, but the government will review every cent spent as it heads into the next budget year. The B.C. government has tabled legislation giving itself room for three years of deficits, which James said will be re-examined each year. James said she believes people care about provincial deficits because they understand it’s taxpayer money, but they also understand the emergency the pandemic created. She declined to predict how long the recovery would take, given the many moving pieces at play. “There is no question that COVID-19 has had a profound impact on the economy of British Columbia and that’s not short term,” she said. The job losses have been widespread but some have been disproportionately affected, depending on a worker’s age, gender or which sector they work in, James said. Young workers are among the hardest hit, with the unemployment rate rising sharply from 9.1 per cent in February to 29.1 per cent in June for those aged 15 to 24. Women, who dominate the service industries and many of whom have also left jobs to care for family members, are another group more affected. Their unemployment rate rose from 4.8 per cent in February to 13.4 per cent in June. The hardest hit industries include wholesale and retail, accommodation and food services, construction, culture and recreation. The overall unemployment rate of 13 per cent remains at its highest level since 1987. While the job losses in March and April were record breaking, the figures for May and June have seen modest recovery as the economy started to reopen. “The projected numbers are staggering but they’re not without hope. Things are getting better each and every day when we follow the provincial health officer’s advice,” James said. The NDP government’s fiscal update was met with calls for an economic recovery plan by its political opponents, with the Opposition B.C. Liberals asking what happens when federal benefits like the Canada Emergency Response Benefit run out. Liberal Leader Andrew Wilkinson also suggested the government should reconsider its pre-pandemic spending priorities. “People in every corner of B.C. have had to adjust to a new normal and adapt their household budgets, so why is this government pretending it’s business as usual?” he asked in a statement. The Green party said the province should transition to a green economy by helping traditional industries become more sustainable, spending on training and building local businesses into the supply chain. “We can seize the once in a generation opportunity to strategically drive stimulus spending toward a future British Columbians want: an innovative, low-carbon, sustainable, just and inclusive economy for all,” interim leader Adam Olsen said."
9,The Record,https://www.therecord.com/ts/news/canada/2020/07/14/terror-suspect-mohamed-mahjoub-wages-court-fight-for-info-in-bid-to-stave-off-deportation.html,Terror suspect Mohamed Mahjoub wages court fight for info in bid to stave off deportation,['Jim BronskillThe Canadian Press'],"Tue., July 14, 2020","OTTAWA—A terrorism suspect is waging a new court fight against the federal government for information he says he needs to mount a full argument against deportation to his native Egypt and possible torture. It is just the latest twist in Mohamed Mahjoub’s two-decade legal odyssey. The government is trying to remove Mahjoub, 60, using a national security certificate, claiming he was a high-ranking member of a terrorist organization. Security certificates are rarely used federal tools for removing foreign nationals suspected of links to terrorist activity or espionage. Mahjoub, married with three children, came to Canada in 1995 and attained refugee status. He once worked as deputy general manager of a farm project in Sudan run by Osama bin Laden, who would later spearhead the Sept. 11, 2001, attacks on the United States. Mahjoub was arrested under a security certificate in June 2000 after being interviewed by Canada’s spy agency on six occasions between August 1997 and March 1999. Each time, he denied any involvement in extremism. The Supreme Court of Canada struck down the certificate regime as unconstitutional, but the government revamped the process and issued a new certificate against Mahjoub in 2009. It has subsequently been affirmed by the courts. In January, federal officials gave Mahjoub the results of two assessments — one examining the nature and severity of his acts, the other looking at the risks he might face upon removal from Canada. A designated government official will review the assessments in deciding whether Mahjoub should be deported. But before that happens, Mahjoub wants to see all the information underpinning the assessments. Last month the Canada Border Services Agency told Mahjoub and his lawyers it would not disclose “any of the requested documents or provide any further information,” says his recent filing in the Federal Court of Canada. The information is important because, if deported, Mahjoub would be sent to Egypt, “a country where he is likely to face persecution, torture and possible death,” the filing says. The severity of the potential consequences mean Mahjoub is entitled to see “all relevant information,” whether the government intends to rely on it or not, given the principles of natural justice and procedural fairness, his submission says. In addition, the Charter of Rights and Freedoms requires the government to disclose any information related to proceedings that have potentially severe effects on Mahjoub’s life, liberty and security, it adds. Mahjoub wants the court to prohibit the immigration minister and his delegate from issuing an opinion on his deportation until the information has been disclosed and he has had a chance to make submissions on it. The government has yet to file a response to Mahjoub’s arguments."
