,outlet,url,title,authors,publish_date,text
0,The Record,https://www.therecord.com/sports/soccer/2020/07/10/waterloo-soccer-star-eager-to-keep-kicking-at-top-level-in-europe.html,Waterloo soccer star eager to keep kicking at top level in Europe,['Josh Brown'],"Fri., July 10, 2020","WATERLOO — Julie Karn is eager to get back on the soccer pitch. The Waterloo athlete achieved her dream of playing professional soccer this past season when she landed a gig with FF USV Jena, a club on Germany’s top women’s circuit. “It was a very eye-opening experience,” said the Bluevale Collegiate Institute graduate. “It was cool to see something that was my passion become my profession.” But Karn only got a taste of the top level. An injury sustained in training limited her to just three games. When she was nearing a return, the COVID-19 pandemic hit. “My whole season was a little bit chaotic,” she said. “It wasn’t the first professional season that I wanted to have but it motivated me even more to have a better season this year.” And that will likely be on a different team, after Jena was relegated to the second division in Germany. Karn’s agent is currently scouring top women’s leagues abroad to find her next job. Once travelling restrictions ease up, she expects to head overseas to resume her kicking career. “I’m hoping to stay in the first division in whatever country I go to,” she said. “That’s the goal.” And Karn is used to achieving her goals. Besides playing soccer, she’s also a professional dancer after honing her craft at studios in Kitchener (Bojangles Dance Arts) and Bolton (Joanne Chapman School Of Dance). She starred in her first music video alongside pop star Shawn Desman when she was just 14 and has danced in TV shows and the Much Music Video Awards, among other things. When she wasn’t dancing, she was using her fancy footwork on the soccer field as a standout at Wilfrid Laurier University and the semi-pro Kitchener-Waterloo United FC. Through it all, Karn got a degree in kinesiology from Laurier and a master’s degree in human health and nutritional sciences from the University of Guelph. She also waits tables at Vita Lounge and Bistro, Kitchener’s new Italian hot-spot. And she’s only 24. “I’m someone that is productive when I’m busy,” she said. Soccer has always been a big part of the Karn household. Dad Dennis played in his younger days and the clan’s German roots meant the black, red and gold flag was waved when the World Cup was on TV. So, playing in her ancestral home was a huge honour. Getting there took some work. It started with Karn landing a training stint with Bristol City in England’s top women’s league for two summers while at Laurier. From there, she went to Frankfurt for more practise. A coach from that squad ended up running Jena and offered her a job last July. “I want people to know that if you put your mind to it and put in enough work, regardless of what you want to do, it’s possible,” said Karn, who credits her dad, mom, Shelley, and sister, Tanya, for helping her achieve her soccer dream. “I want to motivate girls from Canada and Waterloo Region so that they know it’s actually possible.” One day, Karn wants to crack the national women’s soccer squad. For now, she continues to train locally with a former Laurier teammate, workout from home and tend tables while waiting for the call to her next stop in soccer."
1,The Record,https://www.therecord.com/sports/waterloo-region/2020/07/09/canada-calls-on-waterloo-volleyball-sensation-schoenherr.html,Canada calls on Waterloo volleyball sensation Schoenherr,['Mark Bryson'],"Thu., July 9, 2020","WATERLOO — Volleyball Canada reached out with the invitation and Cory Schoenherr marked the dates on his calendar. The Waterloo native, a six-foot-seven middle blocker and occasional right-side hitter with the Kitchener Waterloo Predators Volleyball Club, has been awarded a roster spot for virtual training sessions with Canada’s Under-19 men’s team. The program, according to a news release, aims to further connect, educate and continue the development of select athletes as Canada looks ahead to world championship qualification in 2021. Thirty players will take part in the U19 virtual camp and Schoenherr, a three-time Team Ontario selection, is one of 11 players to hail from this province and the only one from Waterloo Region. The soon-to-be Grade 12 student at Bluevale Collegiate has mixed feelings about his initial foray into Team Canada territory.  “It’s obviously not what I was expecting for my first national team experience but it’s pretty surreal to be up there with the top athletes in a country that is sending a team to the Olympics next year,” said the 17-year-old Schoenherr. “Unfortunately, the (U19) team was supposed to be going to Colorado and then Honduras, but that’s not going to happen because of COVID. It might eventually happen, maybe they’ll push it back a year, I really don’t know.” The virtual camp runs Monday through Friday of next week and participants will attend two sessions daily. After a weeklong break, the camp resumes July 27 for another week of a two-a-day video gatherings. The fact Schoenherr views the camp as a learning opportunity will come as no surprise to anyone who has seen him go about his business with the Predators. He played on two teams for the club last season — U16 Ubuntu and U18 Chaos — and excelled with both while paying attention to details that could make him a better player. “He is just an absolutely fabulous human being, teammate, competitor, leader, you name it. I can’t say enough good things about this kid,” said U18 Chaos coach Duncan Cairns. “He keeps a notebook that he writes down all of the things that he’s trying to work on and accomplish. He’s very attentive to detail in terms of fixing minutiae when it comes to his arm swing or his approach angles. He asks everybody in the gym for advice and help, but he’s discerning enough to know who to listen to and who not to listen to.” Schoenherr hasn’t been on a volleyball court since March when the pandemic hit and caused the cancellation of a trip to Poland as part of a Team Ontario Elite (17-18) team that had been selected in January.  Since then, he’s played a bit of beach volleyball while finding various ways to stay fit. “It’s safe to say this is the longest I’ve gone without playing since I started to play volleyball (at age 14),” he said. “The national team is training again in Gatineau (Que.) but we’re still waiting in Ontario.” Schoenherr has aspirations of playing volleyball at the university level in the fall of 2021 and down the road hopes to achieve the loftiest of goals by playing for Canada’s senior men’s team. Cairns is optimistic he’ll do both. “He could throw a dart at a map of North America right now and he could go to any school he wants ... and he has the marks to do it as well,” Cairns said. “He could be an international sensation for us.” Schoenherr is a well-rounded athlete who has played many other sports during his time at Bluevale, including hockey, basketball, badminton and track and field in discus, shot put, javelin and long jump. He won an Ontario Federation of School Athletics Association bronze medal in the discus in his Grade 9 year."
2,The Record,https://www.therecord.com/sports/rangers/2020/07/07/police-wrap-up-investigation-into-hazing-allegation-made-by-former-kitchener-rangers-player.html,Police wrap up investigation into hazing allegation made by former Kitchener Rangers player,['Josh Brown'],"Tue., July 7, 2020","WATERLOO REGION — Waterloo Regional Police have wrapped up their investigation into hazing allegations made by former Kitchener Rangers forward Eric Guest. Police contacted the London-area resident after he posted a 15-minute video last month on Instagram alleging an older teammate pressured him to use cocaine in 2016 at a nonsanctioned team party during his rookie season. After talking with Guest, officers were told he did not want to proceed with a criminal investigation. Guest has since posted a new eight-minute video on Instagram where he made additional hazing allegations and continued to detail a toxic hockey culture. The 20-year-old said he’s making his experiences public in hopes that other players won’t have to go through similar things. “For me, if I would have known what I was going to go through to try and play in the NHL … I think I would have chose a different sport to play,” he said. “It’s sad because I gave my entire life to hockey.” The Ontario Hockey League is investigating his claims and, like the Rangers, refusing to comment while the review is ongoing. In the latest video, Guest recounts how he was suspended for five games for verbal abuse in a game against the Sudbury Wolves in 2016. The Record has since learned that he made a derogatory comment toward Jewish player David Levin. According to Guest, about a week later at practice a Rangers coach used a racial slur while talking about his time playing in the National Hockey League. “This coach was proud of, like, his wittiness,” said Guest, in the video. “For me, I’m just sitting there and I’m like, ‘What do I do?’ This is my coach that has just said this to me and … what am I supposed to do there?” Head coach Jay McKee and assistant Matthew Barnaby were the only Kitchener bench bosses with NHL experience during the 2016-17 season. McKee, when reached after Guest’s first video was posted, said he did not want to comment on any allegations while they were being investigated by the league. Barnaby addressed the situation on Twitter by posting: “I don’t usually respond to these bc (because) they are ludicrous but speculation that I used the N word is completely false.” Guest, who has openly talked about dealing with mental health issues, also said that he was mocked by a coach while taking medication, though it’s unclear if he’s referring to his time with the Rangers or last season which he split between the Caledonia Corvairs and London Nationals in the Greater Ontario Junior Hockey League. “I was on medication because, like, (I was) trying to figure out what’s going on with me, trying to get better,” he said in the video. “I was pretty fat. I was on this team and the coach … he’d just call me fat. There was one time I was sitting in the dressing room and I was sitting there, listening to him talk and he goes ‘Guesty, are your meds kicking in?’ And he says this in front of the whole team just to like, I don’t know, belittle me.” Former NHL player Daniel Carcillo is currently at the forefront of a class-action lawsuit against the Canadian Hockey League after outlining a list of disturbing hazing allegations he said he endured while playing for the Ontario Hockey League’s Sarnia Sting in the early 2000s. But Guest says, in his video, that hazing still exists today, adding that rookies have allegedly been forced to slow dance while naked and wear dresses and makeup, among other things. “With hazing it’s, I don’t know, it’s still happening,” he said. “It’s just that kids are hiding it, kids aren’t telling people about it, but it’s happening. And it’s like some disturbing, gross, bad stuff going on.” Guest also alleged he wasn’t allowed to use the bathroom on the bus during road trips with the Rangers. “I would go to the back of the bus and say I need to go to the bathroom and the vets wouldn’t let me,” he said. “These are like hours on the bus and I wasn’t allowed to go to the bathroom.” The Rangers were contacted by The Record after both videos were released but the organization is firm in its stance to withhold comment until the investigation into the hazing allegations wraps up. The Record has also contacted Guest, but he said he wants to do his talking through social media. Guest was a third-round draft pick by the Rangers in 2016 and played parts of three seasons with the club before returning home for personal reasons."
3,The Record,https://www.therecord.com/sports/rangers/2020/06/30/kitchener-rangers-grab-czech-goalie-in-import-draft.html,Kitchener Rangers grab Czech goalie in import draft,['Josh Brown'],"Tue., June 30, 2020","KITCHENER — He can stop pucks. He fits the plan. And he’s interested in playing in the Ontario Hockey League next season. So, the Kitchener Rangers didn’t hesitate to grab Czech goalie Pavel Cajan with the 41st pick in Tuesday’s Canadian Hockey League import draft. “It’s never easy because you’re not scouting him all year and it’s limited to a certain extent,” said Rangers coach and general manager Mike McKenzie. “But we were pretty happy to select him. We think he can be a good goalie in our league.” Kitchener originally had the 49th pick but moved up eight spots due to other teams passing. CHL clubs are allowed to dress two import players and the keeper joins Finnish defenceman Ville Ottavainen to fill the Rangers’ quota. Cajan, who turns 18 in October, is the first goalie Kitchener has ever selected in the import draft. The six-foot-two, 174-pounder came up through Liberec Bili Tygri’s system and played for the Czech Under-18 squad where he posted a 1.55 goals against average and .917 save percentage in three games. “He’s got a little bit of everything,” said McKenzie. “He’s a good-size kid, is pretty quick, has good reflexes and is athletic, but he’s not a guy that plays out of control. He’s calm that way. He fit what we look for in a goalie.” The Rangers knew Cajan was eager to join the OHL this season and the goalie confirmed it in a post-draft conversation with the club.  His addition also clarifies the team’s plan in net. “We’re big believers that you don’t see the best in goaltenders until their last year or two in the league,” said McKenzie. “We wanted to find a guy that wasn’t too young but also one that wouldn’t just be here for one season and be gone.” The starting job still has to be won but Cajan looks to be the main man for the next two years before passing the baton to 15-year-old Jackson Parsons, who was a third-round pick in this year’s OHL draft. Veteran Lucas Pfeil is also eligible to return for his overage campaign. “We think pretty highly of Jackson Parsons,” said McKenzie. “But we also want to make sure that we’re giving him a chance to be successful and not putting him in a situation where he doesn’t feel comfortable. We want to bring him along at the proper pace to keep his confidence high. “The age gap fits well with what we’re trying to do with where our team is at this year and where we think it will be at after this year as well.” The Rangers passed with their second selection in Tuesday’s draft. Ottavainen signed a deal with Oulun Karpat in the Finnish professional hockey league this past April but the Rangers were told by his agent that his plan is to return to Kitchener. The big Finn was the team’s first-round pick (35th overall) in last year’s import draft and finished with 15 points in 53 games. The Rangers selected defenceman, and Arizona Coyotes prospect, Axel Bergkvist in the second round of last year’s import draft. Bergkvist has since turned pro with BIK Karlskoga, a team in the Allsvenskan, which is the second highest level of hockey in Sweden. North Bay had the first overall pick in Tuesday’s two-round online draft and took Russian winger Matvei Petrov. In all, 66 players were selected from 10 countries."
4,The Record,https://www.therecord.com/sports/rangers/2020/06/26/canadian-hockey-league-appoints-panel-to-review-hazing.html,Canadian Hockey League appoints panel to review hazing,['Josh Brown'],"Fri., June 26, 2020","The Canadian Hockey League has created an independent review panel to look at how its member leagues deal with hazing, abuse, harassment and bullying. The panel, which was unanimously agreed to by the CHL’s board of directors on Thursday, will also examine the allegation that players don’t feel comfortable reporting such incidents. The announcement comes in the wake of a series of allegations of abuse made by former players, including ex-Kitchener Rangers forward Eric Guest, who said he was pressured to use cocaine by an older teammate at a party during his rookie season in 2016. Former NHL player Daniel Carcillo is also at the forefront of a class-action lawsuit against the CHL after outlining a list of disturbing allegations he said he endured while playing for the Sarnia Sting in the early 2000s. The lawsuit alleges rookies were forced to sit in the middle of the dressing room shower naked while older players urinated on them, had their bare buttocks hit with a goalie stick, were forced to strip naked and crammed in a bus bathroom and had to bob for apples in a cooler filled with urine and saliva, among other things. “We are deeply troubled by the allegations in the recently announced class action, many of which are historic in nature and we believe are not indicative of the leading experience our players receive in the CHL today,” the statement said. “Regardless of the timing, we are taking the claims very seriously as the protection of our players has been and will always be our primary concern.” The CHL plans to appoint a chair to the panel in the weeks ahead and to have “a review process” completed by the beginning of next season. “We welcome the findings of the independent review panel to ensure we are providing the safest player experience in hockey and amateur sport,” the statement said. The CHL oversees 1,400 junior hockey players in its three leagues — the Ontario, Quebec and Western hockey leagues. “The CHL is committed to ensuring them an environment that is Players First and free of hazing, abuse, harassment and bullying, and that provides zero tolerance for any of these behaviours,” the statement said. “To the extent that the allegations relate to criminal conduct we encourage those involved to contact the police.” Over the past two decades, the CHL has been working with groups such as the Canadian Mental Health Association, Canadian Red Cross and Respect in Sport to help deal with hazing, abuse, harassment and bullying. Currently, players are encouraged to reach out to their coach, general manager, police liaison, player liaison or governor/member or league officials, if they have any concerns about the way they are being treated."
5,The Record,https://www.therecord.com/sports/basketball/2020/06/24/national-basketball-league-optimistic-about-december-return-for-k-w-titans.html,National Basketball League of Canada optimistic about December return for K-W Titans,['Mark Bryson'],"Wed., June 24, 2020","KITCHENER — National Basketball League of Canada owners want to be up and running in late December. This country’s oldest professional league, which was forced to halt its 2019-20 schedule in March because of COVID-19, has announced eight teams will participate in the 10th season that is tentatively slated to start Boxing Day. “We’ve been subject to a lot of inquiries in terms of what’s happening with our future and whether we’re coming back, so now with the economy opening up and regions moving into Phase 2, we felt it was a good time to tell our fan base that we are very much excited about coming back,” said league deputy commissioner Audley Stephenson. “Health officials are going to guide us and give us direction ... but we thought now was a good time to inspire a little confidence as we turn around as a society if you will.” Kitchener-Waterloo Titans owner Leon Martin is on the record as saying his team would return for its fifth season if the league returns from the coronavirus. Stephenson said teams in London, Sudbury, Windsor, St. John’s, Halifax, Charlottetown and Moncton will also return. A league that requires gate receipts to survive, Stephenson admits the season won’t happen without the green light from health officials to play in front of spectators. The Titans play at the Aud and last season averaged 1,587 spectators in 11 home games. A crowd of 3,766 took in the Jan. 14 school-day game against the Island Storm and a season-low 938 were in attendance two days later for a Thursday night game against the Windsor Express. Additional details will follow as they become available, said Stephenson."
6,The Record,https://www.therecord.com/sports/rangers/2020/06/24/four-blueshirts-invited-to-canadas-u-17-camp.html,Four Blueshirts invited to Canada’s U-17 camp,['Record staff'],"Wed., June 24, 2020","Hockey Canada’s virtual Under-17 development camp will have a familiar feel. That’s because four Kitchener Rangers draft picks were invited to take part in the event, which runs July 19-25. Forward Andrew LeBlanc and twin brother Jacob, a defenceman, will join rearguard George Fegaras and goalie Jackson Parsons and 109 other top players at the camp. One-time Waterloo Siskins coach Chris Lazary was one of three bench bosses named to the roster. The gathering serves as a first look, and tryout of sorts, ahead of the world Under-17 hockey challenge, which is typically held in November."
7,The Record,https://www.therecord.com/sports/rangers/opinion/2020/06/21/issues-in-junior-hockey-go-beyond-cocaine-allegation.html,Issues in junior hockey go beyond cocaine allegation,['Josh Brown'],"Mon., June 22, 2020","KITCHENER — The walls of silence are up. Which is ironic, since speaking out was one of the hurdles one-time Kitchener Rangers forward Eric Guest faced while playing in the Ontario Hockey League. And I get it.  The OHL and the Rangers are refusing to comment because there is an ongoing investigation into the alleged hazing Guest says he dealt with while playing for the Blueshirts in 2016. It would be premature for them to discuss the allegations Guest made last week in an Instagram video. When the investigation wraps up, league and Rangers officials can have their say about his claim that a veteran teammate pressured him and another youngster to use cocaine in a locked bathroom at a nonsanctioned party during his rookie season. But Guest’s 15-minute video also raised a myriad of issues that all players can relate to. Things that, regardless of the outcome of the investigation, need to be examined. Look, the Rangers run a tight ship. I’ve seen it firsthand for more than a decade. I can’t tell you how many players, parents, agents, scouts and coaches rave about the club. The team’s reputation is that solid. General manager and coach Mike McKenzie is approachable and a real student of the game. Jay McKee, who was behind the bench for Guest’s tenure, might just be the nicest and most level-headed person I’ve met in junior hockey.  They both clearly care about their players. So, I don’t think there is malice, ignorance or ego driving things on East Avenue.  But despite efforts to create an inclusive environment, there is a palpable disconnect between veterans and rookies — here and around the OHL. Guest captured the dynamic well in his video. “When you’re young in that league ... you listen to what the older guys tell you,” he said. “You don’t really have a voice.” Former Rangers defenceman Connor Hall echoed those feelings when reached last week: “As a 16-year-old you’re scared. Until you get comfortable with the guys you’re scared in the room. You don’t talk, you don’t do anything.” Guest also said he found it hard to leave home to play hockey. And he’s not alone. “Moving away from home is a big culture shock for a 16-year-old,” said Rangers alumnus Jacob Cascagnette. “I experienced that when I was 19 moving to Mississauga (after being traded by Kitchener). I know what Guest was going through (in that respect).” Guest said he “hated” his billet house during his rookie season, so much it made him cry. And while the Rangers vet and have some amazing billets, not all pairings mesh. “There have been multiple guys that have had different billets just because it wasn’t a right fit,” said ex-Rangers forward Jonathan Yantsis. “Some families want you to be a complete part of their family and go to family gatherings and stuff, whereas other people are more laid back and let you do your own thing.” But the biggest takeaway from Guest’s video is that he didn’t feel comfortable speaking to coaches, management or even his parents about some of the hardships he was going through. “I lied to my parents for years when I lived there (in Kitchener) and said like ‘Oh, I’m fine, I’m doing well, like I’m mentally OK’,” he said, in the video.  “I lied to them because I wanted to play in the NHL. When you’re in that situation you’re going to do anything you can. You’re going to bury your feelings, your thoughts and try and make that dream come true. That’s what I was doing.” He didn’t want to complain or be seen as a problem. He wanted to “fly under the radar.” That kind of pressure seems suffocating. And it’s heartbreaking to hear. While the investigation into Guest’s allegations of a cocaine incident is ongoing, his video goes deeper than illicit drugs. It speaks to larger issues that every player can relate to, some more than others. They are issues that aren’t unique to the Rangers. They likely run through every OHL club — and they need to be talked about."
8,The Record,https://www.therecord.com/sports/rangers/2020/06/18/explainer-what-the-ohl-investigation-into-alleged-hazing-and-abuse-of-former-rangers-player-is-all-about.html,Explainer: What the OHL investigation into alleged hazing and abuse of former Rangers player is all about,['Josh Brown'],"Thu., June 18, 2020","KITCHENER — The off-season is usually quiet for the Kitchener Rangers. But the team was thrust into the spotlight this past Monday when former forward Eric Guest shared his experiences of playing for the Ontario Hockey League club in an Instagram video. In it, the 20-year-old made some serious allegations. The story continues to evolve. What are the allegations? The biggest one is that an unnamed NHL-drafted player told Guest and another young player at a team party to join him in the bathroom where he locked the door and pressured them to do cocaine. “He locks the door and … he said you guys aren’t leaving this bathroom until you do this. He said you’re not leaving the bathroom until you do cocaine, basically is what happened,” Guest said in the video. Guest also addresses toxic masculinity in sport, a party lifestyle of drinking and drugs in junior hockey, “hating” his billet situation in Kitchener, the pressure of playing in the OHL and not being comfortable talking to coaches or management about these issues. When did it happen? The party occurred about a month into the 2016-17 season. Who is investigating? The OHL launched an investigation once it became aware of the situation and issued this statement on Tuesday: “The League became aware of Eric Guest’s accusations for the first time last evening. These allegations constitute a serious violation of OHL rules and include allegations of criminal conduct. We have reached out to Eric, requested an immediate meeting to receive the pertinent details and to initiate an investigation. Once we have spoken to Eric we will have a better understanding of the next steps.” The Rangers also released a statement on Tuesday: “The Kitchener Rangers became aware of the allegations made by Eric Guest for the first time last night. These allegations involve former players with our team and are extremely serious and potentially criminal conduct. As a result, we have contacted the Waterloo Regional Police Services. We will participate with the Commissioner and the League in their investigation. Until the investigation is complete the club will be making no further comments.” There is no indication how long the investigation will last. It could be days or weeks. Who is Eric Guest? Guest hails from Kilworth, which is west of London. He was Kitchener’s third-round draft pick in the 2016 OHL draft (47th overall) and spent parts of three seasons with the team. He left the club in mid-February of 2019 to return home. At the time, the Rangers did not provide anymore details, out of respect for his privacy. Guest said on his Instagram video and on a podcast that he has dealt with mental health issues. Who allegedly supplied the cocaine? According to Guest, it was an NHL-drafted player. There were five on the team at the time. One of them, defenceman Connor Hall, a former Pittsburgh Penguins prospect, told The Record it was not him. Who was leading the team at the time? Former NHL defenceman Jay McKee was the head coach. He was fired last November but that decision had nothing to do with drugs, Guest or any kind of culture problem, the team said this week. McKee’s one-time teammate, Matthew Barnaby, was an assistant coach along with Jason Fortier. Mike McKenzie was an assistant coach/assistant general manager. Murray Hiebert was the GM. Barnaby and Fortier are no longer with the club. McKenzie replaced Hiebert as GM in March of 2017 and remains in that post today. Hiebert is a senior adviser and scout with the team. What has the reaction been? Some former teammates have come out in support of Guest and feel no player should ever be put in a situation like he was with the alleged cocaine incident. Others can sympathize with his concerns about billets and not being comfortable speaking up as a rookie. Players admitted they attended some parties that season but played down the insinuation that there was a party lifestyle going on. Are OHL players tested for drugs? Yes. Random, unannounced testing, under World Anti Doping Agency (WADA) guidelines, occurs throughout the season. According to the OHL’s website, a drug education and antidoping program is provided by the league and developed and administered by the Canadian Centre for Ethics in Sport. The program includes an annual online education program for players and staff. What is the OHL’s stance on hazing? The OHL has a zero-tolerance policy for hazing and abuse. In 2009, the league’s board of governors created the OHL Enforcement Program in an attempt to eliminate hazing and impose penalties if violations occur. Every year, players must acknowledge in writing that they understand the policy and are encouraged to talk about any concerns they have. How has the OHL dealt with hazing in the past? In 2005, the OHL fined the Windsor Spitfires $35,000 and suspended Moe Mantha one year as general manager and 40 games as coach after older players forced rookies to strip and then locked them in the bathroom of the team’s bus on the way home from an exhibition game in London. In that case, commissioner Dave Branch spent about two weeks interviewing staff and players before announcing the penalties. About two years ago, former NHLer Daniel Carcillo took to Twitter to explain his alleged hazing and bullying suffered while playing for the Sarnia Sting as a 17-year-old during the 2002-03 campaign. In it, he talked about being hit with a sawed-off paddle from a goalie stick, being made to sit on the shower floor while veterans urinated and spit chewing tobacco on or near rookies and being forced to bob for apples in a bucket filled with waste, including urine and spit. Thursday, Carcillo and former player Garrett Taylor filed a lawsuit against the Canadian Hockey League, WHL, OHL and QMJHL alleging that players aged 15 to 17 were hazed, bullied and physically, verbally and sexually harassed. Read more: OHL launches investigation after ex-Kitchener Rangers player says he was forced to use cocaine  Ex-Rangers react to cocaine allegation"
9,The Record,https://www.therecord.com/sports/rangers/2020/06/17/ex-kitchener-rangers-react-to-cocaine-allegation.html,Ex-Kitchener Rangers react to cocaine allegation,['Josh Brown'],"Wed., June 17, 2020","KITCHENER — There were parties. Like most teenagers, members of the Kitchener Rangers would get together once in awhile to bond. Sometimes alcohol was involved. But life outside of the Aud was not party central, former players who donned the red, white and blue say. “There wasn’t a big party atmosphere,” said 21-year-old winger Jonathan Yantsis, who played with the Rangers for the past four years. “But let’s say we did have a day off, the older guys might go out for drinks. But the younger guys would stay at home and get ready for school. “It wasn’t like we were going out every night drinking. You choose your spots when you’re older. You’re still trying to make the NHL and be a professional.” The culture surrounding the Ontario Hockey League club was questioned earlier this week when ex-winger Eric Guest posted a video on Instagram alleging an older unnamed player forced him to use cocaine when he was a rookie at a nonsanctioned team party in 2016. “So he takes me and this other kid into the bathroom,” Guest, who was 16 at the time, recounted in the video. “He locks the door and … he said you guys aren’t leaving this bathroom until you do this. He said you’re not leaving the bathroom until you do cocaine, basically is what happened.” The OHL has since launched an investigation and, along with Rangers brass, will not comment on the alleged incident, at this time. When reached, Guest, now 20, said he too did not want to comment further and would continue communication through his personal videos. Like Guest, Yantsis also joined the Rangers in 2016 but not until later in the season when he inked a deal as a free agent. “I wasn’t around for the rookie party or anything,” he said. “I don’t know what he experienced personally. For myself, I’ve never seen that or heard of that going on with our team. No one has ever pressured me or put me in a situation where that has happened. “Sure, there is some pressure to drink at a party with older guys but it’s not like they’re forcing liquor down your throat. Most teenagers are going to drink but nobody was forced into anything they were uncomfortable with, from my experience.” In his video, Guest said the teammate who had the cocaine was a drafted NHL player. There were only five players who fit that profile with the Rangers at the time. Blueliner Connor Hall, a former Pittsburgh Penguins prospect, was one of them. “It wasn’t me,” he said. “I don’t want to comment too crazy on it. Looking at the other guys, they’re all on NHL deals. It’s not going to look good on anyone until the actual name of the person who did it comes out, whether it was a drafted player or not.” In the video, Guest, who played with the Rangers from 2016-19, also said: “... It’s like a partying lifestyle almost going through junior hockey and whatnot. I’ve seen it. Drinking problems, drug problems. It’s super common.” Hall admitted players got together for parties probably “four to five times a year.” Older players, of age, would also go to bars on days off, at times. But players had to adhere to a rotating curfew, depending on the day of the week. The 22-year-old also said the reality that someone could just text Rangers general manager Mike McKenzie, or other team staff, curtailed nights out. “From my five years being there we were pretty squeaky clean outside of hockey,” said Hall. But management can’t be everywhere. Guest didn’t feel comfortable sharing his negative experiences with the team, at the time. “You can’t go to your coaches, your GMs and say this stuff is happening in the locker-room,” he said, in the video. “They just don’t know about it. But this kind of stuff happens.” Hall said he can sympathize. “I feel like it (the alleged cocaine incident) would be a tough thing to go to someone about while you’re on the team, like he said,” said Hall. “As a 16-year-old you’re scared. Until you get comfortable with the guys you’re scared in the room. You don’t talk, you don’t do anything. “But in saying that, if it hurts you that bad … and if it hurt me in the way it hurt Guesty, I’m telling someone. I’m going into Mike McKenzie’s office, whether I’m 16 or 21, and saying something.” Jacob Cascagnette played parts of four seasons with the Rangers, before moving on to stints with the Mississauga Steelheads and Ottawa 67’s. He was at the party in question, but didn’t see any cocaine or hear about the story until this week. “I treated the rookies with respect and the rookies treated me with respect,” said the Kitchener native, who was a 19-year-old veteran at the time. “It’s just disappointing. I’m not sure who did it. I know the Rangers are a first-class organization and for something like this to happen, it shouldn’t happen in any locker-room. “My experience with off-ice stuff is that we had a close group with the Rangers each year and ... there was nothing along the lines of hazing or anything.  “But for this to happen is just sad. When the news came out it was just unbelievable. I was just embarrassed to even be a part of a roster where that happened.” Yantsis said he was close with Jay McKee, who coached the Rangers from 2016-19, and current assistants Dennis Wideman and Andreas Karlsson. “I knew I could go and talk to them if I had any problems,” he said. “I could go in there and talk about the stress of playing or if I had any problems at home that I needed to talk about. Personally, I had a great experience there (in Kitchener). There are people that are going to take care of you and care about you.”"
