topics,titles,urls,image_urls,location,lat,long,category
busi govern program tax billion pandem fund feder,"['B.C. highway widening job reduced, costs still up $61 million – Abbotsford News', 'Filing time: Plan now to be prepared – Surrey Now-Leader', '‘There’s no judgement here.’ Foundry Ridge Meadows supports youth in need – Maple Ridge News', 'How sustainable is Wealthsimple’s new socially responsible portfolio?', 'They’re 26, make $113,000 and they’re expecting a baby. Can they afford a home?']","['https://www.abbynews.com/business/b-c-highway-widening-job-reduced-costs-still-up-61-million/', 'https://www.surreynowleader.com/marketplace/filing-time-plan-now-to-be-prepared/', 'https://www.mapleridgenews.com/marketplace/theres-no-judgement-here-foundry-ridge-meadows-supports-youth-in-need/', 'https://www.thestar.com/business/personal_finance/2020/07/13/how-sustainable-is-wealthsimples-new-socially-responsible-portfolio.html', 'https://www.thestar.com/business/2020/03/02/theyre-26-make-113000-and-theyre-expecting-a-baby-can-they-afford-a-home.html']","['https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://images.thestar.com/5LuMMYNcH8nPvSX2xsRnBZSIBi4=/1200x797/smart/filters:cb(1594331640555)/https://www.thestar.com/content/dam/thestar/business/personal_finance/2020/07/13/how-sustainable-is-wealthsimples-new-socially-responsible-portfolio/tobacco_leaves.jpg', 'https://images.thestar.com/rlUY8TdSW9N2chnue6pvEvUEQVk=/1086x600/smart/filters:cb(1583781170954)/https://www.thestar.com/content/dam/thestar/business/2020/03/02/theyre-26-make-113000-and-theyre-expecting-a-baby-can-they-afford-a-home/tom_and_emily_1_.png']",British Columbia,,,politics
car wheel vehicl engin drive rear litr model,"['Toyota collaboration clearly benefits both brands – Chilliwack Progress', 'Hyundai recalls 272K U.S. cars; electrical outlet can overheat', 'What you should know: Subaru Legacy – Chilliwack Progress', 'Touch-free sales and service transform auto experience – Abbotsford News', 'What you should know: 2020 Cadillac XT6 – Chilliwack Progress']","['https://www.theprogress.com/autos/a-bmw-toyota-collaboration-clearly-benefits-both-brands/', 'https://www.ctvnews.ca/autos/hyundai-recalls-272k-u-s-cars-electrical-outlet-can-overheat-1.5025026', 'https://www.theprogress.com/autos/what-you-should-know-subaru-legacy/', 'https://www.abbynews.com/marketplace/touch-free-sales-and-service-transform-auto-experience/', 'https://www.theprogress.com/autos/what-you-should-know-2020-cadillac-xt6/']","['https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.4132101.1539376458!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg']",U.S.,,,business
case health test covid new death outbreak hospit,"[""U.K.'s Johnson nudges workers back to office as lockdown eases"", 'COVID-19 cases in Calgary as of July 15, 2020', ""Here's what the Sask. government is doing to manage the latest surge of COVID-19"", 'Calgary restaurant and fitness clubs closed due to COVID-19 concerns', 'Sask. Hutterite colonies with COVID-19 won’t be locked down, for now']","['https://www.ctvnews.ca/world/u-k-s-johnson-nudges-workers-back-to-office-as-lockdown-eases-1.5028086', 'https://calgary.ctvnews.ca/covid-19-cases-in-calgary-as-of-july-15-2020-1.4945348', 'http://regina.ctvnews.ca/here-s-what-the-sask-government-is-doing-to-manage-the-latest-surge-of-covid-19-1.5027405', 'https://calgary.ctvnews.ca/calgary-restaurant-and-fitness-clubs-closed-due-to-covid-19-concerns-1.5027396', 'http://regina.ctvnews.ca/sask-hutterite-colonies-with-covid-19-won-t-be-locked-down-for-now-1.5027524']","['https://www.ctvnews.ca/polopoly_fs/1.5028091.1594986657!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5037446.1595597821!/httpImage/image.jpeg_gen/derivatives/landscape_620/image.jpeg', 'https://www.ctvnews.ca/polopoly_fs/1.5027125.1594924095!/image/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5025892.1594852881!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5027567.1594938795!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg']",Ontario,,,covid-19
cent price sale market home real estat hous,"['A third of brands set to halt social media spending, survey says', '$5.3M upgrades coming to deadly stretch of Vancouver Island highway', 'April showers, and cold, will hopefully bring May flowers', 'As foreign buyers return, luxury condo prices are set to surge in Toronto', 'Manulife joins movement to boost minority leaders within ranks']","['https://www.thestar.com/business/technology/2020/06/30/a-third-of-brands-set-to-halt-social-media-spending-survey-says.html', 'https://vancouverisland.ctvnews.ca/5-3m-upgrades-coming-to-deadly-stretch-of-vancouver-island-highway-1.5025538', 'https://torontosun.com/news/local-news/april-showers-and-cold-will-hopefully-bring-may-flowers', 'https://www.thestar.com/business/real_estate/2020/02/25/luxury-condo-prices-to-surge-in-toronto-driven-by-lack-of-supply-and-the-return-of-foreign-buyers.html', 'https://www.thestar.com/business/2020/07/17/manulife-joins-movement-to-boost-minority-leaders-within-ranks.html']","['https://images.thestar.com/PGcUm0UKWlJHvBNRJY2qjcHGfyM=/1200x800/smart/filters:cb(1593538260109)/https://www.thestar.com/content/dam/thestar/business/technology/2020/06/30/a-third-of-brands-set-to-halt-social-media-spending-survey-says/ads.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5025548.1594840675!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://postmediatorontosun.files.wordpress.com/2020/04/umbrella.jpg', 'https://images.thestar.com/37CScbNbcT_26vLEnVH7FV6M154=/1200x899/smart/filters:cb(1582814029651)/https://www.thestar.com/content/dam/thestar/business/real_estate/2020/02/25/luxury-condo-prices-to-surge-in-toronto-driven-by-lack-of-supply-and-the-return-of-foreign-buyers/four_seasons_luxury_condo.jpg', 'https://images.thestar.com/Dl5GbP89XU6Lhs1bjH3rgQZp3E4=/1200x798/smart/filters:cb(1595003306475)/https://www.thestar.com/content/dam/thestar/business/2020/07/17/manulife-joins-movement-to-boost-minority-leaders-within-ranks/manulife.jpg']",Toronto,,,business
famili just time peopl year home life day,"['I Don’t Know If My Kids Will Ever See Their Grandparents Again', 'Why your workout may not be helping you lose weight', 'She lost 100 pounds and became an Instagram sensation. Then she realized how diet culture was affecting her kids', 'How do I stop my adult children from being so lazy and entitled? Ask Ellie', ""'Magic School Bus' author Joanna Cole dies at age 75""]","['https://www.cbc.ca/parents/learning/view/covid-19-grandparents-and-the-future', 'https://www.thestar.com/life/health_wellness/2020/01/06/why-your-workout-may-not-be-helping-you-lose-weight.html', 'https://www.thestar.com/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids.html', 'https://www.thestar.com/life/relationships/advice/2020/07/14/how-do-i-stop-my-adult-children-from-being-so-lazy-and-entitled-ask-ellie.html', 'https://www.ctvnews.ca/entertainment/magic-school-bus-author-joanna-cole-dies-at-age-75-1.5026416']","['https://www.cbc.ca/parents/content/imgs/_8col/grandparents-covid.jpg', 'https://images.thestar.com/7M_4Ospjzx07B8kSVhhedE4PNCU=/1200x800/smart/filters:cb(1578677326870)/https://www.thestar.com/content/dam/thestar/life/health_wellness/2020/01/06/why-your-workout-may-not-be-helping-you-lose-weight/dreamstime_xxl_124483499.jpg', 'https://images.thestar.com/Ch7_9SdV9A0s4-kVKB83ST05pUo=/1200x816/smart/filters:cb(1578853241122)/https://www.thestar.com/content/dam/thestar/life/health_wellness/2020/01/09/she-lost-100-pounds-and-became-an-instagram-sensation-then-she-realized-how-diet-culture-was-affecting-her-kids/profile.jpg', 'https://images.thestar.com/7ZUpBLgrD7voSQWpuw5irPim2wk=/1086x1446/smart/filters:cb(1594663680060)/https://www.thestar.com/content/dam/thestar/life/relationships/advice/2020/07/14/how-do-i-stop-my-adult-children-from-being-so-lazy-and-entitled-ask-ellie/rl_ellie_14.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5026417.1594899102!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg']",Toronto,,,lifestyle
flight canada court china trump canadian travel countri,"['BC Ferries waiting for replacement part to fix new hybrid vessel after accident', 'Regional Chief Ghislain Picard: Oka Crisis still serves as a reference because nothing has changed', 'Ping pong ball-sized hail in southern Alberta? Another day of storm potential', ""China's mighty Yangtze nears crest again, new floods feared"", 'Rev. C.T. Vivian, key civil rights leader, has died at 95']","['https://vancouverisland.ctvnews.ca/bc-ferries-waiting-for-replacement-part-to-fix-new-hybrid-vessel-after-accident-1.5027607', 'https://montreal.ctvnews.ca/regional-chief-ghislain-picard-oka-crisis-still-serves-as-a-reference-because-nothing-has-changed-1.5020294', 'https://calgary.ctvnews.ca/ping-pong-ball-sized-hail-in-southern-alberta-another-day-of-storm-potential-1.5028182', 'https://www.ctvnews.ca/world/china-s-mighty-yangtze-nears-crest-again-new-floods-feared-1.5028010', 'https://www.ctvnews.ca/world/rev-c-t-vivian-key-civil-rights-leader-has-died-at-95-1.5028101']","['https://www.ctvnews.ca/polopoly_fs/1.4977306.1592498785!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.2547386.1441322112!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5028184.1594990641!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5028011.1594975295!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5028105.1594987338!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg']",Canada,,,politics
jay blue roger centr season game toronto,"['Blue Jays cleared to play in Toronto by provincial officials, Ontario premier confirms', 'Blue-green algae found in Dartmouth lake that supplies drinking water', ""Strict testing, safety protocols cornerstone of Jays' return to play plan in front of feds"", ""'This is a bit of a manufactured controversy:' Tory says he's confident MLB players will follow the rules"", 'Baseball bubble may have its advantages for quarantining Blue Jays']","['https://toronto.ctvnews.ca/blue-jays-cleared-to-play-in-toronto-by-provincial-officials-ontario-premier-confirms-1.5027361', 'https://atlantic.ctvnews.ca/blue-green-algae-found-in-dartmouth-lake-that-supplies-drinking-water-1.5027821', 'https://torontosun.com/sports/baseball/toronto-blue-jays/strict-testing-safety-protocols-cornerstone-of-blue-jays-return-to-play-plan-in-front-of-feds', 'https://www.cp24.com/news/this-is-a-bit-of-a-manufactured-controversy-tory-says-he-s-confident-mlb-players-will-follow-the-rules-1.5028090', 'https://torontosun.com/sports/baseball/toronto-blue-jays/baseball-bubble-may-have-its-advantages-for-quarantining-blue-jays']","['https://www.ctvnews.ca/polopoly_fs/1.5027400.1594933900!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.5027414.1594947199!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://postmediatorontosun.files.wordpress.com/2020/07/1225994370_79164948.jpg', 'https://www.cp24.com/polopoly_fs/1.5028102.1594987093!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://postmediatorontosun.files.wordpress.com/2020/07/79190436.jpg']",Toronto,,,sports
langley chilliwack rcmp surrey com read facebook local,"['LETTER: BC Liberals should not apologize for advertising in Christian publication – Chilliwack Progress', 'LETTER: Mayor’s words countering racism are worth repeating – Chilliwack Progress', 'Online submissions now open for virtual Chilliwack Fair – Chilliwack Progress', 'Foodies flock to drive-thru food truck fest in Chilliwack – Chilliwack Progress', 'Iconic Chilliwack store passes clothing racks on to downtown neighbours – Chilliwack Progress']","['https://www.theprogress.com/opinion/letter-bc-liberals-should-not-apologize-for-advertising-in-christian-publication/', 'https://www.theprogress.com/opinion/letter-mayors-words-countering-racism-are-worth-repeating/', 'https://www.theprogress.com/community/submissions-now-open-for-virtual-chilliwack-fair/', 'https://www.theprogress.com/community/foodies-flock-to-drive-thru-food-truck-fest-in-chilliwack/', 'https://www.theprogress.com/community/iconic-chilliwack-store-passes-clothing-racks-onto-downtown-neighbours/']","['https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg']",Langley,,,local
mask wear face cover mandatori public,"['Ontario car dealership apologizes after seemingly obvious advertising mistake', 'He invented the N95 mask filter. When coronavirus hit he was called to help once again', 'Get ready to mask up in Algoma District', 'Face masks an important tool, but shouldn’t be mandatory in Sask.: Microbiologist', 'Opinion: Why the fuss about wearing a mask? – Chilliwack Progress']","['https://toronto.ctvnews.ca/ontario-car-dealership-apologizes-after-seemingly-obvious-advertising-mistake-1.5027286', 'https://www.ctvnews.ca/health/coronavirus/he-invented-the-n95-mask-filter-when-coronavirus-hit-he-was-called-to-help-once-again-1.5027093', 'https://northernontario.ctvnews.ca/get-ready-to-mask-up-in-algoma-district-1.5022404', 'http://saskatoon.ctvnews.ca/face-masks-an-important-tool-but-shouldn-t-be-mandatory-in-sask-microbiologist-1.5027794', 'https://www.theprogress.com/opinion/opinion-why-the-fuss-about-wearing-a-mask/']","['https://www.ctvnews.ca/polopoly_fs/1.5027289.1594928849!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.4896834.1587498008!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://www.ctvnews.ca/polopoly_fs/1.3902317.1594670726!/httpImage/image.png_gen/derivatives/landscape_620/image.png', 'https://www.ctvnews.ca/polopoly_fs/1.5027764.1594945048!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg']",Ottawa,,,covid-19
music perform artist art concert film musician song,"['Picture this! Preserving your family’s favourite photos and artwork. – Chilliwack Progress', 'Plastic screen separates band and audience at Surrey gig – North Delta Reporter', 'Celebrity news: Drive-in film fest sets up this month at Ontario Place; Lori Loughlin seeks bail cut; Bergeron and Andrews off ‘Dancing With the Stars’', 'B.C.’s virtual ‘SoundON’ concerts kick off with sounds of Surrey festival – North Delta Reporter', '‘That night was so much fun’: Surrey-raised comedian in ‘New Wave of Standup’ series – North Delta Reporter']","['https://www.theprogress.com/marketplace/picture-this-preserving-your-familys-favourite-photos-and-artwork/', 'https://www.northdeltareporter.com/entertainment/plastic-screen-separates-band-and-audience-at-surrey-gig/', 'https://www.therecord.com/ts/entertainment/2020/07/14/celebrity-news-drive-in-film-fest-sets-up-this-month-at-ontario-place-lori-loughlin-seeks-bail-cut-bergeron-and-andrews-off-dancing-with-the-stars.html', 'https://www.northdeltareporter.com/entertainment/b-c-s-virtual-soundon-concerts-kick-off-with-sounds-of-surrey-festival/', 'https://www.northdeltareporter.com/entertainment/that-night-was-so-much-fun-surrey-raised-comedian-in-new-wave-of-standup-series/']","['https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://images.thestar.com/fZxia7IP2PZ_wQTK_jXlVVNfjkc=/1200x768/smart/filters:cb(1594747713394)/https://www.therecord.com/content/dam/thestar/entertainment/2020/07/14/celebrity-news-drive-in-film-fest-sets-up-this-month-at-ontario-place-lori-loughlin-seeks-bail-cut-bergeron-and-andrews-off-dancing-with-the-stars/cuban.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg', 'https://sisterhoodofstyle.com/wp-content/uploads/2018/02/no-image-1.jpg']",Toronto,,,arts & entertainment
