,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
0,2020-07-14,2020-07-14 00:00:00,mapleridgenews,https://www.mapleridgenews.com/sports/maple-ridge-goaltender-taking-talents-to-junior-a-squad-in-saskatchewan/,Maple Ridge goaltender taking talents to Junior A squad in Saskatchewan – Maple Ridge News,00:00:00,00:09:08,548.0
1,2020-07-14,2020-07-14 00:00:00,thestar,https://www.thestar.com/life/fashion_style/2020/07/14/if-i-wanted-a-nude-bra-i-had-to-paint-one.html,"‘If I wanted a nude bra, I had to paint one’",00:00:00,00:08:44,524.0
2,2020-07-14,2020-07-14 00:00:00,mapleridgenews,https://www.mapleridgenews.com/sports/maple-ridge-goaltender-taking-talents-to-junior-a-squad-in-saskatchewan/,Maple Ridge goaltender taking talents to Junior A squad in Saskatchewan – Maple Ridge News,00:00:00,00:05:07,307.0
3,2020-07-14,2020-07-14 00:00:00,ctvnews,https://www.ctvnews.ca/entertainment/autopsy-confirms-naya-rivera-s-death-was-accidental-drowning-1.5024536,Autopsy confirms Naya Rivera's death was accidental drowning,00:00:00,00:04:53,293.0
4,2020-07-14,2020-07-14 00:00:00,ctvnews,https://toronto.ctvnews.ca/toronto-pearson-airport-cutting-500-jobs-as-air-travel-falls-to-1996-levels-1.5023333,Toronto Pearson Airport cutting 500 jobs as air travel falls to 1996 levels,00:00:00,00:09:15,555.0
5,2020-07-14,2020-07-14 00:00:00,northdeltareporter,https://www.northdeltareporter.com/news/surreys-first-ethics-commissioner-brings-objectivity-to-the-job/,Surrey’s first ethics commissioner brings ‘objectivity’ to the job – North Delta Reporter,00:00:00,00:09:47,587.0
6,2020-07-14,2020-07-14 00:00:00,abbynews,https://www.abbynews.com/sports/chilliwack-chiefs-alum-jordan-kawaguchi-named-captain-of-north-dakota-fighting-hawks/,Chilliwack Chiefs alum Jordan Kawaguchi named captain of North Dakota Fighting Hawks – Abbotsford News,00:00:00,00:03:04,184.0
7,2020-07-14,2020-07-14 00:00:00,cp24,https://www.cp24.com/entertainment-news/maxwell-pleads-not-guilty-in-epstein-related-sex-abuse-case-1.5023849,Maxwell pleads not guilty in Epstein-related sex abuse case,00:00:00,00:05:14,314.0
8,2020-07-14,2020-07-14 00:00:00,ctvnews,https://www.ctvnews.ca/business/burger-king-addresses-climate-change-by-changing-cows-diets-1.5023436,Burger King addresses climate change by changing cows' diets,00:00:00,00:06:56,416.0
9,2020-07-14,2020-07-14 00:00:00,ctvnews,https://toronto.ctvnews.ca/toronto-pearson-airport-cutting-500-jobs-as-air-travel-falls-to-1996-levels-1.5023333,Toronto Pearson Airport cutting 500 jobs as air travel falls to 1996 levels,00:00:00,00:09:33,573.0
10,2020-07-15,2020-07-15 00:00:00,torontosun,https://torontosun.com/life/relationships/ask-amy-girlfriend-wants-to-swing-alone,ASK AMY: Girlfriend wants to swing – alone,00:00:00,00:03:40,220.0
11,2020-07-15,2020-07-15 00:00:00,theprogress,https://www.theprogress.com/news/new-youth-housing-in-chilliwack-comes-with-wrap-around-supports/,New youth housing in Chilliwack comes with wrap-around supports – Chilliwack Progress,00:00:00,00:03:59,239.0
12,2020-07-15,2020-07-15 00:00:00,langleyadvancetimes,https://www.langleyadvancetimes.com/news/perfect-storm-led-to-bad-year-for-mosquitos-in-langley/,‘Perfect storm’ led to bad year for mosquitos in Langley – Langley Advance Times,00:00:00,00:05:22,322.0
13,2020-07-15,2020-07-15 00:00:00,ctvnews,https://northernontario.ctvnews.ca/porcupine-health-unit-declares-outbreak-at-ltc-home-after-staff-member-tests-positive-for-covid-1.5025700,Porcupine Health Unit declares outbreak at LTC home after staff member tests positive for COVID,00:00:00,00:02:08,128.0
14,2020-07-15,2020-07-14 00:00:00,thestar,https://www.thestar.com/entertainment/television/2020/07/14/tom-bergeron-erin-andrews-exit-dancing-with-the-stars.html,"Tom Bergeron, Erin Andrews exit ‘Dancing With the Stars’",00:00:00,00:03:37,217.0
15,2020-07-15,2020-07-15 00:00:00,ctvnews,https://bc.ctvnews.ca/landlords-asking-prices-in-vancouver-have-decreased-during-covid-19-but-rental-sites-disagree-on-how-much-1.5026241,"Landlords' asking prices in Vancouver have decreased during COVID-19, but rental sites disagree on how much",00:00:00,00:04:34,274.0
16,2020-07-15,2020-07-15 00:00:00,theprogress,https://www.theprogress.com/news/new-broadway-street-bike-lanes-confusing-say-chilliwack-residents/,New Broadway Street bike lanes ‘confusing’ say Chilliwack residents – Chilliwack Progress,00:00:00,00:07:29,449.0
17,2020-07-15,2020-07-15 00:00:00,ctvnews,https://www.ctvnews.ca/health/vaccination-levels-falling-during-pandemic-un-warns-1.5025413,"Vaccination levels falling during pandemic, UN warns",00:00:00,00:09:50,590.0
18,2020-07-15,2020-07-15 00:00:00,ctvnews,https://www.ctvnews.ca/health/coronavirus/why-a-closed-border-hasn-t-kept-international-flights-out-of-canada-1.5025449,Why a closed border hasn't kept international flights out of Canada,00:00:00,00:08:07,487.0
19,2020-07-15,2020-07-15 00:00:00,ctvnews,http://guelph.ctvnews.ca/public-health-unit-warning-of-fake-face-mask-exemption-cards-1.5025497,Public health unit warning of fake face mask exemption cards,00:00:00,00:10:56,656.0
20,2020-07-16,2020-07-16 00:00:00,ctvnews,https://northernontario.ctvnews.ca/timmins-man-who-dognapped-12-year-old-black-lab-in-feb-now-faces-charges-1.5026885,Timmins man who dognapped 12-year-old black lab in Feb. now faces charges,00:00:00,00:06:24,384.0
21,2020-07-16,2020-07-16 00:00:00,thestar,https://www.thestar.com/life/relationships/advice/2020/07/16/my-widowed-mom-wants-to-set-up-house-with-her-new-lover-ask-ellie.html,My widowed mom wants to set up house with her new lover. Ask Ellie,00:00:00,00:07:29,449.0
