,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
0,2020-07-14,2020-07-14,abbynews,https://www.abbynews.com/sports/chilliwack-chiefs-alum-jordan-kawaguchi-named-captain-of-north-dakota-fighting-hawks/,Chilliwack Chiefs alum Jordan Kawaguchi named captain of North Dakota Fighting Hawks – Abbotsford News,00:00:00,00:02:27,147.0
1,2020-07-14,2020-07-14,thestar,https://www.thestar.com/entertainment/television/2020/07/14/naya-rivera-lent-her-immense-talent-to-glee-here-are-her-greatest-musical-numbers.html,Naya Rivera lent her immense talent to ‘Glee.’ Here are her greatest musical numbers,00:00:00,00:02:50,170.0
2,2020-07-14,2020-07-14,mapleridgenews,https://www.mapleridgenews.com/community/you-pick-blueberry-producers-in-maple-ridge-and-pitt-meadows-invite-the-public/,You-pick blueberry producers in Maple Ridge and Pitt Meadows invite the public – Maple Ridge News,00:00:00,00:05:16,316.0
3,2020-07-14,2020-07-14,northdeltareporter,https://www.northdeltareporter.com/business/south-surrey-car-wash-to-help-raise-money-for-baby-in-need-of-3m-drug/,South Surrey car wash to help raise money for baby in need of $3M drug – North Delta Reporter,00:00:00,00:06:07,367.0
4,2020-07-14,2020-07-14,ctvnews,https://bc.ctvnews.ca/dr-henry-says-b-c-s-surge-in-covid-19-cases-not-unexpected-1.5023411,Dr. Henry says B.C.'s surge in COVID-19 cases 'not unexpected',00:00:00,00:01:52,112.0
5,2020-07-14,2020-07-14,abbynews,https://www.abbynews.com/news/cold-and-wet-weather-has-corn-farmers-waiting-across-the-fraser-valley/,Cold and wet weather has corn farmers waiting across the Fraser Valley – Abbotsford News,00:00:00,00:07:18,438.0
6,2020-07-14,2020-07-14,thestar,https://www.thestar.com/news/canada/2020/07/14/bc-to-give-update-on-profound-financial-challenge-of-covid-19.html,B.C.’s budget surges to $12.5 billion deficit because of pandemic,00:00:00,00:02:32,152.0
7,2020-07-14,2020-07-14,theprogress,https://www.theprogress.com/news/popkum-fire-chief-urges-caution-after-saturday-rescue-from-bridal-veil-falls/,Popkum fire chief urges caution after Saturday rescue from Bridal Veil Falls – Chilliwack Progress,00:00:00,00:05:31,331.0
8,2020-07-14,2020-07-14,thestar,https://www.thestar.com/life/relationships/advice/2020/07/14/how-do-i-stop-my-adult-children-from-being-so-lazy-and-entitled-ask-ellie.html,How do I stop my adult children from being so lazy and entitled? Ask Ellie,00:00:00,00:05:06,306.0
9,2020-07-14,2020-07-14,langleyadvancetimes,https://www.langleyadvancetimes.com/community/early-morning-walks-resume-at-willowbrook-shopping-centre/,Early morning walks resume at Willowbrook shopping centre – Langley Advance Times,00:00:00,00:08:14,494.0
10,2020-07-15,2020-07-14,abbynews,https://www.abbynews.com/news/chilliwack-rcmp-seeing-surge-in-telephone-based-tax-scam/,Chilliwack RCMP seeing surge in telephone-based tax scam – Abbotsford News,00:00:00,00:05:46,346.0
11,2020-07-15,2020-07-15,thestar,https://www.thestar.com/sports/bluejays/2020/07/15/its-the-old-normal-for-blue-jays-closer-to-go-ken-giles-with-the-trade-talk-already-starting.html,It’s the old normal for Blue Jays closer-to-go Ken Giles with the trade talk already starting,00:00:00,00:04:26,266.0
12,2020-07-15,2020-07-14,thestar,https://www.thestar.com/news/canada/2020/07/14/bc-to-give-update-on-profound-financial-challenge-of-covid-19.html,B.C.’s budget surges to $12.5 billion deficit because of pandemic,00:00:00,00:07:30,450.0
13,2020-07-15,2020-07-14,abbynews,https://www.abbynews.com/news/19-times-on-19th-birthday-aldergrove-teen-once-immobile-conquers-abby-grind-in-good-health/,19 times on 19th birthday: Aldergrove teen goes from crutches to conquering Abby Grind – Abbotsford News,00:00:00,00:03:25,205.0
14,2020-07-15,2020-07-15,ctvnews,http://guelph.ctvnews.ca/u-of-g-research-sectors-ranked-no-1-in-canada-among-best-in-the-world-1.5025602,"U of G research sectors ranked no. 1 in Canada, among best in the world",00:00:00,00:03:48,228.0
15,2020-07-15,2020-07-15,mapleridgenews,https://www.mapleridgenews.com/business/bank-of-canada-holds-rate-forecasts-decline-in-gdp-of-7-8-this-year/,"Bank of Canada holds rate, forecasts decline in GDP of 7.8% this year – Maple Ridge News",00:00:00,00:04:39,279.0
16,2020-07-15,2020-07-14,mapleridgenews,https://www.mapleridgenews.com/community/bc-spca-asking-maple-ridge-and-pitt-meadows-to-take-the-no-hot-pets-pledge/,BC SPCA asking Maple Ridge and Pitt Meadows to take the No Hot Pets pledge – Maple Ridge News,00:00:00,00:08:09,489.0
17,2020-07-15,2020-07-15,ctvnews,http://saskatoon.ctvnews.ca/sask-man-under-investigation-after-disturbing-facebook-post-about-walk-for-missing-woman-1.5025662,Sask. man under investigation after 'disturbing' Facebook post about walk for missing woman,00:00:00,00:08:13,493.0
18,2020-07-15,2020-07-15,langleyadvancetimes,https://www.langleyadvancetimes.com/community/a-man-of-many-many-cars/,"A man of many, many cars – Langley Advance Times",00:00:00,00:06:39,399.0
19,2020-07-15,2020-07-15,ctvnews,https://calgary.ctvnews.ca/fashion-face-ward-calgary-designers-create-some-stylish-ppe-1.5026059,Fashion face-ward: Calgary designers create some stylish PPE,00:00:00,00:04:00,240.0
20,2020-07-16,2020-07-14,langleyadvancetimes,https://www.langleyadvancetimes.com/community/langleys-green-thumb-tiny-hybrids-can-add-stunning-colour-to-the-garden/,LANGLEY’S GREEN THUMB: Tiny hybrids can add stunning colour to the garden – Langley Advance Times,00:00:00,00:02:17,137.0
21,2020-07-16,2020-07-15,torontosun,https://torontosun.com/news/local-news/toronto-man-accused-of-sex-assault-kidnapping-aboard-powerboat,"Toronto man accused of sex assault, kidnapping aboard powerboat",00:00:00,00:06:01,361.0
22,2020-07-16,2020-07-16,ctvnews,https://northernontario.ctvnews.ca/timmins-man-who-dognapped-12-year-old-black-lab-in-feb-now-faces-charges-1.5026885,Timmins man who dognapped 12-year-old black lab in Feb. now faces charges,00:00:00,00:04:46,286.0
23,2020-07-16,2020-07-14,northdeltareporter,https://www.northdeltareporter.com/entertainment/b-c-s-virtual-soundon-concerts-kick-off-with-sounds-of-surrey-festival/,B.C.’s virtual ‘SoundON’ concerts kick off with sounds of Surrey festival – North Delta Reporter,00:00:00,00:03:53,233.0
