,outlet,url,title,authors,publish_date,text,keywords
0,vancourier,https://www.vancourier.com/news/here-s-why-vancourier-com-was-judged-canada-s-best-community-newspaper-website-1.23415779,Here's why Vancourier.com was judged Canada's best community newspaper website,[],,"You’re reading the best community newspaper website in Canada.

In the 2018 Canadian Community Newspaper Awards, the Vancouver Courier won top spot among member newspapers with a circulation of more than 12,500.

article continues below

“Clean typography and well-structured homepage,” the judge wrote. “Good use of photography and smooth mobile experience. Smart content and very readable.”

Month after month, the Courier’s website is attracting more readership. With multitude of news and feature stories posted every day, we have more than 450,000 unique visitors — and growing — each month.

Since you’re reading this on the Vancouver Courier’s website, you’ve probably already discovered this for yourself but, if you need reminding, here are some of the factors that go into creating Canada’s best community newspaper site.

• Evocative storytelling with words and video: Vancouver master watchmaker keeps on ticking. This story earned the team of Dan Toulgoet, Michael Kissinger and John Kurucz came in third as the Best Multi-media Feature.

• Insightful analysis of Vancouver City Hall: 12th & Cambie

• Daily coverage to inform your understanding of Vancouver’s real estate scene: Courier real estate news

• Honest but respectful year-round coverage of the Vancouver Canucks: Pass It To Bulis

• Light-hearted and, yes, we’ll admit it, occasionally barbed insights into Vancouver life: Kudo & Kvetches

• Regional reporting from across the Lower Mainland featuring stories from our sister publications: Vancouver Is Awesome, Business in Vancouver, North Shore News, Richmond News, Burnaby Now, New Westminster Record, TriCity News, Delta Optimist, Squamish Chief and Bowen Island Undercurrent.

• Viral videos: The Blob of Lost Lagoon

• And a vibrant social media presence: Facebook (where you can find more of our award-winning videos), Twitter and Instagram (which features glimpses of what makes us love Vancouver — and sometimes drives us crazy.)",[]
1,vancourier,https://www.vancourier.com/news/photo-galleries,Photo Galleries,[],,"Six flee flames in early morning North Van house fire A house fire causing extensive damage broke out at approximately 4:30 Saturday morning in the 400 block of East 7th St. in North Vancouver sending six occupants scrambling ...

PHOTOS: Blues fest rocked Burnaby's Deer Lake Park A sold out crowd descended on Deer Lake Park for the 19th annual Burnaby Blues + Roots Festival on Saturday. This year's lineup includes: Amythyst Kiah, Begonia, The Suffers,...

Photos: Richmond wildfire in pictures The 12-hectare fire is all but out at the DND lands, but it took a mammoth efforts from firefighters from across the region. Aerial photo of damage by Wayne Morecambe. ...

Snow day in Vancouver Vancouverites woke up to a rare snow day on Monday.

Dunbar-Southlands: Then and now Photographer Rebecca Blissett documents how times have changed in Dunbar, matching archived images from the City of Vancouver Archives of streets, buildings, and ...",[]
2,vancourier,https://www.vancourier.com/news/bc,BC,"['Julie Maclellan', 'Mike Devlin']",,One Lower Mainland choir is reaching out virtually to make sure choral music continues in the face of COVID-19. With social isolation becoming the new normal and choirs ...,[]
3,vancourier,https://www.vancourier.com/news/national,National,"['Julie Maclellan', 'Mike Devlin']",,"OTTAWA — The Green party has shown the door to one of its leadership candidates, saying several of his recent comments do not align with the party's values on diversity.Dylan...",[]
4,vancourier,https://www.vancourier.com/news/world,World,"['Julie Maclellan', 'Mike Devlin']",,One Lower Mainland choir is reaching out virtually to make sure choral music continues in the face of COVID-19. With social isolation becoming the new normal and choirs ...,[]
5,vancourier,https://www.vancourier.com/news/business,Business,"['Julie Maclellan', 'Mike Devlin']",,One Lower Mainland choir is reaching out virtually to make sure choral music continues in the face of COVID-19. With social isolation becoming the new normal and choirs ...,[]
6,vancourier,https://www.vancourier.com/news/cannabis-news,Cannabis News,[],,"IOWA CITY, Iowa — A ruthless Iowa meth kingpin who killed five people, including two young girls, in 1993 to thwart his prosecution for drug trafficking is set to become the ...",[]
7,vancourier,https://www.vancourier.com/news/vancouver-courier-temporarily-ceasing-publication-1.24111463,Vancouver Courier temporarily ceasing publication,[],,"Regrettably, the Vancouver Courier will be suspending publication until further notice.

The small, independent businesses in our community that are under economic pressure to shut their doors or reduce services are the same ones that have supported our coverage and made it possible to deliver free, local news to you. Their significant drop in advertising revenue for our publication and lack of quick, available government funding means that we have been forced to make the difficult decision to cease both print and online coverage.

article continues below

Our sister publications continue to cover local news for the Lower Mainland and Vancouver, specifically, including VancouverIsAwesome.com and Business In Vancouver.

The Vancouver Courier site and its rich history of stories will remain online.

We thank you for your understanding in these difficult times, and we’re hopeful that together as a city, province and country, we will be able to overcome this horrific pandemic swiftly and return to business and life as usual.",[]
8,vancourier,https://www.vancourier.com/more-b-c-cannabis-consumers-choosing-legal-suppliers-over-black-market-poll-1.24171397,More B.C. cannabis consumers choosing legal suppliers over black market: poll,['Mario Canseco'],,"Marijuana has been legal in Canada for just over one and a half years.

The notion of establishing a framework to commercialize cannabis began as a promise by the Liberal Party in the 2015 federal election campaign that led to Justin Trudeau becoming prime minister. The implementation of the policy was not as smooth as first envisioned, and the provincial governments were put in charge of setting guidelines for the sale and consumption of marijuana.

article continues below

Research Co. and Glacier Media have been tracking perceptions about legalization every six months in British Columbia. Our latest survey shows that agreement with the new rules remains high across the entire province, that some residents are starting to ponder a future when other drugs could be treated in the same fashion as cannabis, and that – in stark contrast with what we found last year – marijuana users in British Columbia are starting to acquire all of their product through licensed retailers.

As more time passes, British Columbians appear happier with the decision to end prohibition. Seven in 10 of the province’s residents (70%) agree with marijuana being legal in Canada, while 26% disagree and 3% are undecided.

These findings represent a seven-point increase since a similar survey conducted in October 2019, as legal cannabis approached its first anniversary. The groups that are more likely to voice satisfaction with the new status quo are men (75%), British Columbians aged 35 to 54 (76%) and residents of northern B.C. (80%).

In recent weeks, we have seen more talk about creating a safe supply for drugs that are currently available only through illegal means. The impact of these discussions has led to a shift in the views of British Columbians about legalizing all drugs. It must be completely acknowledged that sizable majorities of the province’s residents continue to oppose a move to place any controlled substance inside a store, but the proponents of this option have grown since late last year.

At least two-thirds of British Columbians are opposed to legalizing ecstasy (66%), powder cocaine (70%), heroin (72%), crack cocaine (73%), methamphetamine or “crystal meth” (74%) and fentanyl (75%).

Support for making some of these drugs available in a fashion that would conceivably meet the same guidelines that govern cannabis has risen over the past six months, to 25% for cocaine (up from 18%) and to 24% for heroin (up from 19%). While these are still low proportions, the fluctuation could signal the start of a trend.

Just 10% of British Columbians say they only consumed marijuana after it became legal. Identical proportions of residents tried it before October 2018 (45%) or have never consumed it in Canada (also 45%). The incidence of “legal-only” marijuana users is highest among residents aged 18 to 34 (18%) and those who live in southern B.C. (19%).

But perhaps the biggest surprise, and a source of satisfaction for policy makers, is the way in which cannabis is being sought by users. Just over half of British Columbians who have consumed marijuana since legalization (51%) say that all of their product was acquired at a licensed retailer. In October 2019, only 31% of cannabis consumers in the province were getting all of their product at a licensed retailer.

We still see 16% of British Columbians who say none of their marijuana has been bought at a licensed retailer – a proportion that climbs to 25% among those aged 55 and over. Two-thirds of cannabis consumers aged 35 to 54 (68%) are buying all of their product at a licensed retailer.

Even though the delivery of cannabis products has improved over the past six months, there are significant regional differences that are indubitably related to the presence of stores in specific areas of the province. Cannabis consumers who reside in southern B.C. and Metro Vancouver are the most likely to be getting all of their product from licensed retailers (63% and 62%). The numbers are significantly lower in Vancouver Island (29%), northern B.C. (24%) and the Fraser Valley (19%).

Finally, the issue of “drug testing” remains a priority for British Columbians, with 61% saying that companies in the province should “definitely” or “probably” be able to administer these examinations to any employee now that marijuana is legal.

After a bumpy start that featured slow store openings and hitches with delivery options, there are signs that cannabis legalization is starting to work in a better fashion. More consumers are getting all of their product through licensed retailers, and the number of “new users” has not increased dramatically. Still, the significant regional disparities suggest that more marijuana outlets will need to be authorized in order to effectively eliminate the black market.

Mario Canseco is president of Research Co.

Results are based on an online study conducted from July 10 to July 12, 2020, among 800 adult British Columbians. The data has been statistically weighted according to Canadian census figures for age, gender and region in British Columbia. The margin of error, which measures sample variability, is plus or minus 3.5 percentage points, 19 times out of 20.",[]
9,vancourier,https://www.vancourier.com/map-today-s-covid-19-cases-in-canada-1.24112498,Map: Today's COVID-19 cases in Canada,[],,Have the Vancouver Courier delivered to your inbox twice a week! You can contact us or unsubscribe anytime.,[]
